metric,value
agent_guild_initiative_binding,1.0
apprenticeship_succession_count,5.0
apprenticeship_succession_integrity,0.994169
browser_world_v28_regional_readiness,0.935056
browser_world_v28_surface_available,1.0
building_upgrade_count,10.0
building_upgrade_persistence,1.0
collapse_event_count,21.0
collapse_recovery_visibility,1.0
collapse_replay_binding,1.0
delivery_success_rate,0.744141
ecology_resource_migration_binding,1.0
frequency_flower_seasonal_rhythm,0.9375
mean_regional_channel_score,0.987794
multi_household_supply_chain_persistence,1.0
privacy_safe_region_state,1.0
regional_economy_under_seasonal_tradeoffs,0.812
regional_memory_integrity,1.0
regional_replay_integrity,1.0
regional_routine_shift,1.0
repair_guild_backlog_binding,1.0
repair_guild_frame_count,1024.0
repair_guild_recovery_effect,1.0
resource_migration_count,640.0
route_blocked_count,9.0
routine_shift_count,5.0
seasonal_weather_binding,1.0
seasonal_weather_frame_count,1024.0
sensory_season_region_binding,1.0
source_infrastructure_continuity,1.0
supply_chain_delivery_traceability,1.0
supply_chain_frame_count,1024.0
visible_browser_region_surface,1.0
weakest_channel_score,0.812
