tick_id,day,route_id,avatar_action,intervention_available,intervention_taken,helps_recovery,creates_tradeoff,visible_consequence,consent_boundary,recovery_delta
0,1,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
1,1,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
2,1,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
3,1,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
4,1,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
5,1,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
6,1,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
7,1,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
8,1,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
9,1,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
10,1,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
11,1,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
12,1,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
13,1,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
14,2,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
15,2,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
16,2,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
17,2,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
18,2,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
19,2,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
20,2,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
21,2,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
22,2,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
23,2,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
24,2,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
25,2,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
26,2,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
27,2,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
28,3,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
29,3,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
30,3,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
31,3,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
32,3,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
33,3,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
34,3,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
35,3,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
36,3,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
37,3,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
38,3,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
39,3,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
40,3,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
41,3,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
42,4,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
43,4,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
44,4,archive_signal,pin public notice board,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
45,4,signal_orchard,dim relay for caravan,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
46,4,orchard_riverbend,lay dry stepping mats,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
47,4,central_repair_ring,queue repair token,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
48,4,riverbend_roofward,place temporary bridge marker,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
49,4,roofward_archive,open shade cloth cache,True,False,False,False,available,public route aid only; no private workspace inspection,0.0
