tick_id,day,route_id,recovery_before,new_damage,guild_repair,avatar_repair,drill_bonus,recovery_after,stage,unresolved,visible_recovery_marker
0,1,riverbend_roofward,0.68,0.0,0.035773,0.0,0.0,0.715773,open,False,open:0.72
1,1,roofward_archive,0.65,0.0,0.036423,0.0,0.0,0.686423,open,False,open:0.69
2,1,archive_signal,0.62,0.0,0.037073,0.0,0.0,0.657073,open,False,open:0.66
3,1,signal_orchard,0.59,0.08923,0.037723,0.0,0.0,0.538493,shored,True,shored:0.54
4,1,orchard_riverbend,0.56,0.0,0.038373,0.0,0.0,0.598373,open,False,open:0.60
5,1,central_repair_ring,0.53,0.0,0.039023,0.0,0.0,0.569023,shored,True,shored:0.57
6,1,riverbend_roofward,0.715773,0.0,0.0,0.0,0.0,0.715773,open,False,open:0.72
7,1,roofward_archive,0.686423,0.0,0.036436,0.0,0.0,0.722859,open,False,open:0.72
8,1,archive_signal,0.657073,0.0,0.037086,0.0,0.0,0.694159,open,False,open:0.69
9,1,signal_orchard,0.538493,0.0,0.037736,0.0,0.0,0.576229,shored,True,shored:0.58
10,1,orchard_riverbend,0.598373,0.0,0.038386,0.0,0.0,0.636759,open,False,open:0.64
11,1,central_repair_ring,0.569023,0.0,0.039036,0.0,0.0,0.608059,open,False,open:0.61
12,1,riverbend_roofward,0.715773,0.090653,0.035799,0.0,0.0,0.660919,blocked watch,True,blocked watch:0.66
13,1,roofward_archive,0.722859,0.0,0.036449,0.0,0.0,0.759308,open,False,open:0.76
14,2,archive_signal,0.694159,0.0,0.037099,0.0,0.0,0.731258,open,False,open:0.73
15,2,signal_orchard,0.576229,0.0,0.037749,0.0,0.0,0.613978,open,False,open:0.61
16,2,orchard_riverbend,0.636759,0.0,0.038399,0.0,0.0,0.675158,open,False,open:0.68
17,2,central_repair_ring,0.608059,0.0,0.039049,0.0,0.0,0.647108,open,False,open:0.65
18,2,riverbend_roofward,0.660919,0.0,0.035812,0.0,0.0,0.696731,open,False,open:0.70
19,2,roofward_archive,0.759308,0.0,0.036462,0.0,0.0,0.79577,open,False,open:0.80
20,2,archive_signal,0.731258,0.0,0.037112,0.0,0.0,0.76837,open,False,open:0.77
21,2,signal_orchard,0.613978,0.0,0.037762,0.0,0.0,0.65174,open,False,open:0.65
22,2,orchard_riverbend,0.675158,0.092575,0.038412,0.0,0.0,0.620995,blocked watch,True,blocked watch:0.62
23,2,central_repair_ring,0.647108,0.0,0.039062,0.0,0.0,0.68617,open,False,open:0.69
24,2,riverbend_roofward,0.696731,0.0,0.035825,0.0,0.0,0.732556,open,False,open:0.73
25,2,roofward_archive,0.79577,0.0,0.036475,0.0,0.0,0.832245,open,False,open:0.83
26,2,archive_signal,0.76837,0.0,0.037125,0.0,0.0,0.805495,open,False,open:0.81
27,2,signal_orchard,0.65174,0.0,0.037775,0.0,0.0,0.689515,open,False,open:0.69
28,3,orchard_riverbend,0.620995,0.0,0.038425,0.0,0.0,0.65942,open,False,open:0.66
29,3,central_repair_ring,0.68617,0.0,0.039075,0.0,0.0,0.725245,open,False,open:0.73
30,3,riverbend_roofward,0.732556,0.0,0.0,0.0,0.0,0.732556,open,False,open:0.73
31,3,roofward_archive,0.832245,0.0,0.036488,0.0,0.0,0.868733,open,False,open:0.87
32,3,archive_signal,0.805495,0.0,0.037138,0.0,0.0,0.842633,open,False,open:0.84
33,3,signal_orchard,0.689515,0.0,0.037788,0.0,0.0,0.727303,open,False,open:0.73
34,3,orchard_riverbend,0.65942,0.0,0.038438,0.0,0.0,0.697858,open,False,open:0.70
35,3,central_repair_ring,0.725245,0.0,0.039088,0.0,0.0,0.764333,open,False,open:0.76
36,3,riverbend_roofward,0.732556,0.0,0.0,0.0,0.0,0.732556,open,False,open:0.73
37,3,roofward_archive,0.868733,0.0,0.036501,0.0,0.0,0.905234,open,False,open:0.91
38,3,archive_signal,0.842633,0.0,0.037151,0.0,0.0,0.879784,open,False,open:0.88
39,3,signal_orchard,0.727303,0.0,0.037801,0.0,0.0,0.765104,open,False,open:0.77
40,3,orchard_riverbend,0.697858,0.02,0.038451,0.0,0.0,0.716309,open,False,open:0.72
41,3,central_repair_ring,0.764333,0.0,0.039101,0.0,0.0,0.803434,open,False,open:0.80
42,4,riverbend_roofward,0.732556,0.0,0.035864,0.0,0.0,0.76842,open,False,open:0.77
43,4,roofward_archive,0.905234,0.0,0.036514,0.0,0.0,0.941748,open,False,open:0.94
44,4,archive_signal,0.879784,0.0,0.037164,0.0,0.0,0.916948,open,False,open:0.92
45,4,signal_orchard,0.765104,0.0,0.037814,0.0,0.0,0.802918,open,False,open:0.80
46,4,orchard_riverbend,0.716309,0.0,0.038464,0.0,0.0,0.754773,open,False,open:0.75
47,4,central_repair_ring,0.803434,0.0,0.0,0.0,0.0,0.803434,open,False,open:0.80
48,4,riverbend_roofward,0.76842,0.0,0.035877,0.0,0.0,0.804297,open,False,open:0.80
49,4,roofward_archive,0.941748,0.0,0.036527,0.0,0.0,0.96,open,False,open:0.96
50,4,archive_signal,0.916948,0.02,0.037177,0.0,0.0,0.934125,open,False,open:0.93
51,4,signal_orchard,0.802918,0.0,0.037827,0.0,0.0,0.840745,open,False,open:0.84
52,4,orchard_riverbend,0.754773,0.0,0.038477,0.0,0.0,0.79325,open,False,open:0.79
53,4,central_repair_ring,0.803434,0.0,0.0,0.0,0.0,0.803434,open,False,open:0.80
54,4,riverbend_roofward,0.804297,0.0,0.03589,0.0,0.0,0.840187,open,False,open:0.84
55,4,roofward_archive,0.96,0.0,0.03654,0.0,0.0,0.96,open,False,open:0.96
56,5,archive_signal,0.934125,0.0,0.03719,0.0,0.0,0.96,open,False,open:0.96
57,5,signal_orchard,0.840745,0.0,0.03784,0.0,0.0,0.878585,open,False,open:0.88
58,5,orchard_riverbend,0.79325,0.0,0.03849,0.0,0.0,0.83174,open,False,open:0.83
59,5,central_repair_ring,0.803434,0.02,0.03914,0.0,0.0,0.822574,open,False,open:0.82
60,5,riverbend_roofward,0.840187,0.0,0.035903,0.0,0.0,0.87609,open,False,open:0.88
61,5,roofward_archive,0.96,0.0,0.036553,0.0,0.0,0.96,open,False,open:0.96
62,5,archive_signal,0.96,0.0,0.037203,0.0,0.0,0.96,open,False,open:0.96
63,5,signal_orchard,0.878585,0.0,0.037853,0.0,0.0,0.916438,open,False,open:0.92
64,5,orchard_riverbend,0.83174,0.0,0.038503,0.0,0.0,0.870243,open,False,open:0.87
65,5,central_repair_ring,0.822574,0.0,0.039153,0.0,0.0,0.861727,open,False,open:0.86
66,5,riverbend_roofward,0.87609,0.0,0.035916,0.0,0.0,0.912006,open,False,open:0.91
67,5,roofward_archive,0.96,0.0,0.036566,0.0,0.0,0.96,open,False,open:0.96
68,5,archive_signal,0.96,0.02,0.037216,0.0,0.0,0.96,open,False,open:0.96
69,5,signal_orchard,0.916438,0.0,0.037866,0.0,0.0,0.954304,open,False,open:0.95
70,6,orchard_riverbend,0.870243,0.0,0.038516,0.0,0.0,0.908759,open,False,open:0.91
71,6,central_repair_ring,0.861727,0.0,0.039166,0.0,0.0,0.900893,open,False,open:0.90
72,6,riverbend_roofward,0.912006,0.0,0.035929,0.0,0.0,0.947935,open,False,open:0.95
73,6,roofward_archive,0.96,0.0,0.036579,0.0,0.0,0.96,open,False,open:0.96
74,6,archive_signal,0.96,0.0,0.037229,0.0,0.0,0.96,open,False,open:0.96
75,6,signal_orchard,0.954304,0.0,0.0,0.0,0.0,0.954304,open,False,open:0.95
76,6,orchard_riverbend,0.908759,0.0,0.038529,0.0,0.0,0.947288,open,False,open:0.95
77,6,central_repair_ring,0.900893,0.0,0.039179,0.0,0.0,0.940072,open,False,open:0.94
78,6,riverbend_roofward,0.947935,0.02,0.035942,0.0,0.0,0.96,open,False,open:0.96
79,6,roofward_archive,0.96,0.0,0.036592,0.0,0.0,0.96,open,False,open:0.96
80,6,archive_signal,0.96,0.0,0.038241,0.0,0.0,0.96,open,False,open:0.96
81,6,signal_orchard,0.954304,0.0,0.0,0.0,0.0,0.954304,open,False,open:0.95
82,6,orchard_riverbend,0.947288,0.0,0.038542,0.0,0.0,0.96,open,False,open:0.96
83,6,central_repair_ring,0.940072,0.0,0.039192,0.0,0.0,0.96,open,False,open:0.96
84,7,roofward_archive,0.96,0.0,0.036605,0.0,0.0,0.96,open,False,open:0.96
85,7,archive_signal,0.96,0.0,0.038254,0.0,0.0,0.96,open,False,open:0.96
86,7,signal_orchard,0.954304,0.0,0.0,0.0,0.0,0.954304,open,False,open:0.95
87,7,orchard_riverbend,0.96,0.02,0.038555,0.0,0.0,0.96,open,False,open:0.96
88,7,central_repair_ring,0.96,0.0,0.039205,0.0,0.0,0.96,open,False,open:0.96
89,7,riverbend_roofward,0.96,0.0,0.035955,0.0,0.0,0.96,open,False,open:0.96
90,7,roofward_archive,0.96,0.0,0.037617,0.0,0.0,0.96,open,False,open:0.96
91,7,archive_signal,0.96,0.0,0.038267,0.0,0.0,0.96,open,False,open:0.96
92,7,signal_orchard,0.954304,0.089937,0.0,0.0,0.0,0.864367,blocked watch,True,blocked watch:0.86
93,7,orchard_riverbend,0.96,0.0,0.038568,0.0,0.0,0.96,open,False,open:0.96
94,7,central_repair_ring,0.96,0.0,0.039218,0.0,0.0,0.96,open,False,open:0.96
95,7,riverbend_roofward,0.96,0.0,0.035968,0.0,0.0,0.96,open,False,open:0.96
96,7,roofward_archive,0.96,0.0,0.03763,0.0,0.0,0.96,open,False,open:0.96
97,7,archive_signal,0.96,0.0,0.03828,0.0,0.0,0.96,open,False,open:0.96
98,8,signal_orchard,0.864367,0.0,0.037931,0.0,0.0,0.902298,open,False,open:0.90
99,8,orchard_riverbend,0.96,0.0,0.038581,0.0,0.0,0.96,open,False,open:0.96
100,8,central_repair_ring,0.96,0.0,0.039231,0.055,0.0,0.96,open,False,open:0.96
101,8,riverbend_roofward,0.96,0.0,0.035981,0.0,0.0,0.96,open,False,open:0.96
102,8,roofward_archive,0.96,0.0,0.037643,0.0,0.0,0.96,open,False,open:0.96
103,8,archive_signal,0.96,0.0,0.038293,0.055,0.0,0.96,open,False,open:0.96
104,8,signal_orchard,0.902298,0.0,0.037944,0.0,0.0,0.940242,open,False,open:0.94
105,8,orchard_riverbend,0.96,0.0,0.038594,0.0,0.0,0.96,open,False,open:0.96
106,8,central_repair_ring,0.96,0.0,0.039244,0.0,0.0,0.96,open,False,open:0.96
107,8,riverbend_roofward,0.96,0.0,0.035994,0.055,0.0,0.96,open,False,open:0.96
108,8,roofward_archive,0.96,0.0,0.037656,0.0,0.0,0.96,open,False,open:0.96
109,8,archive_signal,0.96,0.0,0.038306,0.055,0.0,0.96,open,False,open:0.96
110,8,signal_orchard,0.940242,0.089979,0.037957,0.0,0.0,0.88822,blocked watch,True,blocked watch:0.89
111,8,orchard_riverbend,0.96,0.0,0.038607,0.0,0.0,0.96,open,False,open:0.96
112,9,central_repair_ring,0.96,0.0,0.039257,0.0,0.0,0.96,open,False,open:0.96
113,9,riverbend_roofward,0.96,0.0,0.036007,0.0,0.0,0.96,open,False,open:0.96
114,9,roofward_archive,0.96,0.0,0.037669,0.055,0.0,0.96,open,False,open:0.96
115,9,archive_signal,0.96,0.02,0.038319,0.0,0.0,0.96,open,False,open:0.96
116,9,signal_orchard,0.88822,0.0,0.03797,0.0,0.0,0.92619,open,False,open:0.93
117,9,orchard_riverbend,0.96,0.0,0.03862,0.0,0.0,0.96,open,False,open:0.96
118,9,central_repair_ring,0.96,0.0,0.03927,0.0,0.0,0.96,open,False,open:0.96
119,9,riverbend_roofward,0.96,0.0,0.03602,0.0,0.0,0.96,open,False,open:0.96
120,9,roofward_archive,0.96,0.02,0.037682,0.0,0.0,0.96,open,False,open:0.96
121,9,archive_signal,0.96,0.0,0.038332,0.055,0.0,0.96,open,False,open:0.96
122,9,signal_orchard,0.92619,0.0,0.037983,0.0,0.0,0.96,open,False,open:0.96
123,9,orchard_riverbend,0.96,0.0,0.038633,0.055,0.0,0.96,open,False,open:0.96
124,9,central_repair_ring,0.96,0.0,0.039283,0.0,0.0,0.96,open,False,open:0.96
125,9,riverbend_roofward,0.96,0.0,0.036033,0.0,0.0,0.96,open,False,open:0.96
126,10,roofward_archive,0.96,0.0,0.037695,0.0,0.0,0.96,open,False,open:0.96
127,10,archive_signal,0.96,0.0,0.038345,0.0,0.0,0.96,open,False,open:0.96
128,10,signal_orchard,0.96,0.0,0.037996,0.055,0.0,0.96,open,False,open:0.96
129,10,orchard_riverbend,0.96,0.0,0.038646,0.0,0.0,0.96,open,False,open:0.96
130,10,central_repair_ring,0.96,0.0,0.039296,0.0,0.0,0.96,open,False,open:0.96
131,10,riverbend_roofward,0.96,0.0,0.036046,0.055,0.0,0.96,open,False,open:0.96
132,10,roofward_archive,0.96,0.0,0.037708,0.0,0.0,0.96,open,False,open:0.96
133,10,archive_signal,0.96,0.0,0.038358,0.0,0.0,0.96,open,False,open:0.96
134,10,signal_orchard,0.96,0.0,0.038009,0.0,0.0,0.96,open,False,open:0.96
135,10,orchard_riverbend,0.96,0.0,0.038659,0.055,0.0,0.96,open,False,open:0.96
136,10,central_repair_ring,0.96,0.0,0.039309,0.0,0.0,0.96,open,False,open:0.96
137,10,riverbend_roofward,0.96,0.0,0.036059,0.055,0.0,0.96,open,False,open:0.96
138,10,roofward_archive,0.96,0.02,0.037721,0.0,0.0,0.96,open,False,open:0.96
139,10,archive_signal,0.96,0.0,0.038371,0.0,0.0,0.96,open,False,open:0.96
140,11,signal_orchard,0.96,0.0,0.038022,0.0,0.0,0.96,open,False,open:0.96
141,11,orchard_riverbend,0.96,0.0,0.038672,0.0,0.0,0.96,open,False,open:0.96
142,11,central_repair_ring,0.96,0.0,0.040321,0.055,0.0,0.96,open,False,open:0.96
143,11,riverbend_roofward,0.96,0.09172,0.036072,0.0,0.0,0.904352,blocked watch,True,blocked watch:0.90
144,11,roofward_archive,0.96,0.0,0.037734,0.0,0.0,0.96,open,False,open:0.96
145,11,archive_signal,0.96,0.0,0.038384,0.055,0.0,0.96,open,False,open:0.96
146,11,signal_orchard,0.96,0.0,0.038035,0.0,0.0,0.96,open,False,open:0.96
147,11,orchard_riverbend,0.96,0.0,0.038685,0.0,0.0,0.96,open,False,open:0.96
148,11,central_repair_ring,0.96,0.02,0.040334,0.0,0.0,0.96,open,False,open:0.96
149,11,riverbend_roofward,0.904352,0.0,0.036085,0.055,0.0,0.96,open,False,open:0.96
150,11,roofward_archive,0.96,0.0,0.037747,0.0,0.0,0.96,open,False,open:0.96
151,11,archive_signal,0.96,0.0,0.038397,0.055,0.0,0.96,open,False,open:0.96
152,11,signal_orchard,0.96,0.0,0.038048,0.0,0.0,0.96,open,False,open:0.96
153,11,orchard_riverbend,0.96,0.0,0.038698,0.0,0.0,0.96,open,False,open:0.96
154,12,central_repair_ring,0.96,0.0,0.040347,0.0,0.0,0.96,open,False,open:0.96
155,12,riverbend_roofward,0.96,0.0,0.036098,0.0,0.0,0.96,open,False,open:0.96
156,12,roofward_archive,0.96,0.0,0.03776,0.0,0.0,0.96,open,False,open:0.96
157,12,archive_signal,0.96,0.0,0.03841,0.0,0.0,0.96,open,False,open:0.96
158,12,signal_orchard,0.96,0.0,0.038061,0.0,0.0,0.96,open,False,open:0.96
159,12,orchard_riverbend,0.96,0.0,0.038711,0.055,0.0,0.96,open,False,open:0.96
160,12,central_repair_ring,0.96,0.0,0.04036,0.0,0.0,0.96,open,False,open:0.96
161,12,riverbend_roofward,0.96,0.0,0.036111,0.0,0.0,0.96,open,False,open:0.96
162,12,roofward_archive,0.96,0.0,0.037773,0.0,0.0,0.96,open,False,open:0.96
163,12,archive_signal,0.96,0.0,0.038423,0.055,0.0,0.96,open,False,open:0.96
164,12,signal_orchard,0.96,0.0,0.038074,0.0,0.0,0.96,open,False,open:0.96
165,12,orchard_riverbend,0.96,0.0,0.038724,0.055,0.0,0.96,open,False,open:0.96
166,12,central_repair_ring,0.96,0.02,0.040373,0.0,0.0,0.96,open,False,open:0.96
167,12,riverbend_roofward,0.96,0.0,0.036124,0.0,0.0,0.96,open,False,open:0.96
168,13,roofward_archive,0.96,0.0,0.037786,0.0,0.0,0.96,open,False,open:0.96
169,13,archive_signal,0.96,0.0,0.038436,0.0,0.0,0.96,open,False,open:0.96
170,13,signal_orchard,0.96,0.0,0.039086,0.055,0.0,0.96,open,False,open:0.96
171,13,orchard_riverbend,0.96,0.0,0.038737,0.0,0.0,0.96,open,False,open:0.96
172,13,central_repair_ring,0.96,0.0,0.040386,0.0,0.0,0.96,open,False,open:0.96
173,13,riverbend_roofward,0.96,0.0,0.036137,0.055,0.0,0.96,open,False,open:0.96
174,13,roofward_archive,0.96,0.0,0.037799,0.0,0.0,0.96,open,False,open:0.96
175,13,archive_signal,0.96,0.0,0.038449,0.0,0.0,0.96,open,False,open:0.96
176,13,signal_orchard,0.96,0.09172,0.039099,0.0,0.0,0.907379,blocked watch,True,blocked watch:0.91
177,13,orchard_riverbend,0.96,0.0,0.03875,0.055,0.0,0.96,open,False,open:0.96
178,13,central_repair_ring,0.96,0.0,0.040399,0.0,0.0,0.96,open,False,open:0.96
179,13,riverbend_roofward,0.96,0.0,0.03615,0.055,0.0,0.96,open,False,open:0.96
180,13,roofward_archive,0.96,0.0,0.037812,0.0,0.0,0.96,open,False,open:0.96
181,13,archive_signal,0.96,0.0,0.038462,0.0,0.0,0.96,open,False,open:0.96
182,14,orchard_riverbend,0.96,0.0,0.038763,0.0,0.0,0.96,open,False,open:0.96
183,14,central_repair_ring,0.96,0.0,0.040412,0.0,0.0,0.96,open,False,open:0.96
184,14,riverbend_roofward,0.96,0.0,0.036163,0.055,0.0,0.96,open,False,open:0.96
185,14,roofward_archive,0.96,0.02,0.037825,0.0,0.0,0.96,open,False,open:0.96
186,14,archive_signal,0.96,0.0,0.038475,0.0,0.0,0.96,open,False,open:0.96
187,14,signal_orchard,0.907379,0.0,0.039112,0.055,0.0,0.96,open,False,open:0.96
188,14,orchard_riverbend,0.96,0.0,0.038776,0.0,0.0,0.96,open,False,open:0.96
189,14,central_repair_ring,0.96,0.0,0.040425,0.0,0.0,0.96,open,False,open:0.96
190,14,riverbend_roofward,0.96,0.0,0.036176,0.0,0.0,0.96,open,False,open:0.96
191,14,roofward_archive,0.96,0.0,0.037838,0.0,0.0,0.96,open,False,open:0.96
192,14,archive_signal,0.96,0.0,0.039487,0.0,0.0,0.96,open,False,open:0.96
193,14,signal_orchard,0.96,0.0,0.039125,0.055,0.0,0.96,open,False,open:0.96
194,14,orchard_riverbend,0.96,0.0,0.038789,0.0,0.0,0.96,open,False,open:0.96
195,14,central_repair_ring,0.96,0.0,0.040438,0.0,0.0,0.96,open,False,open:0.96
196,15,riverbend_roofward,0.96,0.0,0.036189,0.0,0.0,0.96,open,False,open:0.96
197,15,roofward_archive,0.96,0.0,0.037851,0.0,0.0,0.96,open,False,open:0.96
198,15,archive_signal,0.96,0.0,0.0395,0.055,0.0,0.96,open,False,open:0.96
199,15,signal_orchard,0.96,0.0,0.039138,0.0,0.0,0.96,open,False,open:0.96
200,15,orchard_riverbend,0.96,0.0,0.038802,0.0,0.0,0.96,open,False,open:0.96
201,15,central_repair_ring,0.96,0.0,0.040451,0.055,0.0,0.96,open,False,open:0.96
202,15,riverbend_roofward,0.96,0.0,0.036202,0.0,0.0,0.96,open,False,open:0.96
203,15,roofward_archive,0.96,0.0,0.037864,0.0,0.0,0.96,open,False,open:0.96
204,15,archive_signal,0.96,0.0,0.039513,0.0,0.0,0.96,open,False,open:0.96
205,15,signal_orchard,0.96,0.0,0.039151,0.0,0.0,0.96,open,False,open:0.96
