tick_id,day,route_id,replay_event,state_hash,includes_route_plan,includes_caravan,includes_forecast,includes_disaster_drill,includes_guild_record,includes_avatar_intervention,replay_exportable
0,1,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-574364,True,True,True,False,True,False,True
1,1,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-600940,True,True,True,False,True,False,True
2,1,archive_signal,spring_rain:archive_signal:direct route:open,v29-520406,True,True,True,False,True,False,True
3,1,signal_orchard,spring_rain:signal_orchard:direct route:shored,v29-512285,True,True,True,False,True,False,True
4,1,orchard_riverbend,spring_rain:orchard_riverbend:direct route:open,v29-559816,True,True,True,False,True,False,True
5,1,central_repair_ring,spring_rain:central_repair_ring:direct route:shored,v29-612283,True,True,True,False,True,False,True
6,1,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-574995,True,True,True,False,True,False,True
7,1,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-601458,True,True,True,False,True,False,True
8,1,archive_signal,spring_rain:archive_signal:direct route:open,v29-521263,True,True,True,False,True,False,True
9,1,signal_orchard,spring_rain:signal_orchard:direct route:shored,v29-540060,True,True,True,False,True,False,True
10,1,orchard_riverbend,spring_rain:orchard_riverbend:direct route:open,v29-569194,True,True,True,False,True,False,True
11,1,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-587558,True,True,True,False,True,False,True
12,1,riverbend_roofward,spring_rain:riverbend_roofward:direct route:blocked watch,v29-698045,True,True,True,False,True,False,True
13,1,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-611409,True,True,True,False,True,False,True
14,2,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-575697,True,True,True,False,True,False,True
15,2,signal_orchard,spring_rain:signal_orchard:direct route:open,v29-528973,True,True,True,False,True,False,True
16,2,orchard_riverbend,spring_rain:orchard_riverbend:direct route:open,v29-569956,True,True,True,False,True,False,True
17,2,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-595513,True,True,True,False,True,False,True
18,2,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-585020,True,True,True,False,True,False,True
19,2,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-611069,True,True,True,False,True,False,True
20,2,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-574533,True,True,True,False,True,False,True
21,2,signal_orchard,spring_rain:signal_orchard:river lantern loop:open,v29-596196,True,True,True,False,True,False,True
22,2,orchard_riverbend,spring_rain:orchard_riverbend:direct route:blocked watch,v29-682915,True,True,True,False,True,False,True
23,2,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-596772,True,True,True,False,True,False,True
24,2,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-582903,True,True,True,False,True,False,True
25,2,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-611010,True,True,True,False,True,False,True
26,2,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-575882,True,True,True,False,True,False,True
27,2,signal_orchard,spring_rain:signal_orchard:river lantern loop:open,v29-602517,True,True,True,False,True,False,True
28,3,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-642808,True,True,True,False,True,False,True
29,3,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-596923,True,True,True,False,True,False,True
30,3,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-582708,True,True,True,False,True,False,True
31,3,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-611291,True,True,True,False,True,False,True
32,3,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-575468,True,True,True,False,True,False,True
33,3,signal_orchard,spring_rain:signal_orchard:direct route:open,v29-530358,True,True,True,False,True,False,True
34,3,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-643106,True,True,True,False,True,False,True
35,3,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-596355,True,True,True,False,True,False,True
36,3,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-584544,True,True,True,False,True,False,True
37,3,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-611574,True,True,True,False,True,False,True
38,3,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-574318,True,True,True,False,True,False,True
39,3,signal_orchard,spring_rain:signal_orchard:river lantern loop:open,v29-604294,True,True,True,False,True,False,True
40,3,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-641657,True,True,True,False,True,False,True
41,3,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-596887,True,True,True,False,True,False,True
42,4,riverbend_roofward,spring_rain:riverbend_roofward:orchard_fen ridge path:open,v29-706626,True,True,True,False,True,False,True
43,4,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-612464,True,True,True,False,True,False,True
44,4,archive_signal,spring_rain:archive_signal:direct route:open,v29-529583,True,True,True,False,True,False,True
45,4,signal_orchard,spring_rain:signal_orchard:river lantern loop:open,v29-603383,True,True,True,False,True,False,True
46,4,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-643199,True,True,True,False,True,False,True
47,4,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-595117,True,True,True,False,True,False,True
48,4,riverbend_roofward,spring_rain:riverbend_roofward:orchard_fen ridge path:open,v29-708071,True,True,True,False,True,False,True
49,4,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-612121,True,True,True,False,True,False,True
50,4,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-567942,True,True,True,False,True,False,True
51,4,signal_orchard,spring_rain:signal_orchard:river lantern loop:open,v29-602673,True,True,True,False,True,False,True
52,4,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-642116,True,True,True,False,True,False,True
53,4,central_repair_ring,spring_rain:central_repair_ring:direct route:open,v29-596105,True,True,True,False,True,False,True
54,4,riverbend_roofward,spring_rain:riverbend_roofward:orchard_fen ridge path:open,v29-707082,True,True,True,False,True,False,True
55,4,roofward_archive,spring_rain:roofward_archive:direct route:open,v29-557622,True,True,True,False,True,False,True
56,5,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-576093,True,True,True,False,True,False,True
57,5,signal_orchard,spring_rain:signal_orchard:river lantern loop:open,v29-603328,True,True,True,False,True,False,True
58,5,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-644002,True,True,True,False,True,False,True
59,5,central_repair_ring,spring_rain:central_repair_ring:outer bell path:open,v29-619451,True,True,True,False,True,False,True
60,5,riverbend_roofward,spring_rain:riverbend_roofward:orchard_fen ridge path:open,v29-706250,True,True,True,False,True,False,True
61,5,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-610753,True,True,True,False,True,False,True
62,5,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-567906,True,True,True,False,True,False,True
63,5,signal_orchard,spring_rain:signal_orchard:direct route:open,v29-529625,True,True,True,False,True,False,True
64,5,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-642807,True,True,True,False,True,False,True
65,5,central_repair_ring,spring_rain:central_repair_ring:outer bell path:open,v29-628189,True,True,True,False,True,False,True
66,5,riverbend_roofward,spring_rain:riverbend_roofward:direct route:open,v29-584622,True,True,True,False,True,False,True
67,5,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-612869,True,True,True,False,True,False,True
68,5,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-575821,True,True,True,False,True,False,True
69,5,signal_orchard,spring_rain:signal_orchard:direct route:open,v29-530144,True,True,True,False,True,False,True
70,6,orchard_riverbend,spring_rain:orchard_riverbend:market plank route:open,v29-643343,True,True,True,False,True,False,True
71,6,central_repair_ring,spring_rain:central_repair_ring:outer bell path:open,v29-627734,True,True,True,False,True,False,True
72,6,riverbend_roofward,spring_rain:riverbend_roofward:orchard_fen ridge path:open,v29-699151,True,True,True,False,True,False,True
73,6,roofward_archive,spring_rain:roofward_archive:cool archive lane:open,v29-611664,True,True,True,False,True,False,True
74,6,archive_signal,spring_rain:archive_signal:stone kiosk path:open,v29-575861,True,True,True,False,True,False,True
75,6,signal_orchard,spring_rain:signal_orchard:direct route:open,v29-530892,True,True,True,False,True,False,True
