tick_id,day,season,region,forecast_key,stored_by,hazard,risk_score,valid_until_day,used_for_route,forecast_revision,public_archive_visible
0,1,spring_rain,riverbend,forecast:riverbend_roofward:d1:r0,Ari,river flood,0.40944,6,riverbend_roofward,1,True
1,1,spring_rain,roofward,forecast:roofward_archive:d1:r0,Fay,glasshouse heat surge,0.498,6,roofward_archive,1,True
2,1,spring_rain,archive_quarter,forecast:archive_signal:d1:r0,Nia,wind archive scatter,0.3,6,archive_signal,0,True
3,1,spring_rain,signal_ridge,forecast:signal_orchard:d1:r0,Milo,dusk ice,0.3,6,signal_orchard,0,True
4,1,spring_rain,orchard_fen,forecast:orchard_riverbend:d1:r0,Ivo,fen mud,0.3,6,orchard_riverbend,0,True
5,1,spring_rain,central_exchange,forecast:central_repair_ring:d1:r0,Juno,crowded repair yard,0.3,6,central_repair_ring,0,True
6,1,spring_rain,riverbend,forecast:riverbend_roofward:d1:r1,Ari,river flood,0.40944,6,riverbend_roofward,1,True
7,1,spring_rain,roofward,forecast:roofward_archive:d1:r1,Fay,glasshouse heat surge,0.594018,6,roofward_archive,2,True
8,1,spring_rain,archive_quarter,forecast:archive_signal:d1:r0,Nia,wind archive scatter,0.3,6,archive_signal,0,True
9,1,spring_rain,signal_ridge,forecast:signal_orchard:d1:r0,Milo,dusk ice,0.3,6,signal_orchard,0,True
10,1,spring_rain,orchard_fen,forecast:orchard_riverbend:d1:r0,Ivo,fen mud,0.3,6,orchard_riverbend,0,True
11,1,spring_rain,central_exchange,forecast:central_repair_ring:d1:r0,Juno,crowded repair yard,0.3,6,central_repair_ring,0,True
12,1,spring_rain,riverbend,forecast:riverbend_roofward:d1:r1,Ari,river flood,0.40944,6,riverbend_roofward,1,True
13,1,spring_rain,roofward,forecast:roofward_archive:d1:r2,Fay,glasshouse heat surge,0.445479,6,roofward_archive,3,True
14,2,spring_rain,archive_quarter,forecast:archive_signal:d2:r0,Nia,wind archive scatter,0.538021,7,archive_signal,1,True
15,2,spring_rain,signal_ridge,forecast:signal_orchard:d2:r0,Milo,dusk ice,0.3,7,signal_orchard,0,True
16,2,spring_rain,orchard_fen,forecast:orchard_riverbend:d2:r0,Ivo,fen mud,0.3,7,orchard_riverbend,0,True
17,2,spring_rain,central_exchange,forecast:central_repair_ring:d2:r0,Juno,crowded repair yard,0.3,7,central_repair_ring,0,True
18,2,spring_rain,riverbend,forecast:riverbend_roofward:d2:r1,Ari,river flood,0.40944,7,riverbend_roofward,1,True
19,2,spring_rain,roofward,forecast:roofward_archive:d2:r3,Fay,glasshouse heat surge,0.445479,7,roofward_archive,3,True
20,2,spring_rain,archive_quarter,forecast:archive_signal:d2:r1,Nia,wind archive scatter,0.429195,7,archive_signal,2,True
21,2,spring_rain,signal_ridge,forecast:signal_orchard:d2:r0,Milo,dusk ice,0.457394,7,signal_orchard,1,True
22,2,spring_rain,orchard_fen,forecast:orchard_riverbend:d2:r0,Ivo,fen mud,0.3,7,orchard_riverbend,0,True
23,2,spring_rain,central_exchange,forecast:central_repair_ring:d2:r0,Juno,crowded repair yard,0.3,7,central_repair_ring,0,True
24,2,spring_rain,riverbend,forecast:riverbend_roofward:d2:r1,Ari,river flood,0.40944,7,riverbend_roofward,1,True
25,2,spring_rain,roofward,forecast:roofward_archive:d2:r3,Fay,glasshouse heat surge,0.445479,7,roofward_archive,3,True
26,2,spring_rain,archive_quarter,forecast:archive_signal:d2:r2,Nia,wind archive scatter,0.525652,7,archive_signal,3,True
27,2,spring_rain,signal_ridge,forecast:signal_orchard:d2:r1,Milo,dusk ice,0.457394,7,signal_orchard,1,True
28,3,spring_rain,orchard_fen,forecast:orchard_riverbend:d3:r0,Ivo,fen mud,0.456888,8,orchard_riverbend,1,True
29,3,spring_rain,central_exchange,forecast:central_repair_ring:d3:r0,Juno,crowded repair yard,0.3,8,central_repair_ring,0,True
30,3,spring_rain,riverbend,forecast:riverbend_roofward:d3:r1,Ari,river flood,0.40944,8,riverbend_roofward,1,True
31,3,spring_rain,roofward,forecast:roofward_archive:d3:r3,Fay,glasshouse heat surge,0.445479,8,roofward_archive,3,True
32,3,spring_rain,archive_quarter,forecast:archive_signal:d3:r3,Nia,wind archive scatter,0.525652,8,archive_signal,3,True
33,3,spring_rain,signal_ridge,forecast:signal_orchard:d3:r1,Milo,dusk ice,0.452825,8,signal_orchard,2,True
34,3,spring_rain,orchard_fen,forecast:orchard_riverbend:d3:r1,Ivo,fen mud,0.456888,8,orchard_riverbend,1,True
35,3,spring_rain,central_exchange,forecast:central_repair_ring:d3:r0,Juno,crowded repair yard,0.362982,8,central_repair_ring,1,True
36,3,spring_rain,riverbend,forecast:riverbend_roofward:d3:r1,Ari,river flood,0.40944,8,riverbend_roofward,1,True
37,3,spring_rain,roofward,forecast:roofward_archive:d3:r3,Fay,glasshouse heat surge,0.445479,8,roofward_archive,3,True
38,3,spring_rain,archive_quarter,forecast:archive_signal:d3:r3,Nia,wind archive scatter,0.525652,8,archive_signal,3,True
39,3,spring_rain,signal_ridge,forecast:signal_orchard:d3:r2,Milo,dusk ice,0.492025,8,signal_orchard,3,True
40,3,spring_rain,orchard_fen,forecast:orchard_riverbend:d3:r1,Ivo,fen mud,0.456888,8,orchard_riverbend,1,True
41,3,spring_rain,central_exchange,forecast:central_repair_ring:d3:r1,Juno,crowded repair yard,0.362982,8,central_repair_ring,1,True
42,4,spring_rain,riverbend,forecast:riverbend_roofward:d4:r1,Ari,river flood,0.565899,9,riverbend_roofward,2,True
43,4,spring_rain,roofward,forecast:roofward_archive:d4:r3,Fay,glasshouse heat surge,0.445479,9,roofward_archive,3,True
44,4,spring_rain,archive_quarter,forecast:archive_signal:d4:r3,Nia,wind archive scatter,0.525652,9,archive_signal,3,True
45,4,spring_rain,signal_ridge,forecast:signal_orchard:d4:r3,Milo,dusk ice,0.492025,9,signal_orchard,3,True
46,4,spring_rain,orchard_fen,forecast:orchard_riverbend:d4:r1,Ivo,fen mud,0.493954,9,orchard_riverbend,2,True
47,4,spring_rain,central_exchange,forecast:central_repair_ring:d4:r1,Juno,crowded repair yard,0.362982,9,central_repair_ring,1,True
48,4,spring_rain,riverbend,forecast:riverbend_roofward:d4:r2,Ari,river flood,0.565899,9,riverbend_roofward,2,True
49,4,spring_rain,roofward,forecast:roofward_archive:d4:r3,Fay,glasshouse heat surge,0.474528,9,roofward_archive,4,True
50,4,spring_rain,archive_quarter,forecast:archive_signal:d4:r3,Nia,wind archive scatter,0.525652,9,archive_signal,3,True
51,4,spring_rain,signal_ridge,forecast:signal_orchard:d4:r3,Milo,dusk ice,0.492025,9,signal_orchard,3,True
52,4,spring_rain,orchard_fen,forecast:orchard_riverbend:d4:r2,Ivo,fen mud,0.544763,9,orchard_riverbend,3,True
53,4,spring_rain,central_exchange,forecast:central_repair_ring:d4:r1,Juno,crowded repair yard,0.362982,9,central_repair_ring,1,True
54,4,spring_rain,riverbend,forecast:riverbend_roofward:d4:r2,Ari,river flood,0.565899,9,riverbend_roofward,2,True
55,4,spring_rain,roofward,forecast:roofward_archive:d4:r4,Fay,glasshouse heat surge,0.474528,9,roofward_archive,4,True
56,5,spring_rain,archive_quarter,forecast:archive_signal:d5:r3,Nia,wind archive scatter,0.497526,10,archive_signal,4,True
