tick_index,agent,event_kind,public_body_marker,public_affect_marker,private_trace_hint,care_or_refusal,replay_import_export_token,trace_integrity_token
1,Ari,ordinary_walk,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.745; affordance=ordinary_self_regulation,ordinary,import_export_ready:True,r242:1:Ari:ordinary_walk:attachment:0.745
2,Fay,cold_wet_crossing,Fay: settled_recovering; settled open stance; seek_warmth,settled_recovering,driver=cold_wet; coupling=0.756; affordance=seek_dry_warm_route,ordinary,import_export_ready:False,r242:2:Fay:cold_wet_crossing:cold_wet:0.756
3,Milo,heavy_carry,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=movement; coupling=0.745; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:3:Milo:heavy_carry:movement:0.745
4,Sol,sharp_noise,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=overload; coupling=0.762; affordance=lower_sound_and_distance,ordinary,import_export_ready:False,r242:4:Sol:sharp_noise:overload:0.762
5,Ari,crowding,Ari: focused_regulating; balanced regulation; continue_with_regulation,focused_regulating,driver=attachment; coupling=0.823; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:5:Ari:crowding:attachment:0.823
6,Fay,missed_meal,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.811; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:6:Fay:missed_meal:attachment:0.811
7,Milo,pain_twinge,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=attachment; coupling=0.814; affordance=ordinary_self_regulation,ordinary,import_export_ready:False,r242:7:Milo:pain_twinge:attachment:0.814
8,Sol,avatar_gives_space,Sol: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.932; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:8:Sol:avatar_gives_space:attachment:0.932
9,Ari,warm_shelter,Ari: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=attachment; coupling=0.912; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:9:Ari:warm_shelter:attachment:0.912
10,Fay,trusted_help,Fay: settled_recovering; settled open stance; continue_with_regulation,settled_recovering,driver=autonomy; coupling=0.943; affordance=active_recovery_present,ordinary,import_export_ready:False,r242:10:Fay:trusted_help:autonomy:0.943
11,Milo,autonomy_pressure,Milo: curious_exploring; forward lean; approach_novel_pattern,curious_exploring,driver=autonomy; coupling=0.793; affordance=bounded_refusal_or_delay,ordinary,import_export_ready:False,r242:11:Milo:autonomy_pressure:autonomy:0.793
