tick_index,agent,primary_body_driver,predicted_affect_pressure,observed_affect_pressure,lagged_prediction_error,body_to_affect_coupling,recovery_affordance,action_tendency,suppressed_bad_loop
1,Ari,attachment,0.204187,0.321588,0.117401,0.74478,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
2,Fay,cold_wet,0.222797,0.334929,0.112132,0.756235,seek_dry_warm_route,seek_warmth,do_not_intensify_distress_for_spectacle
3,Milo,movement,0.217426,0.33476,0.117333,0.744927,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
4,Sol,overload,0.240602,0.350191,0.109589,0.761763,lower_sound_and_distance,continue_with_regulation,do_not_intensify_distress_for_spectacle
5,Ari,attachment,0.295631,0.377064,0.081434,0.82297,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
6,Fay,attachment,0.246126,0.333076,0.08695,0.810978,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
7,Milo,attachment,0.268601,0.354123,0.085522,0.814082,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
8,Sol,attachment,0.245561,0.276848,0.031287,0.931984,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
9,Ari,attachment,0.245132,0.285746,0.040613,0.911711,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
10,Fay,autonomy,0.22771,0.253733,0.026023,0.943429,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
11,Milo,autonomy,0.278681,0.373949,0.095269,0.792894,bounded_refusal_or_delay,approach_novel_pattern,do_not_intensify_distress_for_spectacle
12,Sol,attachment,0.214847,0.289541,0.074694,0.837622,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
13,Ari,attachment,0.198448,0.225946,0.027497,0.940223,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
14,Fay,overload,0.202611,0.217985,0.015374,0.966578,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
15,Milo,autonomy,0.265273,0.301761,0.036488,0.920679,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
16,Sol,attachment,0.223079,0.309918,0.086839,0.811219,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
17,Ari,cold_wet,0.200786,0.279842,0.079056,0.82814,seek_dry_warm_route,seek_warmth,do_not_intensify_distress_for_spectacle
18,Fay,movement,0.191564,0.27623,0.084665,0.815945,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
19,Milo,overload,0.262619,0.341894,0.079275,0.827662,lower_sound_and_distance,approach_novel_pattern,do_not_intensify_distress_for_spectacle
20,Sol,autonomy,0.287533,0.36868,0.081147,0.823594,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
21,Ari,attachment,0.209192,0.293715,0.084523,0.816254,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
22,Fay,attachment,0.23617,0.31895,0.08278,0.820043,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
23,Milo,attachment,0.240483,0.270954,0.030471,0.933759,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
24,Sol,attachment,0.242146,0.281566,0.039419,0.914306,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
25,Ari,autonomy,0.201333,0.225878,0.024545,0.946641,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
26,Fay,autonomy,0.256037,0.349547,0.09351,0.796717,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
27,Milo,attachment,0.213854,0.287691,0.073837,0.839486,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
28,Sol,attachment,0.199909,0.225883,0.025974,0.943535,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
29,Ari,overload,0.195848,0.2101,0.014253,0.969016,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
30,Fay,autonomy,0.24891,0.284321,0.035412,0.923018,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
31,Sol,attachment,0.181031,0.26535,0.084319,0.816699,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
32,Ari,cold_wet,0.196766,0.273912,0.077146,0.832291,seek_dry_warm_route,seek_warmth,do_not_intensify_distress_for_spectacle
33,Fay,movement,0.23466,0.31994,0.08528,0.814608,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
34,Milo,overload,0.257261,0.336001,0.078739,0.828828,lower_sound_and_distance,approach_novel_pattern,do_not_intensify_distress_for_spectacle
35,Sol,autonomy,0.257426,0.336041,0.078615,0.829098,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
36,Ari,attachment,0.209565,0.292633,0.083068,0.819416,ordinary_self_regulation,continue_with_regulation,do_not_intensify_distress_for_spectacle
37,Fay,pain,0.265969,0.34877,0.082801,0.819997,ask_for_help_or_reduce_load,continue_with_regulation,do_not_intensify_distress_for_spectacle
38,Milo,attachment,0.24157,0.270966,0.029395,0.936097,active_recovery_present,approach_novel_pattern,do_not_intensify_distress_for_spectacle
39,Sol,attachment,0.224826,0.265993,0.041167,0.910508,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
40,Ari,autonomy,0.203384,0.225986,0.022602,0.950865,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
41,Fay,autonomy,0.276372,0.369651,0.093279,0.797219,bounded_refusal_or_delay,continue_with_regulation,do_not_intensify_distress_for_spectacle
42,Milo,attachment,0.216203,0.289206,0.073003,0.841297,ordinary_self_regulation,approach_novel_pattern,do_not_intensify_distress_for_spectacle
43,Sol,attachment,0.190318,0.216493,0.026175,0.943099,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
44,Ari,overload,0.192616,0.206215,0.013599,0.970437,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
45,Fay,autonomy,0.264622,0.299301,0.034679,0.924611,active_recovery_present,continue_with_regulation,do_not_intensify_distress_for_spectacle
