tick_id,day,agent,route_id,public_memory_key,remembered_route_choice,remembered_forecast_revision,remembered_avatar_task,remembered_drill,remembered_reload_recovery,private_workspace_sealed,replay_pointer
0,1,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day1,river ford,rev:1 risk:0.34,tasks:0,score:0.28,recovery:0.66,True,replay:0:riverbend_roofward
1,1,Fay,roofward_archive,v30:Fay:roofward_archive:day1,glass stair,rev:1 risk:0.37,tasks:0,score:0.28,recovery:0.64,True,replay:1:roofward_archive
2,1,Nia,archive_signal,v30:Nia:archive_signal:day1,paper lane,rev:1 risk:0.41,tasks:0,score:0.28,recovery:0.61,True,replay:2:archive_signal
3,1,Milo,signal_orchard,v30:Milo:signal_orchard:day1,dusk road,rev:1 risk:0.42,tasks:0,score:0.28,recovery:0.59,True,replay:3:signal_orchard
4,1,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day1,fen track,rev:1 risk:0.43,tasks:0,score:0.28,recovery:0.57,True,replay:4:orchard_riverbend
5,1,Juno,central_repair_ring,v30:Juno:central_repair_ring:day1,outer bell path,rev:1 risk:0.47,tasks:0,score:0.28,recovery:0.55,True,replay:5:central_repair_ring
6,1,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day1,river ford,rev:1 risk:0.34,tasks:0,score:0.28,recovery:0.66,True,replay:6:riverbend_roofward
7,1,Fay,roofward_archive,v30:Fay:roofward_archive:day1,glass stair,rev:1 risk:0.39,tasks:0,score:0.28,recovery:0.64,True,replay:7:roofward_archive
8,1,Nia,archive_signal,v30:Nia:archive_signal:day1,paper lane,rev:2 risk:0.46,tasks:0,score:0.28,recovery:0.63,True,replay:8:archive_signal
9,1,Milo,signal_orchard,v30:Milo:signal_orchard:day1,dusk road,rev:1 risk:0.44,tasks:0,score:0.28,recovery:0.59,True,replay:9:signal_orchard
10,1,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day1,fen track,rev:1 risk:0.42,tasks:0,score:0.28,recovery:0.57,True,replay:10:orchard_riverbend
