tick_id,day,route_id,recovery_before,route_choice_effect,forecast_effect,task_effect,drill_effect,reload_effect,recovery_after,consequence_after_reload,visible_recovery_marker
0,1,riverbend_roofward,0.66,0.002,-0.006,0.0,0.0,0.006,0.662,False,riverbend_roofward:0.66
1,1,roofward_archive,0.636,0.002,0.0,0.0,0.0,0.0,0.638,False,roofward_archive:0.64
2,1,archive_signal,0.612,0.002,0.0,0.0,0.0,0.0,0.614,False,archive_signal:0.61
3,1,signal_orchard,0.588,0.002,0.0,0.0,0.0,0.0,0.59,False,signal_orchard:0.59
4,1,orchard_riverbend,0.564,0.002,0.0,0.0,0.0,0.0,0.566,False,orchard_riverbend:0.57
5,1,central_repair_ring,0.54,0.012,0.0,0.0,0.0,0.0,0.552,False,central_repair_ring:0.55
6,1,riverbend_roofward,0.662,0.002,0.0,0.0,0.0,0.0,0.664,False,riverbend_roofward:0.66
7,1,roofward_archive,0.638,0.002,0.0,0.0,0.0,0.0,0.64,False,roofward_archive:0.64
8,1,archive_signal,0.614,0.002,0.01,0.0,0.0,0.0,0.626,False,archive_signal:0.63
9,1,signal_orchard,0.59,0.002,0.0,0.0,0.0,0.0,0.592,False,signal_orchard:0.59
10,1,orchard_riverbend,0.566,0.002,0.0,0.0,0.0,0.0,0.568,False,orchard_riverbend:0.57
11,1,central_repair_ring,0.552,0.012,0.0,0.0,0.0,0.0,0.564,False,central_repair_ring:0.56
12,1,riverbend_roofward,0.664,0.002,0.0,0.0,0.0,0.0,0.666,False,riverbend_roofward:0.67
13,1,roofward_archive,0.64,0.002,0.0,0.0,0.0,0.0,0.642,False,roofward_archive:0.64
14,1,archive_signal,0.626,0.002,0.0,0.0,0.0,0.0,0.628,False,archive_signal:0.63
15,1,signal_orchard,0.592,0.002,0.0,0.0,0.0,0.006,0.6,False,signal_orchard:0.60
16,2,orchard_riverbend,0.568,0.002,0.01,0.0,0.0,0.006,0.586,True,orchard_riverbend:0.59
17,2,central_repair_ring,0.564,0.012,0.0,0.0,0.0,0.0,0.576,False,central_repair_ring:0.58
18,2,riverbend_roofward,0.666,0.002,0.0,0.0,0.0,0.0,0.668,False,riverbend_roofward:0.67
19,2,roofward_archive,0.642,0.002,0.0,0.0,0.0,0.0,0.644,False,roofward_archive:0.64
20,2,archive_signal,0.628,0.002,0.0,0.0,0.0,0.0,0.63,False,archive_signal:0.63
21,2,signal_orchard,0.6,0.012,0.0,0.0,0.0,0.0,0.612,False,signal_orchard:0.61
22,2,orchard_riverbend,0.586,0.002,0.0,0.0,0.0,0.0,0.588,False,orchard_riverbend:0.59
23,2,central_repair_ring,0.576,0.012,0.0,0.0,0.0,0.0,0.588,False,central_repair_ring:0.59
24,2,riverbend_roofward,0.668,0.002,0.01,0.0,0.0,0.0,0.68,False,riverbend_roofward:0.68
25,2,roofward_archive,0.644,0.012,0.0,0.0,0.0,0.0,0.656,False,roofward_archive:0.66
26,2,archive_signal,0.63,0.002,0.0,0.0,0.0,0.0,0.632,False,archive_signal:0.63
27,2,signal_orchard,0.612,0.002,0.0,0.0,0.0,0.0,0.614,False,signal_orchard:0.61
28,2,orchard_riverbend,0.588,0.012,0.0,0.0,0.0,0.0,0.6,False,orchard_riverbend:0.60
29,2,central_repair_ring,0.588,0.012,0.0,0.0,0.0,0.0,0.6,False,central_repair_ring:0.60
30,2,riverbend_roofward,0.68,0.002,0.0,0.0,0.0,0.0,0.682,False,riverbend_roofward:0.68
31,2,roofward_archive,0.656,0.012,0.0,0.0,0.0,0.006,0.674,True,roofward_archive:0.67
32,3,archive_signal,0.632,0.002,0.01,0.0,0.0,0.006,0.65,True,archive_signal:0.65
33,3,signal_orchard,0.614,0.002,0.0,0.0,0.0,0.0,0.616,False,signal_orchard:0.62
34,3,orchard_riverbend,0.6,0.012,0.0,0.0,0.0,0.0,0.612,False,orchard_riverbend:0.61
35,3,central_repair_ring,0.6,0.012,0.0,0.0,0.0,0.0,0.612,False,central_repair_ring:0.61
36,3,riverbend_roofward,0.682,0.002,0.0,0.0,0.0,0.0,0.684,False,riverbend_roofward:0.68
37,3,roofward_archive,0.674,0.002,0.0,0.0,0.0,0.0,0.676,False,roofward_archive:0.68
38,3,archive_signal,0.65,0.002,0.0,0.0,0.0,0.0,0.652,False,archive_signal:0.65
39,3,signal_orchard,0.616,0.002,0.0,0.0,0.0,0.0,0.618,False,signal_orchard:0.62
40,3,orchard_riverbend,0.612,0.012,0.01,0.0,0.0,0.0,0.634,False,orchard_riverbend:0.63
41,3,central_repair_ring,0.612,0.012,0.0,0.0,0.0,0.0,0.624,False,central_repair_ring:0.62
42,3,riverbend_roofward,0.684,0.002,0.0,0.0,0.0,0.0,0.686,False,riverbend_roofward:0.69
43,3,roofward_archive,0.676,0.002,0.0,0.0,0.0,0.0,0.678,False,roofward_archive:0.68
44,3,archive_signal,0.652,0.002,0.0,0.0,0.0,0.0,0.654,False,archive_signal:0.65
45,3,signal_orchard,0.618,0.012,0.0,0.0,0.0,0.0,0.63,False,signal_orchard:0.63
46,3,orchard_riverbend,0.634,0.002,0.0,0.0,0.0,0.0,0.636,False,orchard_riverbend:0.64
47,3,central_repair_ring,0.624,0.012,0.0,0.0,0.0,0.006,0.642,True,central_repair_ring:0.64
48,4,riverbend_roofward,0.686,0.002,0.01,0.0,0.0,0.006,0.704,True,riverbend_roofward:0.70
49,4,roofward_archive,0.678,0.012,0.0,0.0,0.0,0.0,0.69,False,roofward_archive:0.69
50,4,archive_signal,0.654,0.002,0.0,0.0,0.0,0.0,0.656,False,archive_signal:0.66
