tick_id,day,tick,route_id,control_surface,keyboard_input,pointer_input,option_count,selected_option,previous_route_choice,updated_route_choice,valid_selection,live_mutation_visible,local_storage_key
0,1,0,riverbend_roofward,route radio buttons + map path highlight,none,none,2,river ford,river ford,river ford,True,False,ssrm_v30_route_choice_riverbend_roofward
1,1,1,roofward_archive,route radio buttons + map path highlight,ArrowRight+Enter,tap direct,2,glass stair,glass stair,glass stair,True,True,ssrm_v30_route_choice_roofward_archive
2,1,2,archive_signal,route radio buttons + map path highlight,none,none,2,paper lane,paper lane,paper lane,True,False,ssrm_v30_route_choice_archive_signal
3,1,3,signal_orchard,route radio buttons + map path highlight,none,none,2,dusk road,dusk road,dusk road,True,False,ssrm_v30_route_choice_signal_orchard
4,1,4,orchard_riverbend,route radio buttons + map path highlight,none,none,2,fen track,fen track,fen track,True,False,ssrm_v30_route_choice_orchard_riverbend
5,1,5,central_repair_ring,route radio buttons + map path highlight,ArrowRight+Enter,tap detour,2,outer bell path,inner repair yard,outer bell path,True,True,ssrm_v30_route_choice_central_repair_ring
6,1,6,riverbend_roofward,route radio buttons + map path highlight,none,none,2,river ford,river ford,river ford,True,False,ssrm_v30_route_choice_riverbend_roofward
7,1,7,roofward_archive,route radio buttons + map path highlight,none,none,2,glass stair,glass stair,glass stair,True,False,ssrm_v30_route_choice_roofward_archive
8,1,8,archive_signal,route radio buttons + map path highlight,none,none,2,paper lane,paper lane,paper lane,True,False,ssrm_v30_route_choice_archive_signal
9,1,9,signal_orchard,route radio buttons + map path highlight,ArrowRight+Enter,tap direct,2,dusk road,dusk road,dusk road,True,True,ssrm_v30_route_choice_signal_orchard
10,1,10,orchard_riverbend,route radio buttons + map path highlight,none,none,2,fen track,fen track,fen track,True,False,ssrm_v30_route_choice_orchard_riverbend
11,1,11,central_repair_ring,route radio buttons + map path highlight,none,none,2,outer bell path,outer bell path,outer bell path,True,False,ssrm_v30_route_choice_central_repair_ring
12,1,12,riverbend_roofward,route radio buttons + map path highlight,none,none,2,river ford,river ford,river ford,True,False,ssrm_v30_route_choice_riverbend_roofward
13,1,13,roofward_archive,route radio buttons + map path highlight,ArrowRight+Enter,tap direct,2,glass stair,glass stair,glass stair,True,True,ssrm_v30_route_choice_roofward_archive
