tick_id,day,tick,route_id,storage_key,state_version,route_choice,forecast_revision,avatar_task_count,recovery_score,editable_json_valid,mutation_source,save_button_visible
0,1,0,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward,1,river ford,1,0,0.622169,False,manual json editor,True
1,1,1,roofward_archive,ssrm_v31_route_state_roofward_archive,3,glass stair,2,1,0.649989,True,manual json editor,True
2,1,2,archive_signal,ssrm_v31_route_state_archive_signal,1,paper lane,1,1,0.615809,True,simulation tick,True
3,1,3,signal_orchard,ssrm_v31_route_state_signal_orchard,1,dusk road,1,0,0.556169,True,simulation tick,True
4,1,4,orchard_riverbend,ssrm_v31_route_state_orchard_riverbend,2,fen track,1,0,0.529989,True,manual json editor,True
5,1,5,central_repair_ring,ssrm_v31_route_state_central_repair_ring,1,inner repair yard,1,1,0.549809,True,simulation tick,True
6,1,6,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward,1,river ford,1,0,0.624338,True,simulation tick,True
7,1,7,roofward_archive,ssrm_v31_route_state_roofward_archive,5,cool archive lane,3,2,0.732251,True,manual json editor,True
8,1,8,archive_signal,ssrm_v31_route_state_archive_signal,2,stone kiosk path,1,1,0.641871,True,manual json editor,True
9,1,9,signal_orchard,ssrm_v31_route_state_signal_orchard,2,dusk road,2,0,0.566338,True,simulation tick,True
10,1,10,orchard_riverbend,ssrm_v31_route_state_orchard_riverbend,2,fen track,1,1,0.573978,True,simulation tick,True
11,1,11,central_repair_ring,ssrm_v31_route_state_central_repair_ring,1,inner repair yard,1,1,0.543721,True,simulation tick,True
12,1,12,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward,2,orchard ridge detour,1,0,0.654566,True,manual json editor,True
13,1,13,roofward_archive,ssrm_v31_route_state_roofward_archive,6,cool archive lane,3,3,0.806747,True,manual json editor,True
14,1,14,archive_signal,ssrm_v31_route_state_archive_signal,3,stone kiosk path,2,1,0.681933,True,simulation tick,True
15,2,0,signal_orchard,ssrm_v31_route_state_signal_orchard,3,river lantern loop,2,0,0.598166,True,manual json editor,True
16,2,1,orchard_riverbend,ssrm_v31_route_state_orchard_riverbend,3,fen track,2,1,0.58425,True,simulation tick,True
17,2,2,central_repair_ring,ssrm_v31_route_state_central_repair_ring,1,inner repair yard,1,1,0.541813,True,simulation tick,True
18,2,3,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward,2,orchard ridge detour,1,0,0.680394,True,simulation tick,True
19,2,4,roofward_archive,ssrm_v31_route_state_roofward_archive,6,cool archive lane,3,3,0.837677,True,manual json editor,True
20,2,5,archive_signal,ssrm_v31_route_state_archive_signal,4,paper lane,2,2,0.726025,True,manual json editor,True
