tick_id,day,route_id,probe_kind,pre_reload_hash,post_reload_hash,branch_restored,snapshot_restored,body_language_restored,dialogue_followup_restored,reload_ok
0,1,riverbend_roofward,reload,v32-796932,v32-849568,True,True,True,True,True
1,1,roofward_archive,none,v32-779697,v32-830894,True,True,True,True,True
2,1,archive_signal,none,v32-720165,v32-778778,True,True,True,True,True
3,1,signal_orchard,none,v32-714713,v32-765231,True,True,True,True,True
4,1,orchard_riverbend,none,v32-760154,v32-811461,True,True,True,True,True
5,1,central_repair_ring,none,v32-917662,v32-972969,True,True,True,True,True
6,1,riverbend_roofward,none,v32-832051,v32-007287,True,True,True,True,True
7,1,roofward_archive,none,v32-778915,v32-796918,True,True,True,True,True
8,1,archive_signal,none,v32-761617,v32-778724,True,True,True,True,True
9,1,signal_orchard,none,v32-748156,v32-764731,True,True,True,True,True
10,1,orchard_riverbend,none,v32-803966,v32-967551,True,True,True,True,True
11,1,central_repair_ring,none,v32-928580,v32-937901,True,True,True,True,True
12,1,riverbend_roofward,none,v32-999807,v32-851736,True,True,True,True,True
13,1,roofward_archive,none,v32-824242,v32-840961,True,True,True,True,True
14,2,archive_signal,reload,v32-771227,v32-788681,True,True,True,True,True
15,2,signal_orchard,none,v32-757112,v32-773859,True,True,True,True,True
16,2,orchard_riverbend,none,v32-949346,v32-814888,True,True,True,True,True
17,2,central_repair_ring,none,v32-956671,v32-983024,True,True,True,True,True
18,2,riverbend_roofward,none,v32-834105,v32-859679,True,True,True,True,True
19,2,roofward_archive,none,v32-823405,v32-841991,True,True,True,True,True
20,2,archive_signal,none,v32-770755,v32-883984,True,True,True,True,True
21,2,signal_orchard,none,v32-756026,v32-775221,True,True,True,True,True
22,2,orchard_riverbend,none,v32-796663,v32-822216,True,True,True,True,True
23,2,central_repair_ring,none,v32-963742,v32-982577,True,True,True,True,True
24,2,riverbend_roofward,none,v32-841275,v32-019278,True,True,True,True,True
25,2,roofward_archive,none,v32-823704,v32-841681,True,True,True,True,True
26,2,archive_signal,none,v32-866299,v32-788776,True,True,True,True,True
27,2,signal_orchard,none,v32-758106,v32-774406,True,True,True,True,True
28,3,orchard_riverbend,reload,v32-804917,v32-822288,True,True,True,True,True
29,3,central_repair_ring,none,v32-964146,v32-983649,True,True,True,True,True
30,3,riverbend_roofward,none,v32-999911,v32-859370,True,True,True,True,True
31,3,roofward_archive,restore,v32-823397,v32-833567,True,True,True,True,True
32,3,archive_signal,none,v32-770726,v32-787249,True,True,True,True,True
33,3,signal_orchard,none,v32-756568,v32-765287,True,True,True,True,True
34,3,orchard_riverbend,none,v32-769551,v32-786821,True,True,True,True,True
35,3,central_repair_ring,none,v32-964496,v32-983174,True,True,True,True,True
36,3,riverbend_roofward,none,v32-841691,v32-860418,True,True,True,True,True
37,3,roofward_archive,none,v32-816057,v32-843516,True,True,True,True,True
38,3,archive_signal,none,v32-770179,v32-883346,True,True,True,True,True
39,3,signal_orchard,none,v32-748356,v32-774797,True,True,True,True,True
40,3,orchard_riverbend,none,v32-803365,v32-820589,True,True,True,True,True
41,3,central_repair_ring,none,v32-963891,v32-975968,True,True,True,True,True
42,4,riverbend_roofward,reload,v32-842009,v32-861517,True,True,True,True,True
43,4,roofward_archive,none,v32-825094,v32-842276,True,True,True,True,True
44,4,archive_signal,none,v32-864814,v32-789783,True,True,True,True,True
45,4,signal_orchard,none,v32-756955,v32-775397,True,True,True,True,True
46,4,orchard_riverbend,none,v32-803300,v32-821443,True,True,True,True,True
47,4,central_repair_ring,none,v32-957576,v32-982611,True,True,True,True,True
48,4,riverbend_roofward,none,v32-843949,v32-019747,True,True,True,True,True
49,4,roofward_archive,none,v32-824835,v32-844538,True,True,True,True,True
50,4,archive_signal,none,v32-771726,v32-790870,True,True,True,True,True
51,4,signal_orchard,none,v32-757431,v32-774963,True,True,True,True,True
52,4,orchard_riverbend,none,v32-803299,v32-968629,True,True,True,True,True
53,4,central_repair_ring,none,v32-963464,v32-984458,True,True,True,True,True
54,4,riverbend_roofward,none,v32-000371,v32-862200,True,True,True,True,True
55,4,roofward_archive,none,v32-826108,v32-844254,True,True,True,True,True
56,5,archive_signal,reload,v32-773776,v32-790949,True,True,True,True,True
57,5,signal_orchard,none,v32-757848,v32-775690,True,True,True,True,True
58,5,orchard_riverbend,none,v32-950414,v32-814374,True,True,True,True,True
59,5,central_repair_ring,none,v32-966148,v32-984008,True,True,True,True,True
60,5,riverbend_roofward,none,v32-843653,v32-862073,True,True,True,True,True
61,5,roofward_archive,none,v32-825952,v32-842981,True,True,True,True,True
62,5,archive_signal,restore,v32-738865,v32-848819,True,True,True,True,True
63,5,signal_orchard,none,v32-757842,v32-766392,True,True,True,True,True
64,5,orchard_riverbend,none,v32-796149,v32-813146,True,True,True,True,True
65,5,central_repair_ring,none,v32-964851,v32-985683,True,True,True,True,True
66,5,riverbend_roofward,none,v32-852459,v32-028572,True,True,True,True,True
67,5,roofward_archive,none,v32-825535,v32-843686,True,True,True,True,True
68,5,archive_signal,none,v32-874898,v32-893326,True,True,True,True,True
69,5,signal_orchard,none,v32-749331,v32-775473,True,True,True,True,True
70,6,central_repair_ring,reload,v32-966423,v32-976365,True,True,True,True,True
71,6,riverbend_roofward,none,v32-009061,v32-868622,True,True,True,True,True
72,6,roofward_archive,none,v32-833201,v32-939684,True,True,True,True,True
73,6,archive_signal,none,v32-874648,v32-796876,True,True,True,True,True
74,6,signal_orchard,none,v32-723520,v32-742182,True,True,True,True,True
75,6,orchard_riverbend,none,v32-795400,v32-814424,True,True,True,True,True
76,6,central_repair_ring,none,v32-966316,v32-956492,True,True,True,True,True
77,6,riverbend_roofward,none,v32-851020,v32-870109,True,True,True,True,True
