tick_id,day,route_id,agent,pre_reload_pose,post_reload_pose,pre_reload_hash,post_reload_hash,animation_restored,branch_restored,snapshot_restored,persistence_visible
0,1,riverbend_roofward,Ari,listening tilt,listening tilt,v33-663161,v33-680955,True,True,True,True
1,1,roofward_archive,Nia,careful pointing,careful pointing,v33-675418,v33-693288,True,True,True,False
2,1,archive_signal,Nia,careful pointing,careful pointing,v33-623660,v33-732429,True,True,True,False
3,1,signal_orchard,Ivo,listening tilt,listening tilt,v33-582111,v33-599339,True,True,True,False
4,1,orchard_riverbend,Ivo,careful pointing,careful pointing,v33-655413,v33-673141,True,True,True,False
5,1,central_repair_ring,Pax,listening tilt,listening tilt,v33-780664,v33-799218,True,True,True,False
6,1,riverbend_roofward,Ari,listening tilt,listening tilt,v33-663915,v33-833491,True,True,True,False
7,1,roofward_archive,Nia,careful pointing,careful pointing,v33-676173,v33-777317,True,True,True,False
8,1,archive_signal,Nia,careful pointing,careful pointing,v33-715071,v33-641928,True,True,True,False
9,1,signal_orchard,Ivo,careful pointing,careful pointing,v33-611008,v33-767360,True,True,True,False
10,1,orchard_riverbend,Ivo,careful pointing,careful pointing,v33-665015,v33-682789,True,True,True,False
11,1,central_repair_ring,Pax,listening tilt,listening tilt,v33-791100,v33-809700,True,True,True,True
12,2,riverbend_roofward,Ari,listening tilt,open forward lean,v33-825375,v33-880726,True,True,True,True
13,2,roofward_archive,Nia,listening tilt,listening tilt,v33-738784,v33-757044,True,True,True,False
14,2,archive_signal,Nia,open forward lean,open forward lean,v33-638484,v33-748128,True,True,True,False
15,2,signal_orchard,Ivo,careful pointing,careful pointing,v33-759240,v33-637779,True,True,True,False
16,2,orchard_riverbend,Ivo,listening tilt,listening tilt,v33-636713,v33-654301,True,True,True,False
17,2,central_repair_ring,Pax,listening tilt,listening tilt,v33-791712,v33-810318,True,True,True,False
18,2,riverbend_roofward,Ari,open forward lean,open forward lean,v33-862458,v33-881507,True,True,True,False
19,2,roofward_archive,Nia,listening tilt,listening tilt,v33-739396,v33-757662,True,True,True,False
20,2,archive_signal,Nia,listening tilt,listening tilt,v33-695230,v33-622472,True,True,True,False
21,2,signal_orchard,Ivo,listening tilt,listening tilt,v33-591801,v33-747216,True,True,True,False
22,2,orchard_riverbend,Ivo,listening tilt,listening tilt,v33-636553,v33-654139,True,True,True,False
23,2,central_repair_ring,Pax,guarded crossed arms,guarded crossed arms,v33-878084,v33-897223,True,True,True,True
24,3,riverbend_roofward,Ari,open forward lean,open forward lean,v33-862313,v33-881360,True,True,True,True
25,3,roofward_archive,Nia,route-board reach,route-board reach,v33-774091,v33-792575,True,True,True,False
26,3,archive_signal,Nia,route-board reach,route-board reach,v33-638886,v33-748547,True,True,True,False
27,3,signal_orchard,Ivo,listening tilt,listening tilt,v33-729781,v33-609843,True,True,True,False
28,3,orchard_riverbend,Ivo,route-board reach,route-board reach,v33-670773,v33-831641,True,True,True,False
29,3,central_repair_ring,Pax,guarded crossed arms,guarded crossed arms,v33-878859,v33-898005,True,True,True,False
30,3,riverbend_roofward,Ari,open forward lean,open forward lean,v33-862168,v33-881213,True,True,True,False
31,3,roofward_archive,Nia,route-board reach,route-board reach,v33-773784,v33-792265,True,True,True,True
32,3,archive_signal,Nia,route-board reach,route-board reach,v33-730191,v33-656321,True,True,True,False
33,3,signal_orchard,Ivo,route-board reach,route-board reach,v33-625201,v33-782849,True,True,True,False
