tick_id,day,agent,route_id,public_memory_key,remembered_choice,remembered_merge_action,remembered_snapshot_exchange,remembered_body_reaction,remembered_animation_pose,private_workspace_sealed,replay_pointer
0,1,Ari,riverbend_roofward,v33:Ari:riverbend_roofward:day1,none,merge=False;rollback=False;branch=river ford,shared:riverbend_roofward:v1:exchange pending,listening tilt,listening tilt,True,replay:0:riverbend_roofward
1,1,Nia,roofward_archive,v33:Nia:roofward_archive:day1,ask merge,merge=False;rollback=False;branch=glass stair,shared:roofward_archive:v1:idle,careful pointing,careful pointing,True,replay:1:roofward_archive
2,1,Nia,archive_signal,v33:Nia:archive_signal:day1,none,merge=True;rollback=False;branch=stone kiosk path,shared:archive_signal:v2:snapshot shared,careful pointing,careful pointing,True,replay:2:archive_signal
3,1,Ivo,signal_orchard,v33:Ivo:signal_orchard:day1,none,merge=False;rollback=False;branch=dusk road,shared:signal_orchard:v2:snapshot shared,listening tilt,listening tilt,True,replay:3:signal_orchard
4,1,Ivo,orchard_riverbend,v33:Ivo:orchard_riverbend:day1,ask merge,merge=False;rollback=False;branch=fen track,shared:orchard_riverbend:v1:idle,careful pointing,careful pointing,True,replay:4:orchard_riverbend
5,1,Pax,central_repair_ring,v33:Pax:central_repair_ring:day1,none,merge=False;rollback=False;branch=inner repair yard,shared:central_repair_ring:v2:snapshot shared,listening tilt,listening tilt,True,replay:5:central_repair_ring
6,1,Ari,riverbend_roofward,v33:Ari:riverbend_roofward:day1,none,merge=True;rollback=False;branch=orchard ridge detour,shared:riverbend_roofward:v2:snapshot shared,listening tilt,listening tilt,True,replay:6:riverbend_roofward
7,1,Nia,roofward_archive,v33:Nia:roofward_archive:day1,ask merge,merge=True;rollback=False;branch=cool archive lane,shared:roofward_archive:v2:snapshot shared,careful pointing,careful pointing,True,replay:7:roofward_archive
8,1,Nia,archive_signal,v33:Nia:archive_signal:day1,none,merge=False;rollback=True;branch=paper lane,shared:archive_signal:v3:snapshot shared,guarded crossed arms,guarded crossed arms,True,replay:8:archive_signal
9,1,Ivo,signal_orchard,v33:Ivo:signal_orchard:day1,none,merge=True;rollback=False;branch=river lantern loop,shared:signal_orchard:v3:snapshot shared,careful pointing,careful pointing,True,replay:9:signal_orchard
10,1,Ivo,orchard_riverbend,v33:Ivo:orchard_riverbend:day1,ask merge,merge=False;rollback=False;branch=fen track,shared:orchard_riverbend:v2:snapshot shared,careful pointing,careful pointing,True,replay:10:orchard_riverbend
11,1,Pax,central_repair_ring,v33:Pax:central_repair_ring:day1,none,merge=False;rollback=True;branch=inner repair yard,shared:central_repair_ring:v3:snapshot shared,listening tilt,listening tilt,True,replay:11:central_repair_ring
12,2,Ari,riverbend_roofward,v33:Ari:riverbend_roofward:day2,none,merge=False;rollback=False;branch=orchard ridge detour,shared:riverbend_roofward:v3:snapshot shared,open forward lean,open forward lean,True,replay:12:riverbend_roofward
13,2,Nia,roofward_archive,v33:Nia:roofward_archive:day2,ask rollback,merge=False;rollback=False;branch=cool archive lane,shared:roofward_archive:v2:idle,open forward lean,open forward lean,True,replay:13:roofward_archive
14,2,Nia,archive_signal,v33:Nia:archive_signal:day2,none,merge=True;rollback=False;branch=stone kiosk path,shared:archive_signal:v4:snapshot shared,open forward lean,open forward lean,True,replay:14:archive_signal
15,2,Ivo,signal_orchard,v33:Ivo:signal_orchard:day2,none,merge=False;rollback=True;branch=dusk road,shared:signal_orchard:v4:snapshot shared,guarded crossed arms,guarded crossed arms,True,replay:15:signal_orchard
16,2,Ivo,orchard_riverbend,v33:Ivo:orchard_riverbend:day2,ask merge,merge=False;rollback=False;branch=fen track,shared:orchard_riverbend:v2:idle,listening tilt,listening tilt,True,replay:16:orchard_riverbend
