tick_id,day,route_id,control_id,active_branch_before,requested_action,merge_clicked,rollback_clicked,merge_success,rollback_success,active_branch_after,browser_state_version,mutation_visible
0,1,riverbend_roofward,merge-control:riverbend_roofward,river ford,none,False,False,False,False,river ford,1,False
1,1,roofward_archive,merge-control:roofward_archive,glass stair,none,False,False,False,False,glass stair,1,False
2,1,archive_signal,merge-control:archive_signal,paper lane,merge stone route,True,False,True,False,stone kiosk path,2,True
3,1,signal_orchard,merge-control:signal_orchard,dusk road,none,False,False,False,False,dusk road,1,False
4,1,orchard_riverbend,merge-control:orchard_riverbend,fen track,none,False,False,False,False,fen track,1,False
5,1,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,1,False
6,1,riverbend_roofward,merge-control:riverbend_roofward,river ford,merge detour with bridge watch,True,False,True,False,orchard ridge detour,2,True
7,1,roofward_archive,merge-control:roofward_archive,glass stair,merge shade route,True,False,True,False,cool archive lane,2,True
8,1,archive_signal,merge-control:archive_signal,stone kiosk path,rollback to paper lane,False,True,False,True,paper lane,3,True
9,1,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,2,True
10,1,orchard_riverbend,merge-control:orchard_riverbend,fen track,none,False,False,False,False,fen track,1,False
11,1,central_repair_ring,merge-control:central_repair_ring,inner repair yard,rollback to repair yard,False,True,False,True,inner repair yard,2,True
12,2,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,none,False,False,False,False,orchard ridge detour,2,False
13,2,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
14,2,archive_signal,merge-control:archive_signal,paper lane,merge stone route,True,False,True,False,stone kiosk path,4,True
15,2,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,True,dusk road,3,True
16,2,orchard_riverbend,merge-control:orchard_riverbend,fen track,none,False,False,False,False,fen track,1,False
17,2,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
18,2,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,merge detour with bridge watch,True,False,True,False,orchard ridge detour,3,True
19,2,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
20,2,archive_signal,merge-control:archive_signal,stone kiosk path,rollback to paper lane,False,True,False,True,paper lane,5,True
21,2,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,4,True
22,2,orchard_riverbend,merge-control:orchard_riverbend,fen track,none,False,False,False,False,fen track,1,False
23,2,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
24,3,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,none,False,False,False,False,orchard ridge detour,3,False
25,3,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
26,3,archive_signal,merge-control:archive_signal,paper lane,merge stone route,True,False,True,False,stone kiosk path,6,True
27,3,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,True,dusk road,5,True
28,3,orchard_riverbend,merge-control:orchard_riverbend,fen track,merge plank route,True,False,True,False,market plank route,2,True
29,3,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
30,3,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,merge detour with bridge watch,True,False,True,False,orchard ridge detour,4,True
31,3,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
32,3,archive_signal,merge-control:archive_signal,stone kiosk path,rollback to paper lane,False,True,False,True,paper lane,7,True
33,3,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,6,True
34,3,orchard_riverbend,merge-control:orchard_riverbend,market plank route,none,False,False,False,False,market plank route,2,False
35,3,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
36,4,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,none,False,False,False,False,orchard ridge detour,4,False
37,4,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
38,4,archive_signal,merge-control:archive_signal,paper lane,merge stone route,True,False,False,False,paper lane,7,True
39,4,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,True,dusk road,7,True
40,4,orchard_riverbend,merge-control:orchard_riverbend,market plank route,none,False,False,False,False,market plank route,2,False
41,4,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
42,4,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,merge detour with bridge watch,True,False,True,False,orchard ridge detour,5,True
43,4,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
44,4,archive_signal,merge-control:archive_signal,paper lane,none,False,False,False,False,paper lane,7,False
45,4,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,8,True
46,4,orchard_riverbend,merge-control:orchard_riverbend,market plank route,none,False,False,False,False,market plank route,2,False
47,4,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
48,5,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,none,False,False,False,False,orchard ridge detour,5,False
49,5,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
50,5,archive_signal,merge-control:archive_signal,paper lane,merge stone route,True,False,True,False,stone kiosk path,8,True
51,5,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,True,dusk road,9,True
52,5,orchard_riverbend,merge-control:orchard_riverbend,market plank route,none,False,False,False,False,market plank route,2,False
53,5,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
54,5,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,merge detour with bridge watch,True,False,True,False,orchard ridge detour,6,True
55,5,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
56,5,archive_signal,merge-control:archive_signal,stone kiosk path,rollback to paper lane,False,True,False,True,paper lane,9,True
57,5,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,False,False,dusk road,9,True
58,5,orchard_riverbend,merge-control:orchard_riverbend,market plank route,none,False,False,False,False,market plank route,2,False
59,5,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
60,6,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,2,False
61,6,archive_signal,merge-control:archive_signal,paper lane,none,False,False,False,False,paper lane,9,False
62,6,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,10,True
63,6,orchard_riverbend,merge-control:orchard_riverbend,market plank route,rollback to fen track,False,True,False,True,fen track,3,True
64,6,central_repair_ring,merge-control:central_repair_ring,inner repair yard,none,False,False,False,False,inner repair yard,2,False
65,6,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,none,False,False,False,False,orchard ridge detour,6,False
66,6,roofward_archive,merge-control:roofward_archive,cool archive lane,merge shade route,True,False,True,False,cool archive lane,3,True
67,6,archive_signal,merge-control:archive_signal,paper lane,none,False,False,False,False,paper lane,9,False
68,6,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,True,dusk road,11,True
69,6,orchard_riverbend,merge-control:orchard_riverbend,fen track,merge plank route,True,False,True,False,market plank route,4,True
70,6,central_repair_ring,merge-control:central_repair_ring,inner repair yard,merge bell route,True,False,True,False,outer bell path,3,True
71,6,riverbend_roofward,merge-control:riverbend_roofward,orchard ridge detour,rollback to river ford,False,True,False,True,river ford,7,True
72,7,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,3,False
73,7,archive_signal,merge-control:archive_signal,paper lane,none,False,False,False,False,paper lane,9,False
74,7,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,12,True
75,7,orchard_riverbend,merge-control:orchard_riverbend,market plank route,rollback to fen track,False,True,False,True,fen track,5,True
76,7,central_repair_ring,merge-control:central_repair_ring,outer bell path,none,False,False,False,False,outer bell path,3,False
77,7,riverbend_roofward,merge-control:riverbend_roofward,river ford,none,False,False,False,False,river ford,7,False
78,7,roofward_archive,merge-control:roofward_archive,cool archive lane,merge shade route,True,False,True,False,cool archive lane,4,True
79,7,archive_signal,merge-control:archive_signal,paper lane,none,False,False,False,False,paper lane,9,False
80,7,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,True,dusk road,13,True
81,7,orchard_riverbend,merge-control:orchard_riverbend,fen track,merge plank route,True,False,True,False,market plank route,6,True
82,7,central_repair_ring,merge-control:central_repair_ring,outer bell path,none,False,False,False,False,outer bell path,3,False
83,7,riverbend_roofward,merge-control:riverbend_roofward,river ford,none,False,False,False,False,river ford,7,False
84,8,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,4,False
85,8,archive_signal,merge-control:archive_signal,paper lane,none,False,False,False,False,paper lane,9,False
86,8,signal_orchard,merge-control:signal_orchard,dusk road,merge lantern loop,True,False,True,False,river lantern loop,14,True
87,8,orchard_riverbend,merge-control:orchard_riverbend,market plank route,rollback to fen track,False,True,False,True,fen track,7,True
88,8,central_repair_ring,merge-control:central_repair_ring,outer bell path,none,False,False,False,False,outer bell path,3,False
89,8,riverbend_roofward,merge-control:riverbend_roofward,river ford,none,False,False,False,False,river ford,7,False
90,8,roofward_archive,merge-control:roofward_archive,cool archive lane,merge shade route,True,False,True,False,cool archive lane,5,True
91,8,archive_signal,merge-control:archive_signal,paper lane,merge stone route,True,False,True,False,stone kiosk path,10,True
92,8,signal_orchard,merge-control:signal_orchard,river lantern loop,rollback to dusk road,False,True,False,False,river lantern loop,14,True
93,8,orchard_riverbend,merge-control:orchard_riverbend,fen track,merge plank route,True,False,True,False,market plank route,8,True
94,8,central_repair_ring,merge-control:central_repair_ring,outer bell path,none,False,False,False,False,outer bell path,3,False
95,8,riverbend_roofward,merge-control:riverbend_roofward,river ford,none,False,False,False,False,river ford,7,False
96,9,roofward_archive,merge-control:roofward_archive,cool archive lane,none,False,False,False,False,cool archive lane,5,False
97,9,archive_signal,merge-control:archive_signal,stone kiosk path,none,False,False,False,False,stone kiosk path,10,False
98,9,signal_orchard,merge-control:signal_orchard,river lantern loop,merge lantern loop,True,False,True,False,river lantern loop,15,True
99,9,orchard_riverbend,merge-control:orchard_riverbend,market plank route,rollback to fen track,False,True,False,True,fen track,9,True
