tick_id,day,route_id,source_session,target_session,snapshot_id,export_clicked,import_clicked,exchange_success,snapshot_hash,restored_branch,restored_animation_pose,visible_exchange_notice
0,1,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v1,True,False,False,v33-807274,river ford,pending import,exchange pending
1,1,roofward_archive,session:1,session:2,shared:roofward_archive:v1,False,False,False,v33-820602,glass stair,pending import,idle
2,1,archive_signal,session:1,session:2,shared:archive_signal:v2,True,False,True,v33-850303,stone kiosk path,careful pointing,snapshot shared
3,1,signal_orchard,session:1,session:2,shared:signal_orchard:v2,False,True,True,v33-709413,dusk road,listening tilt,snapshot shared
4,1,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v1,False,False,False,v33-799042,fen track,pending import,idle
5,1,central_repair_ring,session:1,session:2,shared:central_repair_ring:v2,True,False,True,v33-919583,inner repair yard,listening tilt,snapshot shared
6,1,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v2,True,False,True,v33-955671,orchard ridge detour,listening tilt,snapshot shared
7,1,roofward_archive,session:1,session:2,shared:roofward_archive:v2,True,False,True,v33-896921,cool archive lane,careful pointing,snapshot shared
8,1,archive_signal,session:1,session:2,shared:archive_signal:v3,False,True,True,v33-754235,paper lane,careful pointing,snapshot shared
9,1,signal_orchard,session:1,session:2,shared:signal_orchard:v3,True,False,True,v33-886234,river lantern loop,careful pointing,snapshot shared
10,1,orchard_riverbend,session:1,session:2,shared:orchard_riverbend:v2,True,False,True,v33-787204,fen track,careful pointing,snapshot shared
11,1,central_repair_ring,session:1,session:2,shared:central_repair_ring:v3,False,True,True,v33-919853,inner repair yard,listening tilt,snapshot shared
12,2,riverbend_roofward,session:1,session:2,shared:riverbend_roofward:v3,True,False,True,v33-955795,orchard ridge detour,listening tilt,snapshot shared
13,2,roofward_archive,session:1,session:2,shared:roofward_archive:v2,False,False,False,v33-877307,cool archive lane,pending import,idle
14,2,archive_signal,session:1,session:2,shared:archive_signal:v4,True,False,True,v33-856188,stone kiosk path,open forward lean,snapshot shared
