tick_id,day,agent_id,trust_avatar,respect_felt,autonomy_pressure,gratitude,guardedness,relationship_badge_visible,bounded_change
0,1,Ari,0.535,0.55,0.47,0.186,0.33,True,True
2,1,Nia,0.554,0.59,0.574,0.186,0.276,True,True
3,1,Milo,0.504,0.59,0.614,0.186,0.276,True,True
5,1,Juno,0.54,0.59,0.674,0.186,0.276,True,True
7,1,Fay,0.575,0.55,0.41,0.186,0.33,True,True
9,1,Milo,0.518,0.6,0.618,0.192,0.272,True,True
10,1,Ivo,0.54,0.55,0.49,0.186,0.33,True,True
12,2,Ari,0.575,0.59,0.445,0.241,0.295,True,True
14,2,Nia,0.604,0.63,0.549,0.241,0.241,True,True
15,2,Milo,0.532,0.61,0.622,0.198,0.268,True,True
17,2,Juno,0.595,0.63,0.649,0.241,0.241,True,True
19,2,Fay,0.615,0.59,0.385,0.241,0.295,True,True
21,2,Milo,0.546,0.62,0.626,0.204,0.264,True,True
22,2,Ivo,0.556,0.56,0.494,0.192,0.326,True,True
24,3,Ari,0.595,0.6,0.449,0.247,0.291,True,True
26,3,Nia,0.544,0.6,0.599,0.247,0.291,True,True
27,3,Milo,0.56,0.63,0.63,0.21,0.26,True,True
29,3,Juno,0.609,0.64,0.653,0.247,0.237,True,True
31,3,Fay,0.635,0.6,0.389,0.247,0.291,True,True
33,3,Milo,0.574,0.64,0.634,0.216,0.256,True,True
34,3,Ivo,0.511,0.53,0.544,0.198,0.376,True,True
36,4,Ari,0.65,0.64,0.424,0.302,0.256,True,True
38,4,Nia,0.56,0.61,0.603,0.253,0.287,True,True
39,4,Milo,0.588,0.65,0.638,0.222,0.252,True,True
41,4,Juno,0.659,0.68,0.628,0.302,0.202,True,True
43,4,Fay,0.69,0.64,0.364,0.302,0.256,True,True
45,4,Milo,0.602,0.66,0.642,0.228,0.248,True,True
46,4,Ivo,0.551,0.57,0.519,0.253,0.341,True,True
48,5,Ari,0.664,0.65,0.428,0.308,0.252,True,True
50,5,Nia,0.515,0.58,0.653,0.259,0.337,True,True
51,5,Milo,0.616,0.67,0.646,0.234,0.244,True,True
53,5,Juno,0.599,0.65,0.678,0.308,0.252,True,True
55,5,Fay,0.704,0.65,0.368,0.308,0.252,True,True
57,5,Milo,0.63,0.68,0.65,0.24,0.24,True,True
58,5,Ivo,0.571,0.58,0.523,0.259,0.337,True,True
60,6,Ari,0.714,0.69,0.403,0.363,0.217,True,True
62,6,Nia,0.555,0.62,0.628,0.314,0.302,True,True
63,6,Milo,0.644,0.69,0.654,0.246,0.236,True,True
65,6,Juno,0.615,0.66,0.682,0.314,0.248,True,True
67,6,Fay,0.754,0.69,0.343,0.363,0.217,True,True
69,6,Milo,0.658,0.7,0.658,0.252,0.232,True,True
70,6,Ivo,0.626,0.62,0.498,0.314,0.302,True,True
71,6,Juno,0.665,0.7,0.657,0.369,0.213,True,True
72,7,Ari,0.654,0.66,0.453,0.369,0.267,True,True
74,7,Nia,0.575,0.63,0.632,0.32,0.298,True,True
75,7,Milo,0.672,0.71,0.662,0.258,0.228,True,True
76,7,Ivo,0.566,0.59,0.548,0.32,0.352,True,True
77,7,Juno,0.62,0.67,0.707,0.375,0.263,True,True
79,7,Fay,0.694,0.66,0.393,0.369,0.267,True,True
81,7,Milo,0.686,0.72,0.666,0.264,0.224,True,True
82,7,Ivo,0.58,0.6,0.552,0.326,0.348,True,True
