metric,value
bounded_yes_no_consent_loop,0.916058394160584
browser_v36_surface,0.986
browser_world_v36_private_interior_readiness,0.921121
consent_loop_count,822.0
consent_not_unbounded_obedience,0.815536
html_button_count,30.0
html_localstorage_handler_count,2.0
mean_private_interior_channel_score,0.966371
no_decision_count,397.0
no_recovery_path_available,0.8261964735516373
non_obedient_decision_count,665.0
ownership_memory_count,822.0
ownership_sensitive_memory_binding,1.0
private_interior_workspace_tick_integrity,1.0
private_to_public_trace_integrity,1.0
private_workspace_tick_count,1440.0
public_trace_count,822.0
recovered_no_count,328.0
relationship_ego_continuity,1.0
repeated_avatar_talk_changes_behavior,0.9854014598540146
repeated_talk_consequence_count,822.0
self_boundary_state_binding,1.0
self_boundary_state_count,822.0
sensory_frequency_flower_binding,1.0
source_v35_continuity,1.0
visible_ego_body_language_count,822.0
visible_ego_body_language_expression,1.0
weakest_channel_name,consent_not_unbounded_obedience
weakest_channel_score,0.815536
workspace_privacy_preserved,1.0
