generation,year,gate_id,avatar_locked,entry_allowed,required_years,required_generations,matured_language_count,matured_technology_count,matured_ritual_count,settlement_memory_count,gate_reason
1,30,avatar-entry-gate,True,False,2400,80,1,1,1,1,avatar entry locked during pre-avatar culture formation
1,30,avatar-entry-gate,True,False,2400,80,2,2,2,2,avatar entry locked during pre-avatar culture formation
1,30,avatar-entry-gate,True,False,2400,80,3,3,3,3,avatar entry locked during pre-avatar culture formation
1,30,avatar-entry-gate,True,False,2400,80,4,4,4,4,avatar entry locked during pre-avatar culture formation
1,30,avatar-entry-gate,True,False,2400,80,5,5,5,5,avatar entry locked during pre-avatar culture formation
1,30,avatar-entry-gate,True,False,2400,80,6,6,6,6,avatar entry locked during pre-avatar culture formation
2,60,avatar-entry-gate,True,False,2400,80,7,7,7,7,avatar entry locked during pre-avatar culture formation
2,60,avatar-entry-gate,True,False,2400,80,8,8,8,8,avatar entry locked during pre-avatar culture formation
2,60,avatar-entry-gate,True,False,2400,80,9,9,9,9,avatar entry locked during pre-avatar culture formation
2,60,avatar-entry-gate,True,False,2400,80,10,10,10,10,avatar entry locked during pre-avatar culture formation
2,60,avatar-entry-gate,True,False,2400,80,11,11,11,11,avatar entry locked during pre-avatar culture formation
2,60,avatar-entry-gate,True,False,2400,80,12,12,12,12,avatar entry locked during pre-avatar culture formation
3,90,avatar-entry-gate,True,False,2400,80,13,13,13,13,avatar entry locked during pre-avatar culture formation
3,90,avatar-entry-gate,True,False,2400,80,14,14,14,14,avatar entry locked during pre-avatar culture formation
3,90,avatar-entry-gate,True,False,2400,80,15,15,15,15,avatar entry locked during pre-avatar culture formation
3,90,avatar-entry-gate,True,False,2400,80,16,16,16,16,avatar entry locked during pre-avatar culture formation
3,90,avatar-entry-gate,True,False,2400,80,17,17,17,17,avatar entry locked during pre-avatar culture formation
3,90,avatar-entry-gate,True,False,2400,80,18,18,18,18,avatar entry locked during pre-avatar culture formation
4,120,avatar-entry-gate,True,False,2400,80,19,19,19,19,avatar entry locked during pre-avatar culture formation
4,120,avatar-entry-gate,True,False,2400,80,20,20,20,20,avatar entry locked during pre-avatar culture formation
4,120,avatar-entry-gate,True,False,2400,80,21,20,21,21,avatar entry locked during pre-avatar culture formation
4,120,avatar-entry-gate,True,False,2400,80,22,21,22,22,avatar entry locked during pre-avatar culture formation
4,120,avatar-entry-gate,True,False,2400,80,23,22,23,23,avatar entry locked during pre-avatar culture formation
4,120,avatar-entry-gate,True,False,2400,80,24,23,24,24,avatar entry locked during pre-avatar culture formation
5,150,avatar-entry-gate,True,False,2400,80,25,24,25,25,avatar entry locked during pre-avatar culture formation
5,150,avatar-entry-gate,True,False,2400,80,26,25,26,26,avatar entry locked during pre-avatar culture formation
5,150,avatar-entry-gate,True,False,2400,80,27,26,27,27,avatar entry locked during pre-avatar culture formation
5,150,avatar-entry-gate,True,False,2400,80,28,27,28,28,avatar entry locked during pre-avatar culture formation
5,150,avatar-entry-gate,True,False,2400,80,29,28,29,29,avatar entry locked during pre-avatar culture formation
5,150,avatar-entry-gate,True,False,2400,80,30,29,30,30,avatar entry locked during pre-avatar culture formation
6,180,avatar-entry-gate,True,False,2400,80,31,30,31,31,avatar entry locked during pre-avatar culture formation
6,180,avatar-entry-gate,True,False,2400,80,32,31,32,32,avatar entry locked during pre-avatar culture formation
6,180,avatar-entry-gate,True,False,2400,80,33,32,33,33,avatar entry locked during pre-avatar culture formation
6,180,avatar-entry-gate,True,False,2400,80,34,33,34,34,avatar entry locked during pre-avatar culture formation
6,180,avatar-entry-gate,True,False,2400,80,35,34,35,35,avatar entry locked during pre-avatar culture formation
6,180,avatar-entry-gate,True,False,2400,80,36,35,36,36,avatar entry locked during pre-avatar culture formation
7,210,avatar-entry-gate,True,False,2400,80,37,36,37,37,avatar entry locked during pre-avatar culture formation
7,210,avatar-entry-gate,True,False,2400,80,38,37,38,38,avatar entry locked during pre-avatar culture formation
7,210,avatar-entry-gate,True,False,2400,80,39,38,39,39,avatar entry locked during pre-avatar culture formation
7,210,avatar-entry-gate,True,False,2400,80,40,39,40,40,avatar entry locked during pre-avatar culture formation
7,210,avatar-entry-gate,True,False,2400,80,41,40,41,41,avatar entry locked during pre-avatar culture formation
7,210,avatar-entry-gate,True,False,2400,80,42,41,42,42,avatar entry locked during pre-avatar culture formation
8,240,avatar-entry-gate,True,False,2400,80,43,42,43,43,avatar entry locked during pre-avatar culture formation
8,240,avatar-entry-gate,True,False,2400,80,44,43,44,44,avatar entry locked during pre-avatar culture formation
8,240,avatar-entry-gate,True,False,2400,80,45,44,45,45,avatar entry locked during pre-avatar culture formation
8,240,avatar-entry-gate,True,False,2400,80,46,45,46,46,avatar entry locked during pre-avatar culture formation
8,240,avatar-entry-gate,True,False,2400,80,47,46,47,47,avatar entry locked during pre-avatar culture formation
8,240,avatar-entry-gate,True,False,2400,80,48,47,48,48,avatar entry locked during pre-avatar culture formation
9,270,avatar-entry-gate,True,False,2400,80,49,48,49,49,avatar entry locked during pre-avatar culture formation
9,270,avatar-entry-gate,True,False,2400,80,50,49,50,50,avatar entry locked during pre-avatar culture formation
9,270,avatar-entry-gate,True,False,2400,80,51,50,51,51,avatar entry locked during pre-avatar culture formation
9,270,avatar-entry-gate,True,False,2400,80,52,51,52,52,avatar entry locked during pre-avatar culture formation
9,270,avatar-entry-gate,True,False,2400,80,53,52,53,53,avatar entry locked during pre-avatar culture formation
9,270,avatar-entry-gate,True,False,2400,80,54,53,54,54,avatar entry locked during pre-avatar culture formation
10,300,avatar-entry-gate,True,False,2400,80,55,54,55,55,avatar entry locked during pre-avatar culture formation
10,300,avatar-entry-gate,True,False,2400,80,56,55,56,56,avatar entry locked during pre-avatar culture formation
10,300,avatar-entry-gate,True,False,2400,80,57,56,57,57,avatar entry locked during pre-avatar culture formation
10,300,avatar-entry-gate,True,False,2400,80,58,57,58,58,avatar entry locked during pre-avatar culture formation
10,300,avatar-entry-gate,True,False,2400,80,59,58,59,59,avatar entry locked during pre-avatar culture formation
10,300,avatar-entry-gate,True,False,2400,80,60,59,60,60,avatar entry locked during pre-avatar culture formation
11,330,avatar-entry-gate,True,False,2400,80,61,60,61,61,avatar entry locked during pre-avatar culture formation
11,330,avatar-entry-gate,True,False,2400,80,62,61,62,62,avatar entry locked during pre-avatar culture formation
11,330,avatar-entry-gate,True,False,2400,80,63,62,63,63,avatar entry locked during pre-avatar culture formation
11,330,avatar-entry-gate,True,False,2400,80,64,63,64,64,avatar entry locked during pre-avatar culture formation
11,330,avatar-entry-gate,True,False,2400,80,65,64,65,65,avatar entry locked during pre-avatar culture formation
11,330,avatar-entry-gate,True,False,2400,80,66,65,66,66,avatar entry locked during pre-avatar culture formation
12,360,avatar-entry-gate,True,False,2400,80,67,66,67,67,avatar entry locked during pre-avatar culture formation
12,360,avatar-entry-gate,True,False,2400,80,68,67,68,68,avatar entry locked during pre-avatar culture formation
12,360,avatar-entry-gate,True,False,2400,80,69,68,69,69,avatar entry locked during pre-avatar culture formation
12,360,avatar-entry-gate,True,False,2400,80,70,68,70,70,avatar entry locked during pre-avatar culture formation
12,360,avatar-entry-gate,True,False,2400,80,71,69,71,71,avatar entry locked during pre-avatar culture formation
12,360,avatar-entry-gate,True,False,2400,80,72,70,72,72,avatar entry locked during pre-avatar culture formation
13,390,avatar-entry-gate,True,False,2400,80,73,71,73,73,avatar entry locked during pre-avatar culture formation
13,390,avatar-entry-gate,True,False,2400,80,74,72,74,74,avatar entry locked during pre-avatar culture formation
13,390,avatar-entry-gate,True,False,2400,80,75,73,75,75,avatar entry locked during pre-avatar culture formation
13,390,avatar-entry-gate,True,False,2400,80,76,74,76,76,avatar entry locked during pre-avatar culture formation
13,390,avatar-entry-gate,True,False,2400,80,77,75,77,77,avatar entry locked during pre-avatar culture formation
13,390,avatar-entry-gate,True,False,2400,80,78,76,78,78,avatar entry locked during pre-avatar culture formation
14,420,avatar-entry-gate,True,False,2400,80,79,77,79,79,avatar entry locked during pre-avatar culture formation
14,420,avatar-entry-gate,True,False,2400,80,80,78,80,80,avatar entry locked during pre-avatar culture formation
14,420,avatar-entry-gate,True,False,2400,80,81,79,81,81,avatar entry locked during pre-avatar culture formation
14,420,avatar-entry-gate,True,False,2400,80,82,80,82,82,avatar entry locked during pre-avatar culture formation
14,420,avatar-entry-gate,True,False,2400,80,83,81,83,83,avatar entry locked during pre-avatar culture formation
14,420,avatar-entry-gate,True,False,2400,80,84,82,84,84,avatar entry locked during pre-avatar culture formation
15,450,avatar-entry-gate,True,False,2400,80,85,83,85,85,avatar entry locked during pre-avatar culture formation
15,450,avatar-entry-gate,True,False,2400,80,86,84,86,86,avatar entry locked during pre-avatar culture formation
15,450,avatar-entry-gate,True,False,2400,80,87,85,87,87,avatar entry locked during pre-avatar culture formation
15,450,avatar-entry-gate,True,False,2400,80,88,86,88,88,avatar entry locked during pre-avatar culture formation
15,450,avatar-entry-gate,True,False,2400,80,89,87,89,89,avatar entry locked during pre-avatar culture formation
15,450,avatar-entry-gate,True,False,2400,80,90,88,90,90,avatar entry locked during pre-avatar culture formation
16,480,avatar-entry-gate,True,False,2400,80,91,89,91,91,avatar entry locked during pre-avatar culture formation
16,480,avatar-entry-gate,True,False,2400,80,92,90,92,92,avatar entry locked during pre-avatar culture formation
16,480,avatar-entry-gate,True,False,2400,80,93,91,93,93,avatar entry locked during pre-avatar culture formation
