generation,year,epoch,settlement_id,population_band,climate_pressure,resource_pressure,conflict_pressure,cooperation_rate,inherited_story_count,pre_avatar
1,30,1,riverbend,87,0.225,0.276,0.132,0.47548,0,True
1,30,1,roofward,98,0.27,0.314,0.228,0.49492,0,True
1,30,1,archive,109,0.315,0.352,0.132,0.53548,0,True
1,30,1,signal,120,0.36,0.39,0.228,0.46492,0,True
1,30,1,orchard,131,0.405,0.428,0.132,0.50548,0,True
1,30,1,repair_ring,142,0.45,0.466,0.228,0.52492,0,True
2,60,1,riverbend,94,0.27,0.352,0.164,0.48196,2,True
2,60,1,roofward,105,0.315,0.39,0.26,0.5014,2,True
2,60,1,archive,116,0.36,0.428,0.164,0.54196,2,True
2,60,1,signal,127,0.405,0.466,0.26,0.4714,2,True
2,60,1,orchard,138,0.45,0.2,0.164,0.51196,2,True
2,60,1,repair_ring,149,0.18,0.238,0.26,0.5314,2,True
3,90,1,riverbend,101,0.315,0.428,0.196,0.48844,4,True
3,90,1,roofward,112,0.36,0.466,0.1,0.529,4,True
3,90,1,archive,123,0.405,0.2,0.196,0.54844,4,True
3,90,1,signal,134,0.45,0.238,0.1,0.499,4,True
3,90,1,orchard,145,0.18,0.276,0.196,0.51844,4,True
3,90,1,repair_ring,156,0.225,0.314,0.1,0.559,4,True
4,120,1,riverbend,108,0.36,0.2,0.228,0.49492,6,True
4,120,1,roofward,119,0.405,0.238,0.132,0.53548,6,True
4,120,1,archive,130,0.45,0.276,0.228,0.55492,6,True
4,120,1,signal,141,0.18,0.314,0.132,0.50548,6,True
4,120,1,orchard,152,0.225,0.352,0.228,0.52492,6,True
4,120,1,repair_ring,163,0.27,0.39,0.132,0.56548,6,True
5,150,1,riverbend,115,0.405,0.276,0.26,0.5014,8,True
5,150,1,roofward,126,0.45,0.314,0.164,0.54196,8,True
5,150,1,archive,137,0.18,0.352,0.26,0.5614,8,True
5,150,1,signal,148,0.225,0.39,0.164,0.51196,8,True
5,150,1,orchard,159,0.27,0.428,0.26,0.5314,8,True
5,150,1,repair_ring,170,0.315,0.466,0.164,0.57196,8,True
6,180,1,riverbend,122,0.45,0.352,0.1,0.529,10,True
6,180,1,roofward,133,0.18,0.39,0.196,0.54844,10,True
6,180,1,archive,144,0.225,0.428,0.1,0.589,10,True
6,180,1,signal,155,0.27,0.466,0.196,0.51844,10,True
6,180,1,orchard,166,0.315,0.2,0.1,0.559,10,True
6,180,1,repair_ring,177,0.36,0.238,0.196,0.57844,10,True
7,210,1,riverbend,129,0.18,0.428,0.132,0.53548,12,True
7,210,1,roofward,140,0.225,0.466,0.228,0.55492,12,True
7,210,1,archive,151,0.27,0.2,0.132,0.59548,12,True
7,210,1,signal,162,0.315,0.238,0.228,0.52492,12,True
7,210,1,orchard,173,0.36,0.276,0.132,0.56548,12,True
7,210,1,repair_ring,184,0.405,0.314,0.228,0.58492,12,True
8,240,1,riverbend,136,0.225,0.2,0.164,0.54196,14,True
8,240,1,roofward,147,0.27,0.238,0.26,0.5614,14,True
8,240,1,archive,158,0.315,0.276,0.164,0.60196,14,True
8,240,1,signal,169,0.36,0.314,0.26,0.5314,14,True
8,240,1,orchard,180,0.405,0.352,0.164,0.57196,14,True
8,240,1,repair_ring,191,0.45,0.39,0.26,0.5914,14,True
9,270,1,riverbend,143,0.27,0.276,0.196,0.54844,16,True
9,270,1,roofward,154,0.315,0.314,0.1,0.589,16,True
9,270,1,archive,165,0.36,0.352,0.196,0.60844,16,True
9,270,1,signal,176,0.405,0.39,0.1,0.559,16,True
9,270,1,orchard,187,0.45,0.428,0.196,0.57844,16,True
9,270,1,repair_ring,198,0.18,0.466,0.1,0.619,16,True
10,300,1,riverbend,150,0.315,0.352,0.228,0.55492,18,True
10,300,1,roofward,161,0.36,0.39,0.132,0.59548,18,True
