generation,year,settlement_id,technology_stage,prerequisite_stage,practical_need,material,failure_memory,adoption_rate,rollback_or_loss,causally_linked
1,30,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.23,False,True
1,30,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.23,False,True
1,30,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.23,False,True
1,30,signal,hand marks,hand marks,path visibility,copper,storage decay,0.23,False,True
1,30,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.23,False,True
1,30,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.23,False,True
2,60,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.24,False,True
2,60,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.24,False,True
2,60,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.24,False,True
2,60,signal,hand marks,hand marks,path visibility,copper,storage decay,0.24,False,True
2,60,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.24,False,True
2,60,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.24,False,True
3,90,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.25,False,True
3,90,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.25,False,True
3,90,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.25,False,True
3,90,signal,hand marks,hand marks,path visibility,copper,storage decay,0.25,False,True
3,90,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.25,False,True
3,90,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.25,False,True
4,120,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.26,False,True
4,120,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.26,False,True
4,120,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.18,True,True
4,120,signal,hand marks,hand marks,path visibility,copper,storage decay,0.26,False,True
4,120,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.26,False,True
4,120,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.26,False,True
5,150,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.27,False,True
5,150,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.27,False,True
5,150,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.27,False,True
5,150,signal,hand marks,hand marks,path visibility,copper,storage decay,0.27,False,True
5,150,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.27,False,True
5,150,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.27,False,True
6,180,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.28,False,True
6,180,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.28,False,True
6,180,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.28,False,True
6,180,signal,hand marks,hand marks,path visibility,copper,storage decay,0.28,False,True
6,180,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.28,False,True
6,180,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.28,False,True
7,210,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.29,False,True
7,210,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.29,False,True
7,210,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.29,False,True
7,210,signal,hand marks,hand marks,path visibility,copper,storage decay,0.29,False,True
7,210,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.29,False,True
7,210,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.29,False,True
8,240,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.3,False,True
8,240,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.3,False,True
8,240,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.3,False,True
8,240,signal,hand marks,hand marks,path visibility,copper,storage decay,0.3,False,True
8,240,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.3,False,True
8,240,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.3,False,True
9,270,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.31,False,True
9,270,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.31,False,True
9,270,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.31,False,True
9,270,signal,hand marks,hand marks,path visibility,copper,storage decay,0.31,False,True
9,270,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.31,False,True
9,270,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.31,False,True
10,300,riverbend,hand marks,hand marks,dry crossing,cedar,flood loss,0.32,False,True
10,300,roofward,hand marks,hand marks,herb preservation,glass,storage decay,0.32,False,True
10,300,archive,hand marks,hand marks,signal memory,inkstone,storage decay,0.32,False,True
10,300,signal,hand marks,hand marks,path visibility,copper,storage decay,0.32,False,True
10,300,orchard,hand marks,hand marks,dry seed continuity,clay,storage decay,0.32,False,True
10,300,repair_ring,hand marks,hand marks,safe repair space,bronze,spark crowding,0.32,False,True
11,330,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.37,False,True
11,330,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.37,False,True
11,330,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.37,False,True
11,330,signal,woven counters,hand marks,path visibility,copper,storage decay,0.37,False,True
11,330,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.37,False,True
11,330,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.37,False,True
12,360,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.38,False,True
12,360,roofward,woven counters,hand marks,herb preservation,glass,storage decay,0.38,False,True
12,360,archive,woven counters,hand marks,signal memory,inkstone,storage decay,0.38,False,True
12,360,signal,woven counters,hand marks,path visibility,copper,storage decay,0.3,True,True
12,360,orchard,woven counters,hand marks,dry seed continuity,clay,storage decay,0.38,False,True
12,360,repair_ring,woven counters,hand marks,safe repair space,bronze,spark crowding,0.38,False,True
13,390,riverbend,woven counters,hand marks,dry crossing,cedar,flood loss,0.39,False,True
