tick_id,day,settlement_id,localstorage_key,saved_avatar_position,saved_relationship_state,saved_memory_count,reload_probe,restore_integrity,replay_exportable
0,1,riverbend,ssrm.v38.world.riverbend,"0.455,0.500","{""access"": 0.44, ""respect"": 0.615, ""trust"": 0.585}",1,True,True,True
11,1,repair_ring,ssrm.v38.world.repair_ring,"0.590,0.424","{""access"": 0.46, ""respect"": 0.646, ""trust"": 0.612}",2,True,True,True
12,2,riverbend,ssrm.v38.world.riverbend,"0.365,0.538","{""access"": 0.44, ""respect"": 0.615, ""trust"": 0.585}",3,True,True,True
23,2,repair_ring,ssrm.v38.world.repair_ring,"0.680,0.424","{""access"": 0.45, ""respect"": 0.631, ""trust"": 0.597}",4,True,True,True
24,3,riverbend,ssrm.v38.world.riverbend,"0.275,0.538","{""access"": 0.49, ""respect"": 0.7, ""trust"": 0.65}",5,True,True,True
35,3,repair_ring,ssrm.v38.world.repair_ring,"0.770,0.500","{""access"": 0.5, ""respect"": 0.716, ""trust"": 0.662}",6,True,True,True
36,4,riverbend,ssrm.v38.world.riverbend,"0.185,0.500","{""access"": 0.5, ""respect"": 0.715, ""trust"": 0.665}",7,True,True,True
43,4,roofward,ssrm.v38.world.roofward,"0.500,0.576","{""access"": 0.455, ""respect"": 0.636, ""trust"": 0.602}",8,True,True,True
47,4,repair_ring,ssrm.v38.world.repair_ring,"0.860,0.424","{""access"": 0.5, ""respect"": 0.716, ""trust"": 0.662}",8,True,True,True
48,5,riverbend,ssrm.v38.world.riverbend,"0.095,0.538","{""access"": 0.475, ""respect"": 0.671, ""trust"": 0.627}",9,True,True,True
59,5,repair_ring,ssrm.v38.world.repair_ring,"0.950,0.424","{""access"": 0.505, ""respect"": 0.721, ""trust"": 0.667}",10,True,True,True
60,6,roofward,ssrm.v38.world.roofward,"0.455,0.462","{""access"": 0.525, ""respect"": 0.756, ""trust"": 0.692}",11,True,True,True
71,6,riverbend,ssrm.v38.world.riverbend,"0.140,0.652","{""access"": 0.545, ""respect"": 0.787, ""trust"": 0.719}",12,True,True,True
72,7,roofward,ssrm.v38.world.roofward,"0.365,0.424","{""access"": 0.485, ""respect"": 0.686, ""trust"": 0.642}",13,True,True,True
83,7,riverbend,ssrm.v38.world.riverbend,"0.230,0.576","{""access"": 0.505, ""respect"": 0.721, ""trust"": 0.667}",14,True,True,True
84,8,roofward,ssrm.v38.world.roofward,"0.275,0.462","{""access"": 0.52, ""respect"": 0.746, ""trust"": 0.682}",15,True,True,True
86,8,signal,ssrm.v38.world.signal,"0.275,0.576","{""access"": 0.565, ""respect"": 0.822, ""trust"": 0.744}",15,True,True,True
95,8,riverbend,ssrm.v38.world.riverbend,"0.320,0.576","{""access"": 0.585, ""respect"": 0.857, ""trust"": 0.769}",16,True,True,True
96,9,roofward,ssrm.v38.world.roofward,"0.185,0.462","{""access"": 0.48, ""respect"": 0.676, ""trust"": 0.632}",17,True,True,True
