tick_id,day,settlement_id,reload_probe,saved_room,saved_avatar_position,saved_object_count,saved_body_state,saved_dialect_memory_count,restore_integrity,replay_exportable
0,1,riverbend,True,arrival court,"0.445,0.500",0,"{""arousal"": 0.31558, ""comfort"": 0.655, ""energy"": 0.714, ""pain"": 0.056, ""temperature"": 0.555, ""wetness"": 0.176}",1,True,True
11,1,repair_ring,True,arrival court,"0.610,0.402",0,"{""arousal"": 0.31344, ""comfort"": 0.58, ""energy"": 0.689, ""pain"": 0.052, ""temperature"": 0.559, ""wetness"": 0.216}",1,True,True
12,2,riverbend,True,arrival court,"0.335,0.549",1,"{""arousal"": 0.30601, ""comfort"": 0.67, ""energy"": 0.702, ""pain"": 0.048, ""temperature"": 0.505, ""wetness"": 0.137}",1,True,True
23,2,repair_ring,True,arrival court,"0.720,0.402",0,"{""arousal"": 0.30504, ""comfort"": 0.595, ""energy"": 0.718, ""pain"": 0.03, ""temperature"": 0.509, ""wetness"": 0.208}",0,True,True
24,3,riverbend,True,plank hall,"0.225,0.549",2,"{""arousal"": 0.29725, ""comfort"": 0.63, ""energy"": 0.69, ""pain"": 0.074, ""temperature"": 0.484, ""wetness"": 0.173}",2,True,True
35,3,repair_ring,True,arrival court,"0.830,0.500",1,"{""arousal"": 0.29564, ""comfort"": 0.61, ""energy"": 0.706, ""pain"": 0.022, ""temperature"": 0.459, ""wetness"": 0.2}",1,True,True
36,4,riverbend,True,dry ridge,"0.115,0.500",2,"{""arousal"": 0.290838, ""comfort"": 0.616, ""energy"": 0.659, ""pain"": 0.066, ""temperature"": 0.492, ""wetness"": 0.209}",2,True,True
37,4,roofward,True,warm lane,"0.500,0.549",0,"{""arousal"": 0.305796, ""comfort"": 0.584, ""energy"": 0.64, ""pain"": 0.066, ""temperature"": 0.712, ""wetness"": 0.284}",1,True,True
47,4,repair_ring,True,arrival court,"0.940,0.402",2,"{""arousal"": 0.28462, ""comfort"": 0.625, ""energy"": 0.694, ""pain"": 0.014, ""temperature"": 0.409, ""wetness"": 0.161}",0,True,True
48,5,riverbend,True,kit alcove,"0.040,0.549",2,"{""arousal"": 0.283498, ""comfort"": 0.628, ""energy"": 0.628, ""pain"": 0.058, ""temperature"": 0.526, ""wetness"": 0.201}",4,True,True
59,5,repair_ring,True,wire bench,"0.960,0.402",2,"{""arousal"": 0.272984, ""comfort"": 0.637, ""energy"": 0.682, ""pain"": 0.006, ""temperature"": 0.469, ""wetness"": 0.153}",2,True,True
