tick_index,agent,rolling_valence,rolling_arousal,rolling_control,rolling_safety,embodied_stress_load,recovery_momentum,affect_memory_charge,dominant_long_mood,private_history_note
1,Ari,0.566599,0.397141,0.687688,0.607617,0.299678,0.227264,0.221136,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.30; recovery=0.23; charge=0.22
2,Fay,0.629556,0.337425,0.695873,0.711144,0.188392,0.320064,0.182179,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.19; recovery=0.32; charge=0.18
3,Milo,0.590068,0.344518,0.698717,0.668642,0.226948,0.259264,0.193477,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.23; recovery=0.26; charge=0.19
4,Sol,0.630875,0.333143,0.707015,0.711215,0.183039,0.320064,0.174389,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.18; recovery=0.32; charge=0.17
5,Ari,0.602785,0.41927,0.739698,0.662845,0.25771,0.284204,0.188625,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.26; recovery=0.28; charge=0.19
6,Fay,0.585152,0.434443,0.70838,0.638567,0.307557,0.254508,0.210785,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.31; recovery=0.25; charge=0.21
7,Milo,0.560968,0.43294,0.741732,0.606196,0.308701,0.213164,0.18616,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.31; recovery=0.21; charge=0.19
8,Sol,0.651637,0.366902,0.750812,0.741563,0.179553,0.347308,0.141221,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.18; recovery=0.35; charge=0.14
9,Ari,0.627586,0.44958,0.772469,0.703705,0.236992,0.322922,0.162643,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.24; recovery=0.32; charge=0.16
10,Fay,0.616876,0.456767,0.751059,0.686149,0.262668,0.302729,0.178825,steady_continuity,private: Fay carries steady_continuity from day 1; stress=0.26; recovery=0.30; charge=0.18
11,Milo,0.533519,0.514905,0.760777,0.557779,0.382211,0.181815,0.20829,steady_continuity,private: Milo carries steady_continuity from day 1; stress=0.38; recovery=0.18; charge=0.21
12,Sol,0.666468,0.406975,0.784489,0.763778,0.178252,0.365833,0.109837,steady_continuity,private: Sol carries steady_continuity from day 1; stress=0.18; recovery=0.37; charge=0.11
13,Ari,0.644937,0.468129,0.795776,0.73378,0.22605,0.349251,0.137959,steady_continuity,private: Ari carries steady_continuity from day 1; stress=0.23; recovery=0.35; charge=0.14
