tick_index,agent,circadian_phase,wake_pressure,sleep_debt,sleep_quality,rest_recovery,dream_memory_sorting,fatigue_next_tick,rhythm_vibration_hz,flower_phase_deg,sleep_state
1,Ari,0.425923,0.514191,0.283322,0.315391,0.08,0.167309,0.335731,2.289943,223.727764,steady_wakefulness
2,Fay,0.34052,0.459533,0.242238,0.465811,0.08,0.189872,0.268781,2.448964,5.875528,steady_wakefulness
3,Milo,0.46965,0.542176,0.24232,0.345399,0.08,0.17181,0.284763,2.647843,148.313292,steady_wakefulness
4,Sol,0.305277,0.436977,0.2394,0.36,0.08,0.174,0.271204,2.194883,273.061056,steady_wakefulness
5,Ari,0.797271,0.769584,0.302722,0.36,0.08,0.174,0.312996,2.387567,53.75882,awake_active
6,Fay,0.722318,0.71011,0.279655,0.269912,0.08,0.160487,0.369543,2.543172,195.906584,awake_active
7,Milo,0.831441,0.779972,0.299424,0.226481,0.08,0.153972,0.33719,2.736273,338.344348,awake_active
8,Sol,0.68795,0.68732,0.261947,0.464265,0.08,0.18964,0.283021,2.282543,103.092112,awake_active
9,Ari,0.994482,0.901231,0.325149,0.464865,0.08,0.18973,0.324256,2.445075,243.789876,awake_active
10,Fay,0.973884,0.881589,0.299055,0.36,0.08,0.174,0.310577,2.604958,25.93764,awake_active
11,Milo,0.999078,0.903249,0.362733,0.315457,0.08,0.167319,0.388089,2.782595,168.375404,awake_active
12,Sol,0.960525,0.868081,0.283761,0.467932,0.08,0.19019,0.294496,2.336352,293.123168,awake_active
13,Ari,0.902032,0.848342,0.34795,0.462993,0.08,0.189449,0.340796,2.442103,73.820932,awake_active
14,Fay,0.947856,0.870363,0.32165,0.344029,0.08,0.171604,0.338212,2.605639,215.968696,awake_active
15,Milo,0.874362,0.841157,0.382133,0.36,0.08,0.174,0.365407,2.766522,358.40646,awake_active
16,Sol,0.96333,0.875984,0.321539,0.268108,0.08,0.160216,0.398623,2.330153,123.154224,awake_active
17,Ari,0.574077,0.644836,0.386043,0.266537,0.08,0.159981,0.442447,2.383993,263.851988,awake_active
18,Fay,0.65948,0.692129,0.321435,0.225075,0.26,0.153761,0.352837,2.515495,45.999752,awake_active
19,Milo,0.53035,0.626421,0.404082,0.467255,0.08,0.190088,0.374448,2.695844,188.437516,awake_active
20,Sol,0.694723,0.714654,0.283339,0.36,0.26,0.174,0.300204,2.234286,313.18528,awake_active
21,Ari,0.202729,0.417838,0.347843,0.36,0.26,0.174,0.342776,2.269577,93.883044,steady_wakefulness
22,Fay,0.277682,0.447718,0.327333,0.314508,0.26,0.167176,0.365482,2.426048,236.030808,steady_wakefulness
23,Milo,0.168559,0.401021,0.425871,0.468052,0.08,0.190208,0.388194,2.607535,18.468572,steady_wakefulness
24,Sol,0.31205,0.459047,0.305235,0.347522,0.08,0.172128,0.324595,2.169291,143.216336,steady_wakefulness
25,Ari,0.005518,0.0,0.186615,0.774335,0.513628,0.23615,0.192946,2.08904,283.9141,deep_recovery_sleep
26,Fay,0.026116,0.0,0.160165,0.79,0.5224,0.8185,0.163009,2.23623,66.061864,deep_recovery_sleep
27,Milo,0.000922,0.0,0.293326,0.698695,0.471269,0.224804,0.323635,2.404355,208.499628,deep_recovery_sleep
28,Sol,0.039475,0.0,0.143297,0.653317,0.625857,0.217998,0.180767,1.925775,333.247392,deep_recovery_sleep
29,Ari,0.097968,0.0,0.024287,0.654345,0.626433,0.218152,0.101401,2.02541,113.945156,deep_recovery_sleep
30,Fay,0.052144,0.0,0.0,0.898274,0.583033,0.254741,0.051042,2.183613,256.09292,deep_recovery_sleep
31,Milo,0.125638,0.0,0.126158,0.79,0.5224,0.8185,0.140564,2.355722,38.530684,deep_recovery_sleep
32,Sol,0.03667,0.0,0.027684,0.746342,0.497952,0.231951,0.110352,1.912256,163.278448,deep_recovery_sleep
33,Ari,0.425923,0.459391,0.046468,0.466097,0.08,0.189915,0.139344,2.191751,326.976212,steady_wakefulness
34,Fay,0.34052,0.397933,0.022788,0.34306,0.08,0.171459,0.141736,2.332596,109.123976,steady_wakefulness
35,Milo,0.46965,0.5159,0.145558,0.36,0.08,0.174,0.209268,2.524172,251.56174,steady_wakefulness
36,Sol,0.305277,0.383129,0.065842,0.26621,0.08,0.159932,0.231375,2.051911,16.309504,steady_wakefulness
37,Ari,0.797271,0.703264,0.08397,0.269488,0.08,0.160423,0.240728,2.230662,157.007268,awake_active
38,Fay,0.722318,0.648664,0.080379,0.224043,0.08,0.153606,0.194563,2.37837,299.155032,awake_active
39,Milo,0.831441,0.752878,0.16811,0.464243,0.08,0.189636,0.221106,2.572421,81.592796,awake_active
40,Sol,0.68795,0.638724,0.085242,0.36,0.08,0.174,0.16946,2.109816,206.34056,awake_active
41,Ari,0.994482,0.83998,0.10337,0.36,0.08,0.174,0.181424,2.267949,347.038324,awake_active
42,Fay,0.973884,0.825792,0.14354,0.3162,0.08,0.16743,0.24283,2.42997,129.186088,awake_active
43,Milo,0.999078,0.866481,0.190849,0.463304,0.08,0.189496,0.236861,2.615271,271.623852,awake_active
44,Sol,0.960525,0.818604,0.108021,0.343106,0.08,0.171466,0.197952,2.172194,36.371616,awake_active
45,Ari,0.902032,0.786244,0.125976,0.343972,0.08,0.171596,0.209113,2.283522,177.06938,awake_active
46,Fay,0.947856,0.826819,0.16294,0.36,0.08,0.174,0.22074,2.461755,319.217144,awake_active
47,Milo,0.874362,0.793029,0.228829,0.267096,0.08,0.160064,0.338241,2.634341,101.654908,awake_active
48,Sol,0.96333,0.826777,0.165814,0.223035,0.08,0.153455,0.251753,2.212344,226.402672,awake_active
49,Ari,0.574077,0.582683,0.183619,0.223781,0.08,0.153567,0.26291,2.279613,7.100436,steady_wakefulness
50,Fay,0.65948,0.64769,0.128124,0.463078,0.26,0.189462,0.195643,2.432706,149.2482,awake_active
51,Milo,0.53035,0.583496,0.190629,0.36,0.26,0.174,0.239015,2.599821,291.685964,steady_wakefulness
52,Sol,0.694723,0.67105,0.228808,0.317026,0.08,0.167554,0.298449,2.222592,56.433728,awake_active
53,Ari,0.202729,0.36116,0.247086,0.314666,0.08,0.1672,0.312393,2.275223,197.131492,steady_wakefulness
54,Fay,0.277682,0.393591,0.092732,0.465958,0.26,0.189894,0.16999,2.420294,339.279256,steady_wakefulness
55,Milo,0.168559,0.341254,0.212451,0.347891,0.08,0.172184,0.263065,2.620884,121.71702,steady_wakefulness
56,Sol,0.31205,0.443778,0.190608,0.36,0.26,0.174,0.239002,2.17996,246.464784,steady_wakefulness
57,Ari,0.005518,0.0,0.079918,0.79,0.5224,0.8185,0.110046,2.153095,27.162548,deep_recovery_sleep
58,Fay,0.026116,0.0,0.0,0.698206,0.470995,0.224731,0.130429,2.329298,169.310312,deep_recovery_sleep
59,Milo,0.000922,0.0,0.049937,0.654837,0.626709,0.218225,0.117939,2.477064,311.748076,deep_recovery_sleep
60,Sol,0.039475,0.0,0.00827,0.893297,0.580246,0.253995,0.060465,2.049976,76.49584,deep_recovery_sleep
61,Ari,0.097968,0.0,0.0,0.896323,0.581941,0.254448,0.052596,2.162901,217.193604,deep_recovery_sleep
62,Fay,0.052144,0.0,0.0,0.79,0.5224,0.8185,0.0573,2.335482,359.341368,deep_recovery_sleep
63,Milo,0.125638,0.0,0.0,0.745566,0.497517,0.231835,0.092699,2.510427,141.779132,deep_recovery_sleep
64,Sol,0.03667,0.0,0.0,0.895598,0.761535,0.25434,0.053174,2.021966,266.526896,deep_recovery_sleep
65,Ari,0.425923,0.452591,0.02184,0.347799,0.08,0.17217,0.137334,2.351885,70.22466,steady_wakefulness
66,Fay,0.34052,0.397933,0.0194,0.36,0.08,0.174,0.126004,2.49618,212.372424,steady_wakefulness
67,Milo,0.46965,0.480576,0.038255,0.265727,0.08,0.159859,0.213552,2.679385,354.810188,steady_wakefulness
68,Sol,0.305277,0.375377,0.057142,0.226292,0.08,0.153944,0.177434,2.210047,119.557952,steady_wakefulness
69,Ari,0.797271,0.696369,0.078784,0.227282,0.08,0.154092,0.19093,2.383349,260.255716,awake_active
70,Fay,0.722318,0.647715,0.041381,0.467094,0.08,0.190064,0.135193,2.524323,42.40348,awake_active
71,Milo,0.831441,0.722833,0.057655,0.36,0.08,0.174,0.151252,2.701648,184.841244,awake_active
