tick_index,agent,other_actor,trust,comfort,avoidance,dependency,gratitude,resentment,attachment_security,consequence_action,remembered_reason
1,Ari,avatar,0.516727,0.536742,0.207727,0.19,0.212273,0.188,0.521659,continues_neutral_boundary,relationship state remains bounded
2,Fay,avatar,0.645841,0.585163,0.154799,0.20314,0.255201,0.134,0.544594,approaches_for_shared_task_later,help became recovery memory
3,Milo,local peers,0.583111,0.558858,0.177407,0.19,0.222593,0.16,0.522667,continues_neutral_boundary,relationship state remains bounded
4,Sol,avatar,0.515841,0.585239,0.154799,0.20026,0.255201,0.134,0.543954,approaches_for_shared_task_later,help became recovery memory
5,Ari,avatar,0.542138,0.570065,0.182885,0.18828,0.247115,0.162,0.544349,approaches_for_shared_task_later,help became recovery memory
6,Fay,avatar,0.622895,0.572352,0.182254,0.19314,0.247746,0.162,0.548016,shares_private_hint_voluntarily,trust stable across days
7,Milo,local peers,0.585669,0.565448,0.175276,0.18,0.224724,0.16,0.524812,continues_neutral_boundary,relationship state remains bounded
8,Sol,avatar,0.542008,0.621074,0.129326,0.20052,0.290674,0.108,0.568591,approaches_for_shared_task_later,help became recovery memory
9,Ari,avatar,0.568013,0.604414,0.157656,0.18656,0.282344,0.136,0.567857,approaches_for_shared_task_later,help became recovery memory
10,Fay,avatar,0.648528,0.606025,0.157227,0.19628,0.282773,0.136,0.572368,approaches_for_shared_task_later,help became recovery memory
11,Milo,avatar,0.561851,0.550137,0.203458,0.17,0.216542,0.188,0.526185,continues_neutral_boundary,relationship state remains bounded
12,Sol,avatar,0.568398,0.657326,0.103668,0.20078,0.326332,0.082,0.593809,approaches_for_shared_task_later,help became recovery memory
13,Ari,avatar,0.594204,0.639457,0.132164,0.18484,0.317836,0.11,0.592038,approaches_for_shared_task_later,help became recovery memory
14,Fay,local peers,0.651824,0.614341,0.15448,0.18628,0.28552,0.136,0.576422,shares_private_hint_voluntarily,trust stable across days
15,Milo,avatar,0.58689,0.581845,0.178925,0.16918,0.251075,0.162,0.54876,approaches_for_shared_task_later,help became recovery memory
16,Sol,avatar,0.545826,0.64523,0.130812,0.19078,0.319188,0.11,0.597686,continues_neutral_boundary,relationship state remains bounded
17,Ari,avatar,0.571496,0.626366,0.15942,0.17484,0.31058,0.138,0.594938,continues_neutral_boundary,relationship state remains bounded
18,Fay,local peers,0.655312,0.620759,0.151574,0.17628,0.288426,0.136,0.580707,shares_private_hint_voluntarily,trust stable across days
19,Milo,avatar,0.612513,0.614902,0.153906,0.16836,0.286094,0.136,0.572268,approaches_for_shared_task_later,help became recovery memory
20,Sol,avatar,0.572516,0.679704,0.104903,0.19104,0.355097,0.084,0.623187,approaches_for_shared_task_later,help became recovery memory
21,Ari,avatar,0.598094,0.660005,0.133588,0.17312,0.346412,0.112,0.619506,approaches_for_shared_task_later,help became recovery memory
22,Fay,avatar,0.632929,0.605646,0.178559,0.16628,0.281441,0.164,0.584744,shares_private_hint_voluntarily,trust stable across days
23,Milo,avatar,0.638533,0.648899,0.128556,0.16754,0.321444,0.11,0.596528,approaches_for_shared_task_later,help became recovery memory
24,Sol,local peers,0.576532,0.688657,0.101557,0.18104,0.358443,0.084,0.628061,continues_neutral_boundary,relationship state remains bounded
25,Ari,local peers,0.60278,0.669149,0.129684,0.16312,0.350316,0.112,0.624216,continues_neutral_boundary,relationship state remains bounded
26,Fay,avatar,0.660191,0.63852,0.152174,0.16942,0.317826,0.138,0.610796,approaches_for_shared_task_later,help became recovery memory
