tick_id,day,settlement_id,resident_id,visit_index,dialect_id,remembered_phrase,new_phrase,memory_span_days,recall_after_save_restore,relationship_context,persistent_key
0,1,riverbend,Lio,1,riverbend-dialect-8,first phrase,riverbend-plank-1-0,0,False,warmer after care,ssrm.v40.dialect.riverbend.Lio
3,1,signal,Milo,1,signal-dialect-8,first phrase,signal-mast-1-0,0,False,warmer after care,ssrm.v40.dialect.signal.Milo
4,1,orchard,Mara,1,orchard-dialect-8,first phrase,orchard-arrival-1-0,0,False,warmer after care,ssrm.v40.dialect.orchard.Mara
6,1,riverbend,Lio,2,riverbend-dialect-8,riverbend-plank-1-0,riverbend-wet-1-1,0,True,warmer after care,ssrm.v40.dialect.riverbend.Lio
7,1,roofward,Fay,1,roofward-dialect-8,first phrase,roofward-warm-1-0,0,False,warmer after care,ssrm.v40.dialect.roofward.Fay
9,1,signal,Milo,2,signal-dialect-8,signal-mast-1-0,signal-arrival-1-1,0,True,warmer after care,ssrm.v40.dialect.signal.Milo
12,2,riverbend,Ari,1,riverbend-dialect-8,first phrase,riverbend-wet-2-0,0,False,warmer after care,ssrm.v40.dialect.riverbend.Ari
15,2,signal,Ren,1,signal-dialect-8,first phrase,signal-mast-2-0,0,False,warmer after care,ssrm.v40.dialect.signal.Ren
18,2,riverbend,Ari,2,riverbend-dialect-8,riverbend-wet-2-0,riverbend-plank-2-1,0,True,warmer after care,ssrm.v40.dialect.riverbend.Ari
21,2,signal,Ren,2,signal-dialect-8,signal-mast-2-0,signal-mast-2-1,0,True,warmer after care,ssrm.v40.dialect.signal.Ren
24,3,riverbend,Lio,3,riverbend-dialect-8,riverbend-wet-1-1,riverbend-plank-3-2,2,True,warmer after care,ssrm.v40.dialect.riverbend.Lio
27,3,signal,Milo,3,signal-dialect-8,signal-arrival-1-1,signal-mast-3-2,2,True,warmer after care,ssrm.v40.dialect.signal.Milo
30,3,riverbend,Lio,4,riverbend-dialect-8,riverbend-plank-3-2,riverbend-wet-3-3,2,True,warmer after care,ssrm.v40.dialect.riverbend.Lio
33,3,signal,Milo,4,signal-dialect-8,signal-mast-3-2,signal-arrival-3-3,2,True,warmer after care,ssrm.v40.dialect.signal.Milo
36,4,riverbend,Ari,3,riverbend-dialect-8,riverbend-plank-2-1,riverbend-kit-4-2,2,True,warmer after care,ssrm.v40.dialect.riverbend.Ari
39,4,signal,Ren,3,signal-dialect-8,signal-mast-2-1,signal-mast-4-2,2,True,warmer after care,ssrm.v40.dialect.signal.Ren
42,4,riverbend,Ari,4,riverbend-dialect-8,riverbend-kit-4-2,riverbend-dry-4-3,2,True,warmer after care,ssrm.v40.dialect.riverbend.Ari
45,4,signal,Ren,4,signal-dialect-8,signal-mast-4-2,signal-lantern-4-3,2,True,warmer after care,ssrm.v40.dialect.signal.Ren
48,5,riverbend,Lio,5,riverbend-dialect-8,riverbend-wet-3-3,riverbend-plank-5-4,4,True,warmer after care,ssrm.v40.dialect.riverbend.Lio
50,5,archive,Toma,1,archive-dialect-8,first phrase,archive-spool-5-0,0,False,warmer after care,ssrm.v40.dialect.archive.Toma
51,5,signal,Milo,5,signal-dialect-8,signal-arrival-3-3,signal-lantern-5-4,4,True,warmer after care,ssrm.v40.dialect.signal.Milo
54,5,riverbend,Lio,6,riverbend-dialect-8,riverbend-plank-5-4,riverbend-wet-5-5,4,True,warmer after care,ssrm.v40.dialect.riverbend.Lio
57,5,signal,Milo,6,signal-dialect-8,signal-lantern-5-4,signal-mast-5-5,4,True,warmer after care,ssrm.v40.dialect.signal.Milo
59,5,repair_ring,Juno,1,repair_ring-dialect-8,first phrase,repair_ring-wire-5-0,0,False,warmer after care,ssrm.v40.dialect.repair_ring.Juno
60,6,riverbend,Ari,5,riverbend-dialect-8,riverbend-dry-4-3,riverbend-plank-6-4,4,True,warmer after care,ssrm.v40.dialect.riverbend.Ari
63,6,signal,Ren,5,signal-dialect-8,signal-lantern-4-3,signal-lantern-6-4,4,True,warmer after care,ssrm.v40.dialect.signal.Ren
66,6,riverbend,Ari,6,riverbend-dialect-8,riverbend-plank-6-4,riverbend-wet-6-5,4,True,warmer after care,ssrm.v40.dialect.riverbend.Ari
69,6,signal,Ren,6,signal-dialect-8,signal-lantern-6-4,signal-mast-6-5,4,True,warmer after care,ssrm.v40.dialect.signal.Ren
72,7,riverbend,Lio,7,riverbend-dialect-8,riverbend-wet-5-5,riverbend-wet-7-6,6,True,warmer after care,ssrm.v40.dialect.riverbend.Lio
