metric,value
affordance_chain_count,540.0
browser_tick_count,1344.0
browser_v40_surface,1.0
browser_world_v40_pathfinding_bodycare_readiness,0.925513
browser_world_v40_surface,1.0
care_effective_count,448.0
care_effectiveness_when_used,1.0
continuous_room_pathfinding,1.0
dialect_memory_count,518.0
embodied_pain_rest_care_loop,1.0
frequency_flower_path_body_binding,1.0
html_button_count,36.0
html_localstorage_handler_count,2.0
long_session_dialect_memory,0.9841897233201581
long_session_dialect_memory_count,498.0
mean_pathfinding_bodycare_channel_score,0.97484
multi_visit_save_restore_integrity,1.0
object_affordance_chain_progression,1.0
pain_rest_care_count,1344.0
pain_rest_loop_not_spectacle,0.810417
pathfinding_count,1344.0
private_boundary_preserved,1.0
resident_routine_integrity,1.0
routine_frame_count,1344.0
routine_interrupt_count,143.0
routine_interruption_recovery,0.8531468531468531
routine_recovery_count,122.0
session_day_count,112.0
session_persistence_count,251.0
source_v39_continuity,1.0
weakest_channel_name,pain_rest_loop_not_spectacle
weakest_channel_score,0.810417
