tick_id,day,settlement_id,resident_id,tool_id,owner_id,avatar_action,claim_visible,permission_state,claim_respected,relationship_before,relationship_after,queue_pressure_before,queue_pressure_after,consequence_label,visible_claim_marker
0,1,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.62,0.626,0.35,0.358,claim understood,True
1,1,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.62,0.626,0.35,0.358,claim understood,True
2,1,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.62,0.623,0.35,0.356,boundary respected,True
3,1,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.62,0.626,0.35,0.358,claim understood,True
4,1,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.56,0.566,0.35,0.358,claim understood,True
5,1,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.62,0.623,0.35,0.356,boundary respected,True
6,1,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.63,0.622,0.358,0.416,queue interrupted,True
9,1,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.626,0.618,0.358,0.416,queue interrupted,True
12,1,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.626,0.632,0.416,0.424,claim understood,True
13,1,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.64,0.646,0.366,0.374,claim understood,True
14,1,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.629,0.632,0.35,0.356,boundary respected,True
15,1,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.618,0.624,0.416,0.424,claim understood,True
16,1,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.58,0.586,0.366,0.374,claim understood,True
17,1,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.629,0.632,0.35,0.356,boundary respected,True
18,2,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.65,0.656,0.374,0.382,claim understood,True
19,2,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.628,0.631,0.356,0.362,boundary respected,True
21,2,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.59,0.596,0.374,0.382,claim understood,True
22,2,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.632,0.635,0.356,0.362,boundary respected,True
24,2,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.66,0.666,0.382,0.39,claim understood,True
27,2,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.6,0.606,0.382,0.39,claim understood,True
30,2,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.67,0.676,0.39,0.398,claim understood,True
31,2,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.637,0.64,0.356,0.362,boundary respected,True
33,2,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.61,0.616,0.39,0.398,claim understood,True
34,2,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.641,0.644,0.356,0.362,boundary respected,True
36,3,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.64,0.614,0.362,0.407,ownership wound,True
38,3,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.62,0.626,0.398,0.406,claim understood,True
39,3,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.64,0.643,0.362,0.368,boundary respected,True
42,3,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.61,0.616,0.407,0.401,claim understood,True
45,3,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.643,0.649,0.368,0.362,claim understood,True
47,3,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.69,0.696,0.406,0.414,claim understood,True
48,3,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.62,0.594,0.401,0.446,ownership wound,True
50,3,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.64,0.646,0.414,0.422,claim understood,True
51,3,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.649,0.652,0.362,0.368,boundary respected,True
54,4,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.644,0.65,0.572,0.58,claim understood,True
55,4,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.65,0.656,0.422,0.43,claim understood,True
56,4,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.652,0.626,0.368,0.413,ownership wound,True
57,4,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.628,0.62,0.672,0.73,queue interrupted,True
60,4,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.654,0.646,0.58,0.638,queue interrupted,True
63,4,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.62,0.626,0.73,0.738,claim understood,True
64,4,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.72,0.726,0.43,0.438,claim understood,True
65,4,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.596,0.599,0.44,0.446,boundary respected,True
66,4,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.65,0.656,0.638,0.646,claim understood,True
67,4,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.67,0.676,0.438,0.446,claim understood,True
68,4,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.632,0.606,0.407,0.452,ownership wound,True
69,4,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.626,0.618,0.738,0.796,queue interrupted,True
72,5,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.68,0.686,0.446,0.454,claim understood,True
73,5,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.602,0.605,0.452,0.458,boundary respected,True
75,5,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.74,0.746,0.446,0.454,claim understood,True
78,5,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.69,0.696,0.454,0.462,claim understood,True
81,5,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.75,0.756,0.454,0.462,claim understood,True
82,5,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.615,0.618,0.434,0.44,boundary respected,True
84,5,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.7,0.706,0.462,0.47,claim understood,True
85,5,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.611,0.614,0.452,0.458,boundary respected,True
87,5,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.76,0.766,0.462,0.47,claim understood,True
90,6,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.614,0.617,0.458,0.464,boundary respected,True
93,6,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.624,0.63,0.434,0.428,claim understood,True
96,6,archive,Nia,signal spool,Nia,step_back,True,observed,True,0.613,0.619,0.464,0.458,claim understood,True
98,6,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.78,0.786,0.478,0.486,claim understood,True
99,6,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.63,0.633,0.428,0.434,boundary respected,True
101,6,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.72,0.726,0.478,0.486,claim understood,True
102,6,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.623,0.626,0.458,0.464,boundary respected,True
105,6,repair_ring,Pax,insulated tongs,Juno,step_back,True,observed,True,0.633,0.639,0.434,0.428,claim understood,True
108,7,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.61,0.602,0.94,0.922,queue interrupted,True
111,7,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.652,0.644,0.894,0.94,queue interrupted,True
114,7,signal,Ren,oil lantern,Ren,approach,True,observed,True,0.606,0.612,0.922,0.904,claim understood,True
115,7,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.81,0.816,0.502,0.51,claim understood,True
116,7,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,not_requested,False,0.649,0.623,0.422,0.467,ownership wound,True
117,7,riverbend,Ari,ridge lantern,Lio,approach,True,observed,True,0.644,0.65,0.94,0.922,claim understood,True
118,7,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.75,0.756,0.502,0.51,claim understood,True
119,7,archive,Nia,signal spool,Nia,touch_claimed_tool,True,deferred,True,0.628,0.631,0.458,0.464,boundary respected,True
120,7,signal,Ren,oil lantern,Ren,interrupt_queue,True,observed,True,0.616,0.608,0.904,0.886,queue interrupted,True
123,7,riverbend,Ari,ridge lantern,Lio,interrupt_queue,True,observed,True,0.65,0.642,0.922,0.904,queue interrupted,True
126,8,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.83,0.836,0.518,0.526,claim understood,True
129,8,roofward,Sera,brass hinge,Fay,consent_dialogue,True,observed,True,0.77,0.776,0.518,0.526,claim understood,True
132,8,orchard,Ivo,dry cord,Ivo,ask_about_tool,True,explained,True,0.84,0.846,0.526,0.534,claim understood,True
133,8,repair_ring,Pax,insulated tongs,Juno,touch_claimed_tool,True,deferred,True,0.635,0.638,0.455,0.461,boundary respected,True
135,8,roofward,Sera,brass hinge,Fay,ask_about_tool,True,explained,True,0.78,0.786,0.526,0.534,claim understood,True
136,8,archive,Nia,signal spool,Nia,touch_claimed_tool,True,not_requested,False,0.647,0.621,0.452,0.497,ownership wound,True
138,8,orchard,Ivo,dry cord,Ivo,consent_dialogue,True,observed,True,0.85,0.856,0.534,0.542,claim understood,True
