tick_id,day,settlement_id,first_person_panel,room_sensory_field_panel,tool_claim_panel,consent_dialogue_panel,queue_consequence_panel,save_restore_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,signal,True,True,True,True,True,True,True,True,ssrm.v42.world.signal,ssrm.v42.replay.00000
1,1,orchard,True,True,True,True,True,True,True,True,ssrm.v42.world.orchard,ssrm.v42.replay.00001
2,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00002
3,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00003
4,1,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00004
5,1,archive,True,True,True,True,True,True,True,True,ssrm.v42.world.archive,ssrm.v42.replay.00005
6,1,signal,True,True,True,True,True,True,True,True,ssrm.v42.world.signal,ssrm.v42.replay.00006
7,1,orchard,True,True,True,True,True,True,True,True,ssrm.v42.world.orchard,ssrm.v42.replay.00007
8,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00008
9,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00009
10,1,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00010
11,1,archive,True,True,True,True,True,True,True,True,ssrm.v42.world.archive,ssrm.v42.replay.00011
12,1,signal,True,True,True,True,True,True,True,True,ssrm.v42.world.signal,ssrm.v42.replay.00012
13,1,orchard,True,True,True,True,True,True,True,True,ssrm.v42.world.orchard,ssrm.v42.replay.00013
14,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00014
15,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00015
16,1,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00016
17,1,archive,True,True,True,True,True,True,True,True,ssrm.v42.world.archive,ssrm.v42.replay.00017
18,2,orchard,True,True,True,True,True,True,True,True,ssrm.v42.world.orchard,ssrm.v42.replay.00018
19,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00019
20,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00020
21,2,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00021
22,2,archive,True,True,True,True,True,True,True,True,ssrm.v42.world.archive,ssrm.v42.replay.00022
23,2,signal,True,True,True,True,True,True,True,True,ssrm.v42.world.signal,ssrm.v42.replay.00023
24,2,orchard,True,True,True,True,True,True,True,True,ssrm.v42.world.orchard,ssrm.v42.replay.00024
25,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00025
26,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00026
27,2,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00027
28,2,archive,True,True,True,True,True,True,True,True,ssrm.v42.world.archive,ssrm.v42.replay.00028
29,2,signal,True,True,True,True,True,True,True,True,ssrm.v42.world.signal,ssrm.v42.replay.00029
30,2,orchard,True,True,True,True,True,True,True,True,ssrm.v42.world.orchard,ssrm.v42.replay.00030
31,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00031
32,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00032
33,2,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00033
34,2,archive,True,True,True,True,True,True,True,True,ssrm.v42.world.archive,ssrm.v42.replay.00034
35,2,signal,True,True,True,True,True,True,True,True,ssrm.v42.world.signal,ssrm.v42.replay.00035
36,3,repair_ring,True,True,True,True,True,True,True,True,ssrm.v42.world.repair_ring,ssrm.v42.replay.00036
37,3,riverbend,True,True,True,True,True,True,True,True,ssrm.v42.world.riverbend,ssrm.v42.replay.00037
38,3,roofward,True,True,True,True,True,True,True,True,ssrm.v42.world.roofward,ssrm.v42.replay.00038
