tick_id,day,settlement_id,room_id,sound_cue,sound_intensity,smell_cue,smell_intensity,temperature_c,wetness_level,light_level,vibration_hz,flower_phase,field_bound_to_room,bounded_sensory_rate,visible_field_marker
0,1,signal,signal perch,rope creak,0.62,hot glass,0.3,10.98,0.25,0.72,9.18,0.4,True,True,True
1,1,orchard,seed lane,roof drip,0.44,dry twine,0.4,13.76,0.26,0.54,5.71,0.106944,True,True,True
2,1,repair_ring,bell alcove,cool fan,0.61,stone chalk,0.5,17.24,0.24,0.66,10.105,0.313889,True,True,True
3,1,riverbend,kit alcove,cedar knock,0.71,warm oil,0.3,12.82,0.28,0.72,7.935,0.420833,True,True,True
4,1,roofward,glass stair,sun glass hum,0.41,polished brass,0.4,18.2,0.29,0.54,8.285,0.127778,True,True,True
5,1,archive,ink niche,stone echo,0.58,cold dust,0.5,15.88,0.22,0.66,6.52,0.334722,True,True,True
6,1,signal,arrival court,static crickets,0.4,salt wind,0.35,8.66,0.65,0.48,9.21,0.041667,True,True,True
7,1,orchard,mud row,cart creak,0.57,apple soil,0.45,14.94,0.66,0.6,5.815,0.248611,True,True,True
8,1,repair_ring,cool corner,bell hum,0.62,clean cloth,0.3,18.42,0.28,0.72,10.045,0.455556,True,True,True
9,1,riverbend,arrival court,river slap,0.37,mud thread,0.35,9.78,0.26,0.48,7.965,0.0625,True,True,True
10,1,roofward,warm lane,hinge ticks,0.54,thyme paper,0.45,18.66,0.28,0.6,8.225,0.269444,True,True,True
11,1,archive,memory desk,page flutter,0.71,wax seal,0.3,16.34,0.26,0.72,6.46,0.476389,True,True,True
12,1,signal,mast base,rope creak,0.41,hot glass,0.4,9.12,0.27,0.54,9.15,0.183333,True,True,True
13,1,orchard,market plank,seed rattle,0.58,mud reed,0.5,15.4,0.25,0.66,5.755,0.390278,True,True,True
14,1,repair_ring,arrival court,cool fan,0.4,stone chalk,0.35,15.38,0.26,0.48,10.075,0.097222,True,True,True
15,1,riverbend,plank hall,cedar knock,0.5,warm oil,0.4,10.96,0.25,0.54,7.905,0.204167,True,True,True
16,1,roofward,ledger loft,paper hush,0.55,warm dust,0.5,19.84,0.23,0.66,8.33,0.411111,True,True,True
17,1,archive,arrival court,stone echo,0.37,cold dust,0.35,14.02,0.66,0.48,6.49,0.118056,True,True,True
18,2,orchard,seed lane,seed rattle,0.47,apple soil,0.45,13.68,0.28,0.6,5.8,0.225,True,True,True
19,2,repair_ring,bell alcove,wire snap,0.64,clean cloth,0.3,17.16,0.26,0.72,10.03,0.431944,True,True,True
20,2,riverbend,kit alcove,river slap,0.62,wet cedar,0.35,12.74,0.25,0.42,7.86,0.538889,True,True,True
21,2,roofward,glass stair,paper hush,0.44,thyme paper,0.45,18.12,0.26,0.6,8.21,0.245833,True,True,True
