metric,value
source_v41_continuity,1.0
first_person_sensory_packet_binding,1.0
room_local_sound_smell_temperature_fields,1.0
sensory_frequency_flower_binding,1.0
agent_owned_tool_claim_visibility,1.0
agent_owned_tool_claim_respect,0.925
consent_aware_dialogue_hook_binding,1.0
refusal_dialogue_respected,1.0
task_queue_consequence_visibility,1.0
avatar_interaction_changes_queue,1.0
sensory_memory_relationship_restore,1.0
save_restore_first_person_visibility,1.0
browser_v42_surface,1.0
private_workspace_boundary_preserved,1.0
first_person_not_global_god_view,1.0
consequence_not_overdriven,0.842
browser_world_v42_surface,1.0
weakest_channel_name,consequence_not_overdriven
mean_first_person_sensory_channel_score,0.986294
weakest_channel_score,0.842
browser_world_v42_first_person_sensory_readiness,0.943006
session_day_count,144.0
sensory_packet_count,2592.0
room_sensory_field_count,2592.0
tool_claim_count,1440.0
tool_claim_respected_count,1332.0
dialogue_hook_count,1620.0
refusal_dialogue_count,324.0
refusal_dialogue_respected_count,324.0
task_queue_consequence_count,2592.0
queue_changed_count,2592.0
bounded_consequence_count,2592.0
sensory_memory_count,1728.0
sensory_memory_restore_count,1704.0
save_restore_count,337.0
browser_tick_count,2592.0
html_button_count,54.0
html_localstorage_handler_count,8.0
