tick_id,day,settlement_id,resident_id,prior_wound,repair_action,relationship_before,relationship_after,object_returned,apology_visible,space_given,repair_partial_not_magic,recovery_path_visible
5,1,signal,Milo,none,drop_object,0.582,0.594,True,False,False,True,True
7,1,repair_ring,Juno,none,wait_respectfully,0.586,0.596,False,False,True,True,True
8,1,riverbend,Lio,none,drop_object,0.642,0.654,True,False,False,True,True
10,1,archive,Toma,none,wait_respectfully,0.586,0.596,False,False,True,True,True
22,2,signal,Milo,none,drop_object,0.602,0.614,True,False,False,True,True
24,2,repair_ring,Juno,none,wait_respectfully,0.602,0.612,False,False,True,True,True
25,2,riverbend,Lio,none,drop_object,0.662,0.674,True,False,False,True,True
27,2,archive,Toma,none,wait_respectfully,0.602,0.612,False,False,True,True,True
35,2,orchard,Mara,none,drop_object,0.604,0.616,True,False,False,True,True
41,3,repair_ring,Juno,none,wait_respectfully,0.627,0.637,False,False,True,True,True
44,3,archive,Toma,none,wait_respectfully,0.63,0.64,False,False,True,True,True
52,3,orchard,Mara,none,drop_object,0.637,0.649,True,False,False,True,True
58,4,repair_ring,Juno,none,wait_respectfully,0.661,0.671,False,False,True,True,True
61,4,archive,Toma,none,wait_respectfully,0.657,0.667,False,False,True,True,True
69,4,orchard,Mara,none,drop_object,0.662,0.674,True,False,False,True,True
75,5,repair_ring,Juno,none,wait_respectfully,0.701,0.711,False,False,True,True,True
78,5,archive,Toma,none,wait_respectfully,0.684,0.694,False,False,True,True,True
89,5,roofward,Fay,none,drop_object,0.705,0.717,True,False,False,True,True
92,6,repair_ring,Juno,none,wait_respectfully,0.736,0.746,False,False,True,True,True
95,6,archive,Toma,none,wait_respectfully,0.712,0.722,False,False,True,True,True
106,6,roofward,Fay,none,drop_object,0.738,0.75,True,False,False,True,True
109,7,repair_ring,Juno,none,wait_respectfully,0.776,0.786,False,False,True,True,True
112,7,archive,Toma,none,wait_respectfully,0.746,0.756,False,False,True,True,True
123,7,roofward,Fay,none,drop_object,0.763,0.775,True,False,False,True,True
125,7,signal,Milo,none,wait_respectfully,0.724,0.734,False,False,True,True,True
126,8,repair_ring,Juno,none,wait_respectfully,0.81,0.82,False,False,True,True,True
129,8,archive,Toma,none,wait_respectfully,0.786,0.796,False,False,True,True,True
142,8,signal,Milo,none,wait_respectfully,0.765,0.775,False,False,True,True,True
146,9,archive,Toma,none,wait_respectfully,0.821,0.831,False,False,True,True,True
159,9,signal,Milo,none,wait_respectfully,0.803,0.813,False,False,True,True,True
163,10,archive,Toma,none,wait_respectfully,0.861,0.871,False,False,True,True,True
176,10,signal,Milo,none,wait_respectfully,0.844,0.854,False,False,True,True,True
179,10,riverbend,Lio,none,wait_respectfully,0.845,0.855,False,False,True,True,True
180,11,archive,Toma,none,wait_respectfully,0.895,0.905,False,False,True,True,True
193,11,signal,Milo,none,wait_respectfully,0.882,0.892,False,False,True,True,True
196,11,riverbend,Lio,none,wait_respectfully,0.886,0.896,False,False,True,True,True
210,12,signal,Milo,none,wait_respectfully,0.923,0.933,False,False,True,True,True
213,12,riverbend,Lio,none,wait_respectfully,0.924,0.934,False,False,True,True,True
227,13,signal,Milo,none,wait_respectfully,0.947,0.957,False,False,True,True,True
230,13,riverbend,Lio,none,wait_respectfully,0.965,0.975,False,False,True,True,True
244,14,signal,Milo,none,wait_respectfully,0.974,0.98,False,False,True,True,True
247,14,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
261,15,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
264,15,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
278,16,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
281,16,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
295,17,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
298,17,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
312,18,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
315,18,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
329,19,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
332,19,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
346,20,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
349,20,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
359,20,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
363,21,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
366,21,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
376,21,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
380,22,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
383,22,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
393,22,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
397,23,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
400,23,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
410,23,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
413,23,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
414,24,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
417,24,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
427,24,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
430,24,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
434,25,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
444,25,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
447,25,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
451,26,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
461,26,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
464,26,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
468,27,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
478,27,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
481,27,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
495,28,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
498,28,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
512,29,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
515,29,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
529,30,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
532,30,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
546,31,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
549,31,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
563,32,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
566,32,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
580,33,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
583,33,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
593,33,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
597,34,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
600,34,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
610,34,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
614,35,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
617,35,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
627,35,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
631,36,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
634,36,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
644,36,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
647,36,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
648,37,orchard,Mara,none,wait_respectfully,0.98,0.98,False,False,True,True,True
651,37,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
661,37,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
664,37,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
668,38,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
678,38,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
681,38,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
685,39,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
695,39,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
698,39,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
702,40,roofward,Fay,none,wait_respectfully,0.98,0.98,False,False,True,True,True
712,40,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
715,40,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
729,41,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
732,41,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
746,42,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
749,42,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
763,43,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
766,43,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
780,44,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
783,44,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
797,45,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
800,45,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
814,46,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
817,46,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
831,47,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
834,47,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
848,48,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
851,48,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
865,49,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
868,49,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
881,49,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
882,50,repair_ring,Juno,none,wait_respectfully,0.98,0.98,False,False,True,True,True
885,50,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
898,50,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
902,51,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
915,51,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
919,52,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
932,52,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
935,52,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
936,53,archive,Toma,none,wait_respectfully,0.98,0.98,False,False,True,True,True
949,53,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
952,53,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
966,54,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
969,54,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
983,55,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
986,55,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1000,56,signal,Milo,none,wait_respectfully,0.98,0.98,False,False,True,True,True
1003,56,riverbend,Lio,none,wait_respectfully,0.98,0.98,False,False,True,True,True
