tick_id,day,settlement_id,resident_id,object_id,mistake_label,repair_action,trust_before,trust_after,repair_need_before,repair_need_after,object_returned,apology_visible,space_given,repair_partial_not_magic,recovery_path_visible
0,1,riverbend,Ari,ridge lantern,minor boundary strain,offer_help,0.661,0.667,0.042,0.0312,False,False,False,True,True
9,1,signal,Milo,signal lens,minor boundary strain,return_object,0.672,0.684,0.06,0.0384,True,False,False,True,True
10,1,orchard,Mara,apple wrap,minor boundary strain,wait_respectfully,0.685,0.694,0.042,0.0258,False,False,True,True,True
12,1,riverbend,Ari,ridge lantern,minor boundary strain,return_object,0.667,0.679,0.0312,0.0096,True,False,False,True,True
13,1,roofward,Sera,brass hinge,minor boundary strain,wait_respectfully,0.685,0.694,0.042,0.0258,False,False,True,True,True
26,2,signal,Kesh,signal lens,minor boundary strain,return_object,0.672,0.684,0.06,0.0384,True,False,False,True,True
27,2,orchard,Ivo,apple wrap,minor boundary strain,wait_respectfully,0.667,0.676,0.042,0.0258,False,False,True,True,True
29,2,riverbend,Cee,ridge lantern,minor boundary strain,return_object,0.654,0.666,0.06,0.0384,True,False,False,True,True
30,2,roofward,Fay,brass hinge,minor boundary strain,wait_respectfully,0.667,0.676,0.042,0.0258,False,False,True,True,True
43,3,signal,Ren,signal lens,minor boundary strain,return_object,0.66,0.672,0.06,0.0384,True,False,False,True,True
44,3,orchard,Pim,apple wrap,minor boundary strain,wait_respectfully,0.667,0.676,0.042,0.0258,False,False,True,True,True
46,3,riverbend,Lio,ridge lantern,minor boundary strain,return_object,0.666,0.678,0.06,0.0384,True,False,False,True,True
47,3,roofward,Orr,brass hinge,minor boundary strain,wait_respectfully,0.667,0.676,0.042,0.0258,False,False,True,True,True
60,4,signal,Milo,signal lens,minor boundary strain,return_object,0.69,0.702,0.0384,0.0168,True,False,False,True,True
61,4,orchard,Mara,apple wrap,minor boundary strain,wait_respectfully,0.707,0.716,0.0078,0.0,False,False,True,True,True
63,4,riverbend,Ari,ridge lantern,minor boundary strain,return_object,0.685,0.697,0.0096,0.0,True,False,False,True,True
64,4,roofward,Sera,brass hinge,minor boundary strain,wait_respectfully,0.707,0.716,0.0078,0.0,False,False,True,True,True
77,5,signal,Kesh,signal lens,minor boundary strain,return_object,0.69,0.702,0.0384,0.0168,True,False,False,True,True
78,5,orchard,Ivo,apple wrap,minor boundary strain,wait_respectfully,0.689,0.698,0.0078,0.0,False,False,True,True,True
80,5,riverbend,Cee,ridge lantern,minor boundary strain,return_object,0.672,0.684,0.0384,0.0168,True,False,False,True,True
81,5,roofward,Fay,brass hinge,minor boundary strain,wait_respectfully,0.689,0.698,0.0078,0.0,False,False,True,True,True
94,6,signal,Ren,signal lens,minor boundary strain,return_object,0.678,0.69,0.0384,0.0168,True,False,False,True,True
95,6,orchard,Pim,apple wrap,minor boundary strain,wait_respectfully,0.683,0.692,0.0078,0.0,False,False,True,True,True
97,6,riverbend,Lio,ridge lantern,minor boundary strain,return_object,0.684,0.696,0.0384,0.0168,True,False,False,True,True
