metric,value
source_v43_continuity,1.0
continuous_playable_scene_state,1.0
multi_resident_local_conversation,1.0
body_language_animation_timeline,1.0
inventory_ownership_ui_visibility,1.0
inventory_ownership_respect_or_repair,1.0
recoverable_trust_repair,1.0
save_restore_continuous_scene_integrity,1.0
browser_v44_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_scene_binding,1.0
trust_repair_not_overdriven,0.842
browser_world_v44_surface,1.0
weakest_channel_name,trust_repair_not_overdriven
mean_continuous_scene_channel_score,0.987846
weakest_channel_score,0.842
browser_world_v44_continuous_scene_readiness,0.944092
session_day_count,168.0
continuous_scene_state_count,3024.0
multi_resident_conversation_count,3024.0
body_language_animation_count,9072.0
inventory_ownership_ui_count,3024.0
inventory_respect_or_repair_count,3024.0
trust_repair_count,1097.0
trust_repair_visible_count,1097.0
save_restore_count,409.0
browser_tick_count,3024.0
html_button_count,78.0
html_localstorage_handler_count,6.0
