tick_id,day,settlement_id,resident_id,role_label,duty,room_id,object_id,role_badge_visible,duty_card_visible,role_affects_schedule,role_affects_loan_permission,private_workspace_sealed
0,1,roofward,Fay,lens keeper,clean lens,glass stair,sun lens,True,True,True,True,True
0,1,roofward,Sera,ledger steward,sort ledger,warm lane,herb ledger,True,True,True,True,True
0,1,roofward,Orr,hinge repairer,set hinge,ledger loft,brass hinge,True,True,True,True,True
0,1,roofward,Bex,shade watcher,shade stair,sun sill,shade cloth,True,True,True,True,True
1,1,archive,Nia,memory keeper,sort tags,spool room,signal spool,True,True,True,True,True
1,1,archive,Toma,ink maker,thread spool,ink niche,ink ribbon,True,True,True,True,True
1,1,archive,Vell,tag archivist,seal desk,memory desk,memory tag,True,True,True,True,True
1,1,archive,Rin,quiet watcher,quiet stacks,arrival court,clean cloth,True,True,True,True,True
2,1,signal,Milo,rope keeper,check rope,lens room,mast rope,True,True,True,True,True
2,1,signal,Ren,lantern steward,fill lantern,signal perch,oil lantern,True,True,True,True,True
2,1,signal,Kesh,lens crafter,watch lens,arrival court,signal lens,True,True,True,True,True
2,1,signal,Oda,wind watcher,read wind,mast base,wind wrap,True,True,True,True,True
3,1,orchard,Ivo,seed keeper,count seeds,satchel shed,seed satchel,True,True,True,True,True
3,1,orchard,Mara,trade steward,trade tokens,arrival court,market token,True,True,True,True,True
3,1,orchard,Pim,cord repairer,dry rows,seed lane,dry cord,True,True,True,True,True
3,1,orchard,Suf,row watcher,watch mud,mud row,apple wrap,True,True,True,True,True
4,1,repair_ring,Juno,tool keeper,cool bench,arrival court,insulated tongs,True,True,True,True,True
4,1,repair_ring,Pax,wire maker,clip wire,wire bench,copper wire,True,True,True,True,True
4,1,repair_ring,Vale,gauge reader,test bell,spark lane,bell gauge,True,True,True,True,True
4,1,repair_ring,Wren,cool watcher,watch sparks,bell alcove,cool cloth,True,True,True,True,True
5,1,riverbend,Ari,repair lead,repair crossing,plank hall,cedar plank,True,True,True,True,True
5,1,riverbend,Lio,signal keeper,trim lantern,wet crossing,ridge lantern,True,True,True,True,True
5,1,riverbend,Cee,cord steward,dry cords,dry ridge,binding cord,True,True,True,True,True
5,1,riverbend,Nox,water watcher,watch water,kit alcove,dry shawl,True,True,True,True,True
6,1,roofward,Fay,lens keeper,clean lens,warm lane,sun lens,True,True,True,True,True
6,1,roofward,Sera,ledger steward,sort ledger,ledger loft,herb ledger,True,True,True,True,True
6,1,roofward,Orr,hinge repairer,set hinge,sun sill,brass hinge,True,True,True,True,True
6,1,roofward,Bex,shade watcher,shade stair,arrival court,shade cloth,True,True,True,True,True
7,1,archive,Nia,memory keeper,sort tags,ink niche,signal spool,True,True,True,True,True
7,1,archive,Toma,ink maker,thread spool,memory desk,ink ribbon,True,True,True,True,True
7,1,archive,Vell,tag archivist,seal desk,arrival court,memory tag,True,True,True,True,True
7,1,archive,Rin,quiet watcher,quiet stacks,stone stacks,clean cloth,True,True,True,True,True
8,1,signal,Milo,rope keeper,check rope,signal perch,mast rope,True,True,True,True,True
