tick_id,day,settlement_id,object_id,object_use,owner_id,lender_id,borrower_id,witness_id,loan_start_day,due_day,consent_state,custody_before,custody_after,loan_status,debt_before,debt_after,multi_day_terms_visible,protocol_valid
0,1,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,1,3,refused,Sera,Sera,refused without transfer,0.08,0.08,True,True
1,1,archive,memory tag,archive,Vell,Vell,Vell,Rin,1,4,granted,Vell,Vell,loan active,0.08,0.098,True,True
2,1,signal,wind wrap,care,Oda,Oda,Oda,Milo,1,5,granted,Oda,Oda,loan active,0.08,0.098,True,True
4,1,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,1,3,granted,Pax,Pax,loan active,0.08,0.098,True,True
6,1,roofward,shade cloth,care,Bex,Bex,Bex,Fay,1,5,granted,Bex,Bex,loan active,0.08,0.098,True,True
8,1,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,1,3,granted,Ren,Ren,loan active,0.08,0.098,True,True
10,1,repair_ring,cool cloth,care,Wren,Wren,Wren,Juno,1,5,granted,Wren,Wren,loan active,0.08,0.098,True,True
11,1,riverbend,cedar plank,repair,Ari,Ari,Ari,Lio,1,6,granted,Ari,Ari,loan active,0.08,0.098,True,True
12,1,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,1,3,granted,Sera,Sera,loan active,0.08,0.098,True,True
14,1,signal,wind wrap,care,Oda,Oda,Oda,Milo,1,5,deferred,Oda,Oda,deferred with terms,0.098,0.098,True,True
15,1,orchard,seed satchel,resource,Ivo,Ivo,Ivo,Mara,1,6,granted,Ivo,Ivo,loan active,0.08,0.098,True,True
16,1,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,1,3,granted,Pax,Pax,loan active,0.098,0.116,True,True
18,2,archive,memory tag,archive,Vell,Vell,Toma,Vell,2,4,granted,Vell,Toma,loan active,0.08,0.098,True,True
20,2,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,2,6,granted,Ivo,Suf,loan active,0.08,0.098,True,True
22,2,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,2,4,granted,Cee,Lio,loan active,0.08,0.098,True,True
24,2,archive,signal spool,memory,Nia,Nia,Rin,Nia,2,6,granted,Nia,Rin,loan active,0.08,0.098,True,True
25,2,signal,oil lantern,signal,Ren,Ren,Milo,Ren,2,7,granted,Ren,Milo,loan active,0.08,0.098,True,True
26,2,orchard,dry cord,repair,Pim,Pim,Mara,Pim,2,4,granted,Pim,Mara,loan active,0.08,0.098,True,True
28,2,riverbend,cedar plank,repair,Ari,Ari,Nox,Ari,2,6,deferred,Ari,Ari,deferred with terms,0.08,0.08,True,True
30,2,archive,memory tag,archive,Vell,Vell,Toma,Vell,2,4,granted,Toma,Toma,loan active,0.098,0.116,True,True
32,2,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,2,6,granted,Suf,Suf,loan active,0.098,0.116,True,True
34,2,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,2,4,granted,Lio,Lio,loan active,0.098,0.116,True,True
35,2,roofward,shade cloth,care,Bex,Bex,Orr,Bex,2,5,deferred,Bex,Bex,deferred with terms,0.08,0.08,True,True
36,3,signal,wind wrap,care,Oda,Oda,Ren,Kesh,3,5,granted,Oda,Ren,loan active,0.098,0.116,True,True
38,3,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,3,7,granted,Pax,Wren,loan active,0.098,0.116,True,True
40,3,roofward,shade cloth,care,Bex,Bex,Sera,Orr,3,5,granted,Bex,Sera,loan active,0.098,0.116,True,True
42,3,signal,oil lantern,signal,Ren,Ren,Oda,Milo,3,7,deferred,Milo,Milo,deferred with terms,0.098,0.098,True,True
44,3,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,3,5,granted,Wren,Pax,loan active,0.116,0.134,True,True
45,3,riverbend,cedar plank,repair,Ari,Ari,Cee,Nox,3,6,granted,Ari,Cee,loan active,0.08,0.098,True,True
46,3,roofward,herb ledger,memory,Sera,Sera,Bex,Fay,3,7,granted,Sera,Bex,loan active,0.098,0.116,True,True
48,3,signal,wind wrap,care,Oda,Oda,Ren,Kesh,3,5,granted,Ren,Ren,loan active,0.116,0.134,True,True
49,3,orchard,seed satchel,resource,Ivo,Ivo,Pim,Suf,3,6,deferred,Suf,Suf,deferred with terms,0.08,0.08,True,True
50,3,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,3,7,granted,Wren,Wren,loan active,0.116,0.134,True,True
52,3,roofward,shade cloth,care,Bex,Bex,Sera,Orr,3,5,granted,Sera,Sera,loan active,0.116,0.134,True,True
54,4,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,4,6,granted,Suf,Mara,loan active,0.098,0.116,True,True
56,4,riverbend,binding cord,repair,Cee,Cee,Nox,Ari,4,8,deferred,Lio,Lio,deferred with terms,0.08,0.08,True,True
58,4,archive,signal spool,memory,Nia,Nia,Toma,Vell,4,6,granted,Rin,Toma,loan active,0.116,0.134,True,True
59,4,signal,oil lantern,signal,Ren,Ren,Kesh,Oda,4,7,granted,Milo,Kesh,loan active,0.08,0.098,True,True
60,4,orchard,dry cord,repair,Pim,Pim,Suf,Ivo,4,8,granted,Mara,Suf,loan active,0.116,0.134,True,True
62,4,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,4,6,granted,Cee,Lio,loan active,0.116,0.134,True,True
64,4,archive,memory tag,archive,Vell,Vell,Rin,Nia,4,8,granted,Toma,Rin,loan active,0.098,0.116,True,True
66,4,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,4,6,granted,Mara,Mara,loan active,0.116,0.134,True,True
68,4,riverbend,binding cord,repair,Cee,Cee,Nox,Ari,4,8,granted,Lio,Nox,loan active,0.08,0.098,True,True
69,4,roofward,shade cloth,care,Bex,Bex,Fay,Sera,4,9,granted,Sera,Fay,loan active,0.08,0.098,True,True
70,4,archive,signal spool,memory,Nia,Nia,Toma,Vell,4,6,deferred,Toma,Toma,deferred with terms,0.134,0.134,True,True
72,5,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,5,7,granted,Wren,Pax,loan active,0.134,0.152,True,True
74,5,roofward,shade cloth,care,Bex,Bex,Bex,Fay,5,9,granted,Fay,Bex,loan active,0.116,0.134,True,True
76,5,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,5,7,granted,Kesh,Ren,loan active,0.134,0.152,True,True
78,5,repair_ring,cool cloth,care,Wren,Wren,Wren,Juno,5,9,granted,Pax,Wren,loan active,0.134,0.152,True,True
79,5,riverbend,cedar plank,repair,Ari,Ari,Ari,Lio,5,10,granted,Lio,Ari,loan active,0.098,0.116,True,True
80,5,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,5,7,granted,Bex,Sera,loan active,0.134,0.152,True,True
82,5,signal,wind wrap,care,Oda,Oda,Oda,Milo,5,9,granted,Ren,Oda,loan active,0.098,0.116,True,True
83,5,orchard,seed satchel,resource,Ivo,Ivo,Ivo,Mara,5,10,granted,Mara,Ivo,loan active,0.098,0.116,True,True
84,5,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,5,7,deferred,Pax,Pax,deferred with terms,0.152,0.152,True,True
86,5,roofward,shade cloth,care,Bex,Bex,Bex,Fay,5,9,granted,Bex,Bex,loan active,0.134,0.152,True,True
88,5,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,5,7,granted,Ren,Ren,loan active,0.152,0.17,True,True
90,6,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,6,8,granted,Nox,Lio,loan active,0.134,0.152,True,True
92,6,archive,signal spool,memory,Nia,Nia,Rin,Nia,6,10,granted,Toma,Rin,loan active,0.116,0.134,True,True
93,6,signal,oil lantern,signal,Ren,Ren,Milo,Ren,6,11,granted,Ren,Milo,loan active,0.098,0.116,True,True
94,6,orchard,dry cord,repair,Pim,Pim,Mara,Pim,6,8,granted,Suf,Mara,loan active,0.134,0.152,True,True
96,6,riverbend,cedar plank,repair,Ari,Ari,Nox,Ari,6,10,granted,Ari,Nox,loan active,0.098,0.116,True,True
98,6,archive,memory tag,archive,Vell,Vell,Toma,Vell,6,8,deferred,Rin,Rin,deferred with terms,0.134,0.134,True,True
100,6,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,6,10,granted,Ivo,Suf,loan active,0.134,0.152,True,True
102,6,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,6,8,granted,Lio,Lio,loan active,0.152,0.17,True,True
103,6,roofward,shade cloth,care,Bex,Bex,Orr,Bex,6,9,granted,Bex,Orr,loan active,0.08,0.098,True,True
104,6,archive,signal spool,memory,Nia,Nia,Rin,Nia,6,10,granted,Rin,Rin,loan active,0.134,0.152,True,True
106,6,orchard,dry cord,repair,Pim,Pim,Mara,Pim,6,8,granted,Mara,Mara,loan active,0.152,0.17,True,True
107,6,repair_ring,cool cloth,care,Wren,Wren,Vale,Wren,6,9,granted,Wren,Vale,loan active,0.08,0.098,True,True
108,7,roofward,shade cloth,care,Bex,Bex,Sera,Orr,7,9,granted,Orr,Sera,loan active,0.152,0.17,True,True
110,7,signal,oil lantern,signal,Ren,Ren,Oda,Milo,7,11,granted,Milo,Oda,loan active,0.116,0.134,True,True
112,7,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,7,9,deferred,Vale,Vale,deferred with terms,0.152,0.152,True,True
113,7,riverbend,cedar plank,repair,Ari,Ari,Cee,Nox,7,10,granted,Nox,Cee,loan active,0.098,0.116,True,True
114,7,roofward,herb ledger,memory,Sera,Sera,Bex,Fay,7,11,granted,Sera,Bex,loan active,0.152,0.17,True,True
116,7,signal,wind wrap,care,Oda,Oda,Ren,Kesh,7,9,granted,Oda,Ren,loan active,0.17,0.188,True,True
117,7,orchard,seed satchel,resource,Ivo,Ivo,Pim,Suf,7,10,granted,Suf,Pim,loan active,0.08,0.098,True,True
118,7,repair_ring,copper wire,craft,Pax,Pax,Wren,Juno,7,11,granted,Pax,Wren,loan active,0.152,0.17,True,True
120,7,roofward,shade cloth,care,Bex,Bex,Sera,Orr,7,9,granted,Sera,Sera,loan active,0.17,0.188,True,True
122,7,signal,oil lantern,signal,Ren,Ren,Oda,Milo,7,11,granted,Oda,Oda,loan active,0.134,0.152,True,True
124,7,repair_ring,cool cloth,care,Wren,Wren,Pax,Vale,7,9,granted,Vale,Pax,loan active,0.152,0.17,True,True
126,8,archive,signal spool,memory,Nia,Nia,Toma,Vell,8,10,deferred,Rin,Rin,deferred with terms,0.134,0.134,True,True
127,8,signal,oil lantern,signal,Ren,Ren,Kesh,Oda,8,11,granted,Oda,Kesh,loan active,0.098,0.116,True,True
128,8,orchard,dry cord,repair,Pim,Pim,Suf,Ivo,8,12,granted,Mara,Suf,loan active,0.152,0.17,True,True
130,8,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,8,10,granted,Cee,Lio,loan active,0.17,0.188,True,True
132,8,archive,memory tag,archive,Vell,Vell,Rin,Nia,8,12,granted,Rin,Rin,loan active,0.152,0.17,True,True
134,8,orchard,seed satchel,resource,Ivo,Ivo,Mara,Pim,8,10,granted,Pim,Mara,loan active,0.17,0.188,True,True
136,8,riverbend,binding cord,repair,Cee,Cee,Nox,Ari,8,12,granted,Lio,Nox,loan active,0.116,0.134,True,True
137,8,roofward,shade cloth,care,Bex,Bex,Fay,Sera,8,13,granted,Sera,Fay,loan active,0.098,0.116,True,True
138,8,archive,signal spool,memory,Nia,Nia,Toma,Vell,8,10,granted,Rin,Toma,loan active,0.134,0.152,True,True
140,8,orchard,dry cord,repair,Pim,Pim,Suf,Ivo,8,12,deferred,Suf,Suf,deferred with terms,0.17,0.17,True,True
141,8,repair_ring,cool cloth,care,Wren,Wren,Juno,Pax,8,13,granted,Pax,Juno,loan active,0.08,0.098,True,True
142,8,riverbend,cedar plank,repair,Ari,Ari,Lio,Cee,8,10,granted,Lio,Lio,loan active,0.188,0.206,True,True
144,9,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,9,11,granted,Kesh,Ren,loan active,0.188,0.206,True,True
146,9,repair_ring,cool cloth,care,Wren,Wren,Wren,Juno,9,13,granted,Juno,Wren,loan active,0.17,0.188,True,True
147,9,riverbend,cedar plank,repair,Ari,Ari,Ari,Lio,9,14,deferred,Lio,Lio,deferred with terms,0.116,0.116,True,True
148,9,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,9,11,granted,Bex,Sera,loan active,0.188,0.206,True,True
150,9,signal,wind wrap,care,Oda,Oda,Oda,Milo,9,13,granted,Ren,Oda,loan active,0.152,0.17,True,True
151,9,orchard,seed satchel,resource,Ivo,Ivo,Ivo,Mara,9,14,granted,Mara,Ivo,loan active,0.116,0.134,True,True
152,9,repair_ring,copper wire,craft,Pax,Pax,Pax,Vale,9,11,granted,Wren,Pax,loan active,0.17,0.188,True,True
154,9,roofward,shade cloth,care,Bex,Bex,Bex,Fay,9,13,refused,Fay,Fay,refused without transfer,0.17,0.17,True,True
156,9,signal,oil lantern,signal,Ren,Ren,Ren,Kesh,9,11,granted,Ren,Ren,loan active,0.206,0.224,True,True
158,9,repair_ring,cool cloth,care,Wren,Wren,Wren,Juno,9,13,granted,Wren,Wren,loan active,0.188,0.206,True,True
160,9,roofward,herb ledger,memory,Sera,Sera,Sera,Orr,9,11,granted,Sera,Sera,loan active,0.206,0.224,True,True
161,9,archive,memory tag,archive,Vell,Vell,Vell,Rin,9,12,deferred,Rin,Rin,deferred with terms,0.098,0.098,True,True
162,10,orchard,dry cord,repair,Pim,Pim,Mara,Pim,10,12,granted,Suf,Mara,loan active,0.188,0.206,True,True
164,10,riverbend,cedar plank,repair,Ari,Ari,Nox,Ari,10,14,granted,Lio,Nox,loan active,0.134,0.152,True,True
166,10,archive,memory tag,archive,Vell,Vell,Toma,Vell,10,12,granted,Rin,Toma,loan active,0.152,0.17,True,True
168,10,orchard,seed satchel,resource,Ivo,Ivo,Suf,Ivo,10,14,deferred,Ivo,Ivo,deferred with terms,0.17,0.17,True,True
170,10,riverbend,binding cord,repair,Cee,Cee,Lio,Cee,10,12,granted,Nox,Lio,loan active,0.206,0.224,True,True
171,10,roofward,shade cloth,care,Bex,Bex,Orr,Bex,10,13,granted,Fay,Orr,loan active,0.098,0.116,True,True
172,10,archive,signal spool,memory,Nia,Nia,Rin,Nia,10,14,granted,Toma,Rin,loan active,0.17,0.188,True,True
174,10,orchard,dry cord,repair,Pim,Pim,Mara,Pim,10,12,granted,Mara,Mara,loan active,0.206,0.224,True,True
175,10,repair_ring,cool cloth,care,Wren,Wren,Vale,Wren,10,13,deferred,Wren,Wren,deferred with terms,0.098,0.098,True,True
