tick_id,day,settlement_id,snapshot_key,reload_index,absence_negotiation_count,mediation_count,default_count,forgiveness_count,avatar_choice_count,checksum,restored_negotiations_visible,restored_mediation_visible,restored_defaults_visible,restored_forgiveness_visible,restored_choices_visible,replay_exportable
0,1,roofward,ssrm.v47.snapshot.roofward.1.0,1,1,1,0,1,1,v47-957939,True,True,True,True,True,True
17,1,riverbend,ssrm.v47.snapshot.riverbend.1.17,1,3,0,0,1,2,v47-037317,True,True,True,True,True,True
18,2,archive,ssrm.v47.snapshot.archive.2.0,1,4,1,0,0,3,v47-893280,True,True,True,True,True,True
35,2,roofward,ssrm.v47.snapshot.roofward.2.17,2,6,3,0,2,4,v47-994407,True,True,True,True,True,True
36,3,signal,ssrm.v47.snapshot.signal.3.0,1,7,4,0,3,5,v47-847497,True,True,False,True,True,True
37,3,orchard,ssrm.v47.snapshot.orchard.3.1,1,7,3,0,2,4,v47-898941,True,True,False,True,True,True
53,3,archive,ssrm.v47.snapshot.archive.3.17,2,9,3,0,2,7,v47-930739,True,True,False,True,True,True
54,4,orchard,ssrm.v47.snapshot.orchard.4.0,2,10,4,0,2,6,v47-923396,True,True,False,True,True,True
71,4,signal,ssrm.v47.snapshot.signal.4.17,2,12,6,0,6,9,v47-906234,True,True,False,True,True,True
72,5,repair_ring,ssrm.v47.snapshot.repair_ring.5.0,1,13,7,0,7,10,v47-177287,True,True,False,True,True,True
74,5,roofward,ssrm.v47.snapshot.roofward.5.2,3,13,7,1,4,8,v47-998121,True,True,True,True,True,True
89,5,orchard,ssrm.v47.snapshot.orchard.5.17,3,15,6,3,3,10,v47-982783,True,True,True,True,True,True
90,6,riverbend,ssrm.v47.snapshot.riverbend.6.0,2,16,7,5,7,12,v47-074010,True,True,True,True,True,True
107,6,repair_ring,ssrm.v47.snapshot.repair_ring.6.17,2,18,9,3,9,14,v47-216744,True,True,True,True,True,True
108,7,roofward,ssrm.v47.snapshot.roofward.7.0,4,19,10,5,6,11,v47-049813,True,True,True,True,True,True
111,7,orchard,ssrm.v47.snapshot.orchard.7.3,4,19,9,7,4,13,v47-964033,True,True,True,True,True,True
125,7,riverbend,ssrm.v47.snapshot.riverbend.7.17,3,21,9,10,9,16,v47-130650,True,True,True,True,True,True
126,8,archive,ssrm.v47.snapshot.archive.8.0,3,22,10,9,8,17,v47-985595,True,True,True,True,True,True
143,8,roofward,ssrm.v47.snapshot.roofward.8.17,5,24,12,9,7,15,v47-084405,True,True,True,True,True,True
144,9,signal,ssrm.v47.snapshot.signal.9.0,3,25,13,8,13,19,v47-961035,True,True,True,True,True,True
148,9,roofward,ssrm.v47.snapshot.roofward.9.4,6,25,13,9,8,16,v47-059783,True,True,True,True,True,True
161,9,archive,ssrm.v47.snapshot.archive.9.17,4,27,12,13,11,21,v47-062990,True,True,True,True,True,True
162,10,orchard,ssrm.v47.snapshot.orchard.10.0,5,28,13,16,6,20,v47-034198,True,True,True,True,True,True
179,10,signal,ssrm.v47.snapshot.signal.10.17,4,30,15,13,14,22,v47-032821,True,True,True,True,True,True
180,11,repair_ring,ssrm.v47.snapshot.repair_ring.11.0,3,31,16,16,16,24,v47-286567,True,True,True,True,True,True
185,11,orchard,ssrm.v47.snapshot.orchard.11.5,6,31,15,19,7,22,v47-038914,True,True,True,True,True,True
197,11,orchard,ssrm.v47.snapshot.orchard.11.17,7,33,15,21,8,24,v47-065671,True,True,True,True,True,True
198,12,riverbend,ssrm.v47.snapshot.riverbend.12.0,4,34,16,18,16,26,v47-181322,True,True,True,True,True,True
215,12,repair_ring,ssrm.v47.snapshot.repair_ring.12.17,4,36,18,20,19,28,v47-322553,True,True,True,True,True,True
216,13,roofward,ssrm.v47.snapshot.roofward.13.0,7,37,19,16,11,25,v47-133349,True,True,True,True,True,True
222,13,roofward,ssrm.v47.snapshot.roofward.13.6,8,38,20,17,11,26,v47-134355,True,True,True,True,True,True
233,13,riverbend,ssrm.v47.snapshot.riverbend.13.17,5,39,18,21,17,29,v47-215046,True,True,True,True,True,True
234,14,archive,ssrm.v47.snapshot.archive.14.0,5,40,19,26,17,31,v47-064211,True,True,True,True,True,True
