metric,value
source_v46_continuity,1.0
resident_negotiation_during_avatar_absence,0.8003812636165577
role_conflict_mediation_trace,1.0
multi_day_loan_default_trace,1.0
loan_default_problem_presence,1.0
animated_forgiveness_limits,0.9829467939972715
debt_aware_avatar_dialogue_choices,1.0
debt_choice_consequence,0.9067261241174285
multi_reload_absence_memory_integrity,0.9818913480885312
browser_v47_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_absence_social_binding,1.0
forgiveness_limit_not_overdriven,0.842
browser_world_v47_surface,1.0
weakest_channel_name,resident_negotiation_during_avatar_absence
mean_absence_negotiation_channel_score,0.965282
weakest_channel_score,0.800381
browser_world_v47_absence_negotiation_readiness,0.915812
session_day_count,204.0
absence_negotiation_count,3672.0
absence_negotiation_continued_count,2939.0
role_conflict_mediation_count,1836.0
loan_default_count,2970.0
loan_default_problem_count,2970.0
animated_forgiveness_limit_count,1466.0
debt_aware_avatar_choice_count,2691.0
debt_choice_effect_count,2440.0
absence_reload_count,497.0
browser_tick_count,3672.0
html_button_count,72.0
html_localstorage_handler_count,7.0
