tick_id,day,settlement_id,resident_id,partner_id,planned_social_task,dominant_need,need_interference,schedule_adjustment,trust_delta,completion_state,need_visible_to_resident,avatar_not_required,private_workspace_sealed
0,1,cinder_garden,Juno,Pax,ember tender with Pax at seed shelf,safety,0.142772,completed at normal pace,0.003,complete,True,True,True
1,1,lichen_bridge,Luma,Rin,rope weaver with Rin at meal room,safety,0.168742,completed at normal pace,0.003,complete,True,True,True
2,1,orchid_engine,Dax,Eli,orchid keeper with Eli at meal shelf,safety,0.168575,completed at normal pace,0.003,complete,True,True,True
3,1,moss_ward,Tala,Ari,water carrier with Ari at tool nook,safety,0.165813,completed at normal pace,0.003,complete,True,True,True
4,1,glass_harbor,Nia,Oren,net mender with Oren at lamp pier,safety,0.178904,completed at normal pace,0.003,complete,True,True,True
5,1,cinder_garden,Pax,Vale,seed sorter with Vale at seed shelf,safety,0.144702,completed at normal pace,0.003,complete,True,True,True
6,1,lichen_bridge,Rin,Sol,signal keeper with Sol at meal room,safety,0.176051,completed at normal pace,0.003,complete,True,True,True
7,1,orchid_engine,Eli,Bea,meal runner with Bea at meal shelf,safety,0.175266,completed at normal pace,0.003,complete,True,True,True
8,1,moss_ward,Ari,Fay,cook with Fay at tool nook,safety,0.167584,completed at normal pace,0.003,complete,True,True,True
9,1,glass_harbor,Oren,Puck,salt washer with Puck at lamp pier,safety,0.190303,completed at normal pace,0.003,complete,True,True,True
10,1,cinder_garden,Vale,Wren,ash sweeper with Wren at seed shelf,safety,0.145563,completed at normal pace,0.003,complete,True,True,True
11,1,lichen_bridge,Sol,Kio,meal marker with Kio at meal room,safety,0.17798,completed at normal pace,0.003,complete,True,True,True
12,1,orchid_engine,Bea,Cai,valve listener with Cai at meal shelf,safety,0.16546,completed at normal pace,0.003,complete,True,True,True
13,1,moss_ward,Fay,Milo,path watcher with Milo at tool nook,safety,0.168426,completed at normal pace,0.003,complete,True,True,True
14,1,glass_harbor,Puck,Sera,lamp guard with Sera at lamp pier,safety,0.192233,completed at normal pace,0.003,complete,True,True,True
15,1,cinder_garden,Wren,Juno,shade caller with Juno at seed shelf,safety,0.146401,completed at normal pace,0.003,complete,True,True,True
16,1,lichen_bridge,Kio,Luma,bridge caller with Luma at meal room,safety,0.174019,completed at normal pace,0.003,complete,True,True,True
17,1,orchid_engine,Cai,Dax,gear washer with Dax at meal shelf,safety,0.173207,completed at normal pace,0.003,complete,True,True,True
18,2,glass_harbor,Nia,Oren,net mender with Oren at net room,safety,0.19224,completed at normal pace,0.003,complete,True,True,True
19,2,cinder_garden,Pax,Vale,seed sorter with Vale at shade tent,safety,0.149489,completed at normal pace,0.003,complete,True,True,True
20,2,lichen_bridge,Rin,Sol,signal keeper with Sol at rest alcove,safety,0.174227,completed at normal pace,0.003,complete,True,True,True
21,2,orchid_engine,Eli,Bea,meal runner with Bea at engine ring,safety,0.212449,completed at normal pace,0.003,complete,True,True,True
22,2,moss_ward,Ari,Fay,cook with Fay at rain gate,safety,0.199029,completed at normal pace,0.003,complete,True,True,True
23,2,glass_harbor,Oren,Puck,salt washer with Puck at net room,safety,0.196978,completed at normal pace,0.003,complete,True,True,True
24,2,cinder_garden,Vale,Wren,ash sweeper with Wren at shade tent,safety,0.143108,completed at normal pace,0.003,complete,True,True,True
25,2,lichen_bridge,Sol,Kio,meal marker with Kio at rest alcove,safety,0.188388,completed at normal pace,0.003,complete,True,True,True
26,2,orchid_engine,Bea,Cai,valve listener with Cai at engine ring,safety,0.170038,completed at normal pace,0.003,complete,True,True,True
27,2,moss_ward,Fay,Milo,path watcher with Milo at rain gate,wetness,0.223725,completed at normal pace,0.003,complete,True,True,True
28,2,glass_harbor,Puck,Sera,lamp guard with Sera at net room,safety,0.20098,completed at normal pace,0.003,complete,True,True,True
29,2,cinder_garden,Wren,Juno,shade caller with Juno at shade tent,safety,0.1439,completed at normal pace,0.003,complete,True,True,True
30,2,lichen_bridge,Kio,Luma,bridge caller with Luma at rest alcove,safety,0.171819,completed at normal pace,0.003,complete,True,True,True
31,2,orchid_engine,Cai,Dax,gear washer with Dax at engine ring,wetness,0.216517,completed at normal pace,0.003,complete,True,True,True
32,2,moss_ward,Milo,Tala,blanket keeper with Tala at rain gate,wetness,0.201248,completed at normal pace,0.003,complete,True,True,True
33,2,glass_harbor,Sera,Nia,tea maker with Nia at net room,safety,0.166758,completed at normal pace,0.003,complete,True,True,True
34,2,cinder_garden,Juno,Pax,ember tender with Pax at shade tent,safety,0.137974,completed at normal pace,0.003,complete,True,True,True
35,2,lichen_bridge,Luma,Rin,rope weaver with Rin at rest alcove,safety,0.183426,completed at normal pace,0.003,complete,True,True,True
36,3,moss_ward,Ari,Fay,cook with Fay at dry loft,safety,0.184875,completed at normal pace,0.003,complete,True,True,True
37,3,glass_harbor,Oren,Puck,salt washer with Puck at quiet bunk,wetness,0.220413,completed at normal pace,0.003,complete,True,True,True
38,3,cinder_garden,Vale,Wren,ash sweeper with Wren at ember bed,safety,0.1475,completed at normal pace,0.003,complete,True,True,True
39,3,lichen_bridge,Sol,Kio,meal marker with Kio at signal post,safety,0.19558,completed at normal pace,0.003,complete,True,True,True
40,3,orchid_engine,Bea,Cai,valve listener with Cai at gear wash,safety,0.17473,completed at normal pace,0.003,complete,True,True,True
41,3,moss_ward,Fay,Milo,path watcher with Milo at dry loft,wetness,0.222105,completed at normal pace,0.003,complete,True,True,True
42,3,glass_harbor,Puck,Sera,lamp guard with Sera at quiet bunk,wetness,0.215403,completed at normal pace,0.003,complete,True,True,True
43,3,cinder_garden,Wren,Juno,shade caller with Juno at ember bed,safety,0.157648,completed at normal pace,0.003,complete,True,True,True
44,3,lichen_bridge,Kio,Luma,bridge caller with Luma at signal post,safety,0.146441,completed at normal pace,0.003,complete,True,True,True
45,3,orchid_engine,Cai,Dax,gear washer with Dax at gear wash,wetness,0.232396,completed at normal pace,0.003,complete,True,True,True
46,3,moss_ward,Milo,Tala,blanket keeper with Tala at dry loft,wetness,0.198158,completed at normal pace,0.003,complete,True,True,True
47,3,glass_harbor,Sera,Nia,tea maker with Nia at quiet bunk,safety,0.182415,completed at normal pace,0.003,complete,True,True,True
48,3,cinder_garden,Juno,Pax,ember tender with Pax at ember bed,safety,0.135146,completed at normal pace,0.003,complete,True,True,True
49,3,lichen_bridge,Luma,Rin,rope weaver with Rin at signal post,safety,0.188559,completed at normal pace,0.003,complete,True,True,True
50,3,orchid_engine,Dax,Eli,orchid keeper with Eli at gear wash,safety,0.200004,completed at normal pace,0.003,complete,True,True,True
51,3,moss_ward,Tala,Ari,water carrier with Ari at dry loft,safety,0.177238,completed at normal pace,0.003,complete,True,True,True
52,3,glass_harbor,Nia,Oren,net mender with Oren at quiet bunk,safety,0.198132,completed at normal pace,0.003,complete,True,True,True
53,3,cinder_garden,Pax,Vale,seed sorter with Vale at ember bed,safety,0.161179,completed at normal pace,0.003,complete,True,True,True
54,4,orchid_engine,Bea,Cai,valve listener with Cai at sleep cot,safety,0.173202,completed at normal pace,0.003,complete,True,True,True
55,4,moss_ward,Fay,Milo,path watcher with Milo at warm hearth,wetness,0.260194,completed at normal pace,0.003,complete,True,True,True
56,4,glass_harbor,Puck,Sera,lamp guard with Sera at salt steps,wetness,0.212554,completed at normal pace,0.003,complete,True,True,True
57,4,cinder_garden,Wren,Juno,shade caller with Juno at ash path,safety,0.172413,completed at normal pace,0.003,complete,True,True,True
58,4,lichen_bridge,Kio,Luma,bridge caller with Luma at lichen wall,safety,0.171487,completed at normal pace,0.003,complete,True,True,True
59,4,orchid_engine,Cai,Dax,gear washer with Dax at sleep cot,safety,0.222694,completed at normal pace,0.003,complete,True,True,True
60,4,moss_ward,Milo,Tala,blanket keeper with Tala at warm hearth,wetness,0.234939,completed at normal pace,0.003,complete,True,True,True
