tick_id,day,settlement_id,reload_index,need_count,care_count,rest_count,weather_loan_count,welfare_count,checksum,restored_body_state_visible,restored_care_duties_visible,restored_rest_negotiations_visible,restored_weather_loans_visible,restored_welfare_recovery_visible,replay_exportable
0,1,cinder_garden,1,1,1,1,0,1,8048d68c28299d33,True,True,True,True,True,True
1,1,lichen_bridge,1,1,0,0,1,1,84769a5b5efdfee1,True,True,True,True,True,True
2,1,orchid_engine,1,1,1,0,1,1,3203824f91a39d80,True,True,True,True,True,True
3,1,moss_ward,1,1,0,1,1,1,f6b4984b28fee0f7,True,True,True,True,True,True
4,1,glass_harbor,1,1,1,0,1,1,c7152b6466ca997c,True,True,True,True,True,True
5,1,cinder_garden,2,2,1,1,1,2,daf8fd67f5c90f7c,True,True,True,True,True,True
6,1,lichen_bridge,2,2,1,1,2,2,9bba220195bb339e,True,True,True,True,True,True
7,1,orchid_engine,2,2,1,0,2,2,07a64dca5b1d3d4f,True,True,True,True,True,True
8,1,moss_ward,2,2,1,1,2,2,4cfe9ca15b71fdcf,True,True,True,True,True,True
9,1,glass_harbor,2,2,1,1,2,2,845ccd29b5f84457,True,True,True,True,True,True
10,1,cinder_garden,3,3,2,1,1,3,123a39818b6bc4c7,True,True,True,True,True,True
11,1,lichen_bridge,3,3,1,1,3,3,55890bd2dad87667,True,True,True,True,True,True
12,1,orchid_engine,3,3,2,1,3,3,072c32505ac3d81a,True,True,True,True,True,True
13,1,moss_ward,3,3,1,1,3,3,0a181d3a8f0d23be,True,True,True,True,True,True
14,1,glass_harbor,3,3,2,1,3,3,000a2664578c375c,True,True,True,True,True,True
15,1,cinder_garden,4,4,2,2,2,4,95ba8a83c7c1c031,True,True,True,True,True,True
16,1,lichen_bridge,4,4,2,1,4,4,78c2bc4ad9cb47a6,True,True,True,True,True,True
17,1,orchid_engine,4,4,2,1,4,4,e8c2d1254ada6f7a,True,True,True,True,True,True
24,2,cinder_garden,5,6,3,3,4,6,9f3f67e8e640f96c,True,True,True,True,True,True
32,2,moss_ward,4,6,3,2,6,6,aed031c13f198ad1,True,True,True,True,True,True
40,3,orchid_engine,5,8,4,2,8,8,98f64c4b1cd4839b,True,True,True,True,True,True
48,3,cinder_garden,6,11,6,4,9,11,0e38e019537dac5d,True,True,True,True,True,True
56,4,glass_harbor,4,12,7,4,11,12,afbd1b2b6c998ed3,True,True,True,True,True,True
64,4,orchid_engine,6,13,7,4,11,13,2f1c7aa6c1594e07,True,True,True,True,True,True
72,5,lichen_bridge,5,15,8,5,14,15,d73cc311c40ab429,True,True,True,True,True,True
80,5,glass_harbor,5,17,9,6,15,17,4a99a8bef2857191,True,True,True,True,True,True
88,5,orchid_engine,7,18,9,6,14,18,a856f030de65f74a,True,True,True,True,True,True
96,6,lichen_bridge,6,20,10,7,19,20,ac952f25518a4c12,True,True,True,True,True,True
104,6,glass_harbor,6,21,11,7,19,21,f60bbe2d9a15ccf9,True,True,True,True,True,True
112,7,moss_ward,5,22,11,7,20,22,507fb5b4eff12d7f,True,True,True,True,True,True
120,7,lichen_bridge,7,25,13,8,24,25,9bb72a0592596707,True,True,True,True,True,True
128,8,cinder_garden,7,27,14,9,23,27,c7a8d1490287648a,True,True,True,True,True,True
136,8,moss_ward,6,27,14,9,25,27,fcf3eb751dbc8823,True,True,True,True,True,True
144,9,orchid_engine,8,29,15,10,24,29,dd149794acd8935f,True,True,True,True,True,True
152,9,cinder_garden,8,32,16,11,28,32,f4fd3b43a75e95cf,True,True,True,True,True,True
160,9,moss_ward,7,32,16,11,30,32,2d286b4e808b435b,True,True,True,True,True,True
168,10,orchid_engine,9,34,17,12,27,34,d5beacde6caac7e7,True,True,True,True,True,True
176,10,cinder_garden,9,36,18,12,32,36,b52878e2667389ba,True,True,True,True,True,True
184,11,glass_harbor,7,37,19,12,33,37,9943db1a02c57ec0,True,True,True,True,True,True
192,11,orchid_engine,10,39,20,13,31,39,f1ef05cb7ad260cd,True,True,True,True,True,True
200,12,lichen_bridge,8,41,21,13,39,41,2fa50480f07f69bc,True,True,True,True,True,True
208,12,glass_harbor,8,42,22,14,38,42,f3326b816ccf85cd,True,True,True,True,True,True
216,13,moss_ward,8,43,22,15,39,43,61ed7309d7c36f9a,True,True,True,True,True,True
224,13,lichen_bridge,9,46,23,15,43,46,415527b23b1f774b,True,True,True,True,True,True
232,13,glass_harbor,9,47,24,16,43,47,7df67de25613366f,True,True,True,True,True,True
240,14,moss_ward,9,48,24,17,44,48,8839919f61e4fbb9,True,True,True,True,True,True
248,14,lichen_bridge,10,50,25,16,47,50,8ec3ebabba27ad87,True,True,True,True,True,True
256,15,cinder_garden,10,52,26,17,46,52,d899490c3f77dee8,True,True,True,True,True,True
264,15,moss_ward,10,53,27,18,47,53,832c88c7218c7fa6,True,True,True,True,True,True
272,16,orchid_engine,11,55,28,18,43,55,981a7edf2cad23b3,True,True,True,True,True,True
280,16,cinder_garden,11,57,29,19,49,57,ab814295a0403b7a,True,True,True,True,True,True
288,17,glass_harbor,10,58,30,20,52,58,39a0e8cb18375e84,True,True,True,True,True,True
296,17,orchid_engine,12,60,30,20,48,60,f59a80eefac71f12,True,True,True,True,True,True
304,17,cinder_garden,12,62,31,22,54,62,530d2a54c3a1e852,True,True,True,True,True,True
312,18,glass_harbor,11,63,32,23,57,63,a677134bf8c73647,True,True,True,True,True,True
320,18,orchid_engine,13,64,32,22,52,64,20c4bde30f9916cd,True,True,True,True,True,True
328,19,lichen_bridge,11,66,33,23,62,66,116cf48fa7925562,True,True,True,True,True,True
336,19,glass_harbor,12,68,35,24,60,68,f5b85f8c70551026,True,True,True,True,True,True
344,20,moss_ward,11,69,36,25,62,69,33855791b5dceedc,True,True,True,True,True,True
352,20,lichen_bridge,12,71,37,26,67,71,f388b3813a4ad6e3,True,True,True,True,True,True
360,21,cinder_garden,13,73,37,29,64,73,e0aa9a788eb30f91,True,True,True,True,True,True
368,21,moss_ward,12,74,38,28,66,74,14ed62dc8153a235,True,True,True,True,True,True
376,21,lichen_bridge,13,76,39,30,72,76,a5a7d87ab2e1d731,True,True,True,True,True,True
384,22,cinder_garden,14,78,39,34,68,78,89f445259c7f2df3,True,True,True,True,True,True
392,22,moss_ward,13,78,41,30,70,78,2b6dff52146ddd16,True,True,True,True,True,True
400,23,orchid_engine,14,80,42,32,64,80,5c9e5e01d518b204,True,True,True,True,True,True
408,23,cinder_garden,15,83,42,38,73,83,ca30cd826df72a3b,True,True,True,True,True,True
416,24,glass_harbor,13,84,47,33,75,84,1e54b04d444ebc41,True,True,True,True,True,True
424,24,orchid_engine,15,85,46,35,67,85,eb9832d8b4f9753a,True,True,True,True,True,True
432,25,lichen_bridge,14,87,46,37,82,87,ec93636811cc5e8c,True,True,True,True,True,True
440,25,glass_harbor,14,89,50,37,79,89,3b94d257926336c3,True,True,True,True,True,True
448,25,orchid_engine,16,90,48,39,70,90,249164baf113908e,True,True,True,True,True,True
456,26,lichen_bridge,15,92,51,39,87,92,40a4cfccac450aca,True,True,True,True,True,True
464,26,glass_harbor,15,93,54,38,83,93,95ebd311fe1b3867,True,True,True,True,True,True
472,27,moss_ward,14,94,54,39,84,94,8a25bcd5ffd662e9,True,True,True,True,True,True
480,27,lichen_bridge,16,97,55,42,92,97,2731e0143f6712a2,True,True,True,True,True,True
488,28,cinder_garden,16,99,50,51,87,99,25d8348b988e98aa,True,True,True,True,True,True
496,28,moss_ward,15,99,59,42,89,99,72af8f617010b740,True,True,True,True,True,True
504,29,orchid_engine,17,101,59,45,80,101,c4282f834d851f4c,True,True,True,True,True,True
512,29,cinder_garden,17,104,52,55,92,104,0717d91fdbdb3014,True,True,True,True,True,True
520,29,moss_ward,16,104,64,45,94,104,cc375e2b57a853b1,True,True,True,True,True,True
528,30,orchid_engine,18,106,63,48,83,106,08012bc0c1eb2b59,True,True,True,True,True,True
536,30,cinder_garden,18,108,54,59,96,108,59792a6d90975aeb,True,True,True,True,True,True
544,31,glass_harbor,16,109,69,45,97,109,ebc69a531eba263b,True,True,True,True,True,True
552,31,orchid_engine,19,111,67,51,87,111,1d9b54c168a8a426,True,True,True,True,True,True
560,32,lichen_bridge,17,113,70,51,107,113,317c06870d0bcc7f,True,True,True,True,True,True
568,32,glass_harbor,17,114,74,48,102,114,7d91741d58aa1e9f,True,True,True,True,True,True
576,33,moss_ward,17,115,74,51,103,115,821907424682c6b2,True,True,True,True,True,True
584,33,lichen_bridge,18,118,73,55,111,118,782218cd5989e657,True,True,True,True,True,True
592,33,glass_harbor,18,119,79,51,107,119,0c4a511c71b6b2d5,True,True,True,True,True,True
600,34,moss_ward,18,120,78,53,108,120,5f0b5de6868de4b1,True,True,True,True,True,True
608,34,lichen_bridge,19,122,76,57,115,122,fe980ff00ac2ce30,True,True,True,True,True,True
616,35,cinder_garden,19,124,62,75,110,124,172749dd0e5bdb62,True,True,True,True,True,True
624,35,moss_ward,19,125,82,56,111,125,274a8522f968dda4,True,True,True,True,True,True
632,36,orchid_engine,20,127,82,59,99,127,9203e667a3602847,True,True,True,True,True,True
640,36,cinder_garden,20,129,65,80,113,129,82a7d0d8d0a0bfbb,True,True,True,True,True,True
648,37,glass_harbor,19,130,89,57,116,130,969dc9f5923d8fa7,True,True,True,True,True,True
656,37,orchid_engine,21,132,87,62,104,132,272ae8f321e410ef,True,True,True,True,True,True
664,37,cinder_garden,21,134,67,85,118,134,fef4ca0728b8202f,True,True,True,True,True,True
672,38,glass_harbor,20,135,93,59,121,135,a3daf414afc81cc7,True,True,True,True,True,True
680,38,orchid_engine,22,136,91,64,108,136,846979d8277eb0d5,True,True,True,True,True,True
