tick_id,day,week,settlement_id,sleep_wake_panel,nutrition_shelter_panel,reciprocity_panel,weather_work_panel,avatar_welfare_panel,cultural_continuity_panel,reload_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,1,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v49.world.glass_harbor,ssrm.v49.replay.00000
1,1,1,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v49.world.cinder_garden,ssrm.v49.replay.00001
2,1,1,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v49.world.lichen_bridge,ssrm.v49.replay.00002
3,1,1,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v49.world.orchid_engine,ssrm.v49.replay.00003
4,1,1,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v49.world.moss_ward,ssrm.v49.replay.00004
5,1,1,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v49.world.glass_harbor,ssrm.v49.replay.00005
6,1,1,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v49.world.cinder_garden,ssrm.v49.replay.00006
7,1,1,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v49.world.lichen_bridge,ssrm.v49.replay.00007
8,1,1,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v49.world.orchid_engine,ssrm.v49.replay.00008
9,1,1,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v49.world.moss_ward,ssrm.v49.replay.00009
10,1,1,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v49.world.glass_harbor,ssrm.v49.replay.00010
11,1,1,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v49.world.cinder_garden,ssrm.v49.replay.00011
12,1,1,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v49.world.lichen_bridge,ssrm.v49.replay.00012
13,1,1,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v49.world.orchid_engine,ssrm.v49.replay.00013
14,1,1,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v49.world.moss_ward,ssrm.v49.replay.00014
15,1,1,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v49.world.glass_harbor,ssrm.v49.replay.00015
16,2,1,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v49.world.lichen_bridge,ssrm.v49.replay.00016
