tick_id,day,week,settlement_id,resident_id,food_item,water_source,shelter_id,food_stock_before,food_stock_after,water_stock_before,water_stock_after,shelter_occupancy,shelter_capacity,hunger_before,hunger_after,thirst_before,thirst_after,ration_policy,economy_visible,reserve_floor_preserved
0,1,1,glass_harbor,Nia,kelp roll,fog catcher,net room,132.0,132.34,118.0,118.22,7,9,0.22,0.16,0.2,0.159,normal meal,True,True
1,1,1,cinder_garden,Pax,cool mash,cool basin,shade tent,132.0,132.46,118.0,118.22,7,9,0.22,0.16,0.2,0.145,normal meal,True,True
2,1,1,lichen_bridge,Rin,lichen soup,meal cistern,meal room,132.0,132.34,118.0,118.22,7,9,0.22,0.16,0.2,0.159,normal meal,True,True
3,1,1,orchid_engine,Eli,gear stew,condense pan,warm vent,132.0,132.29,118.0,118.22,7,9,0.22,0.16,0.2,0.145,normal meal,True,True
4,1,1,moss_ward,Ari,root cakes,spring pipe,dry loft,132.0,132.23,118.0,118.22,5,9,0.22,0.19,0.2,0.161,normal meal,True,True
5,1,1,glass_harbor,Oren,salt porridge,cistern,lamp bunk,132.34,132.62,118.22,118.44,7,9,0.22,0.19,0.2,0.175,normal meal,True,True
6,1,1,cinder_garden,Vale,ember fruit,dew tray,seed shelf,132.46,132.86,118.22,118.44,5,9,0.22,0.19,0.2,0.161,normal meal,True,True
7,1,1,lichen_bridge,Sol,bridge stew,wall seep,rest alcove,132.34,132.57,118.22,118.44,7,9,0.22,0.19,0.2,0.175,normal meal,True,True
8,1,1,orchid_engine,Bea,orchid rice,valve cistern,orchid bay,132.29,132.57,118.22,118.44,5,9,0.22,0.19,0.2,0.161,normal meal,True,True
9,1,1,moss_ward,Fay,broth,rain jar,root alcove,132.23,132.51,118.22,118.44,6,9,0.22,0.19,0.2,0.161,normal meal,True,True
10,1,1,glass_harbor,Puck,tea loaf,fog catcher,steam alcove,132.62,132.9,118.44,118.66,6,9,0.22,0.19,0.2,0.175,normal meal,True,True
