metric,value
source_v48_continuity,1.0
sleep_wake_cycle_trace,1.0
nutrition_shelter_economy_trace,1.0
caregiving_reciprocity_over_weeks,0.9726161369193154
weather_aware_work_planning,1.0
avatar_welfare_intervention_trace,1.0
refusal_respected_rate,1.0
cultural_continuity_binding,1.0
multi_reload_v49_integrity,0.9906015037593985
browser_v49_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_circadian_binding,1.0
avatar_intervention_not_coercive,0.842
browser_world_v49_surface,1.0
weakest_channel_name,avatar_intervention_not_coercive
mean_sleep_reciprocity_channel_score,0.986087
weakest_channel_score,0.842
browser_world_v49_sleep_reciprocity_readiness,0.942861
session_day_count,252.0
week_count,36.0
sleep_wake_cycle_count,4032.0
nutrition_shelter_economy_count,4032.0
caregiving_reciprocity_count,2045.0
weather_work_plan_count,4032.0
avatar_welfare_intervention_count,2672.0
avatar_refusal_count,527.0
avatar_refusal_respected_count,527.0
cultural_continuity_count,4032.0
v49_reload_probe_count,532.0
browser_tick_count,4032.0
html_button_count,98.0
html_localstorage_handler_count,3.0
