episode_id,agent,base_token,drifted_token,meaning,phoneme_shift,usage_count,semantic_grounding,novelty,stability,social_spread,drift_reason
1,Ari,tek,tek,repair work,stable,1,0.94231,0.1205,0.938566,0.72,usage-frequency drift
2,Fay,sova,sova-s,sleep safely,-s,1,0.920943,0.279204,0.865798,0.72,usage-frequency drift
3,Milo,ori,ori,shared ritual,stable,1,0.944927,0.12374,0.938406,0.76,usage-frequency drift
4,Sol,vonn,vonn-n,pressure warning,-n,1,0.90951,0.2805,0.864486,0.708,boundary-marked pronunciation
5,Ari,sova,sova-s,sleep safely,-s,2,0.910477,0.297348,0.862392,0.72,usage-frequency drift
6,Fay,ori,ori,shared ritual,stable,2,0.943012,0.138824,0.936254,0.8,usage-frequency drift
7,Milo,vonn,vonn-n,pressure warning,-n,2,0.914647,0.30174,0.862238,0.696,boundary-marked pronunciation
8,Sol,melo,melo-s,market exchange,-s,1,0.906099,0.28167,0.913993,0.746,usage-frequency drift
9,Ari,ori,ori,shared ritual,stable,3,0.932371,0.15794,0.932705,0.84,usage-frequency drift
10,Fay,vonn,vonn-n,pressure warning,-n,3,0.912965,0.315528,0.860278,0.684,boundary-marked pronunciation
11,Milo,melo,melo,market exchange,stable,2,0.939664,0.14498,0.935119,0.772,usage-frequency drift
12,Sol,lum,lum,warm care,stable,1,0.936659,0.12167,0.937849,0.72,usage-frequency drift
13,Ari,vonn,vonn-n,pressure warning,-n,4,0.902298,0.334788,0.856707,0.672,boundary-marked pronunciation
14,Fay,melo,melo,market exchange,stable,3,0.938273,0.157148,0.933398,0.798,usage-frequency drift
15,Milo,lum,lum,warm care,stable,2,0.941424,0.14498,0.935295,0.72,usage-frequency drift
16,Sol,nari,nari,respect boundary,stable,1,0.938419,0.12167,0.938025,0.746,usage-frequency drift
17,Ari,melo,melo-s,market exchange,-s,4,0.898839,0.336228,0.906174,0.824,usage-frequency drift
18,Fay,lum,lum,warm care,stable,3,0.940267,0.155852,0.933766,0.72,usage-frequency drift
19,Milo,nari,nari,respect boundary,stable,2,0.943184,0.14498,0.935471,0.772,usage-frequency drift
20,Sol,keth,keth,remembered help,stable,1,0.940348,0.120734,0.938339,0.746,usage-frequency drift
21,Ari,lum,lum,warm care,stable,4,0.929399,0.176228,0.93003,0.72,usage-frequency drift
22,Fay,nari,nari-la,respect boundary,-la,3,0.973227,0.315852,0.916262,0.853,trust teaching
23,Milo,keth,keth-la,remembered help,-la,2,0.976144,0.30498,0.917967,0.827,trust teaching
24,Sol,tek,tek,repair work,stable,2,0.938868,0.138734,0.935851,0.72,usage-frequency drift
25,Ari,nari,nari,respect boundary,stable,4,0.931159,0.176228,0.930206,0.879,usage-frequency drift
26,Fay,keth,keth-la,remembered help,-la,3,0.974987,0.315852,0.916438,0.908,trust teaching
27,Milo,tek,tek,repair work,stable,3,0.943464,0.16298,0.933159,0.72,usage-frequency drift
28,Sol,sova,sova-s,sleep safely,-s,3,0.906996,0.315798,0.859646,0.72,usage-frequency drift
29,Ari,sova,sova-s,sleep safely,-s,4,0.904326,0.335076,0.856873,0.72,usage-frequency drift
30,Fay,ori,ori-la,shared ritual,-la,4,0.972982,0.336768,0.913518,0.935,trust teaching
31,Milo,vonn,vonn-s,pressure warning,-s,5,0.908443,0.35754,0.854364,0.66,usage-frequency drift
32,Sol,melo,melo-s,market exchange,-s,5,0.897106,0.352968,0.903825,0.85,usage-frequency drift
33,Ari,ori,ori-a,shared ritual,-a,5,0.926427,0.194516,0.927356,0.975,usage-frequency drift
34,Fay,vonn,vonn-s,pressure warning,-s,6,0.908495,0.371472,0.852558,0.648,usage-frequency drift
35,Milo,melo,melo-s,market exchange,-s,6,0.901679,0.37734,0.901114,0.876,usage-frequency drift
36,Sol,lum,lum-s,warm care,-s,5,0.899034,0.352032,0.904139,0.72,usage-frequency drift
37,Ari,vonn,vonn-n,pressure warning,-n,7,0.893114,0.389364,0.848694,0.636,boundary-marked pronunciation
38,Fay,melo,melo-a,market exchange,-a,7,0.930563,0.231092,0.923014,0.902,usage-frequency drift
39,Milo,lum,lum,warm care,stable,6,0.932239,0.21734,0.92497,0.72,usage-frequency drift
40,Sol,nari,nari-a,respect boundary,-a,5,0.929594,0.192032,0.927995,0.905,usage-frequency drift
41,Ari,melo,melo-s,market exchange,-s,8,0.886415,0.408804,0.895497,0.928,usage-frequency drift
42,Fay,lum,lum,warm care,stable,7,0.932323,0.231092,0.92319,0.72,usage-frequency drift
43,Milo,nari,nari-la,respect boundary,-la,6,0.965199,0.37734,0.907466,0.986,trust teaching
44,Sol,keth,keth-a,remembered help,-a,4,0.934594,0.174032,0.930835,0.934,usage-frequency drift
45,Ari,lum,lum,warm care,stable,8,0.917183,0.247652,0.919524,0.72,usage-frequency drift
46,Fay,nari,nari-la,respect boundary,-la,7,0.965283,0.391092,0.905686,1.0,trust teaching
47,Milo,keth,keth-la,remembered help,-la,5,0.970458,0.3579,0.910519,1.0,trust teaching
48,Sol,tek,tek-s,repair work,-s,4,0.907723,0.333096,0.90747,0.72,usage-frequency drift
49,Ari,nari,nari-a,respect boundary,-a,8,0.918943,0.247652,0.9197,1.0,usage-frequency drift
50,Fay,keth,keth-la,remembered help,-la,6,0.970283,0.373092,0.908526,1.0,trust teaching
51,Milo,tek,tek,repair work,stable,5,0.941277,0.19646,0.928588,0.72,usage-frequency drift
52,Sol,sova,sova-s,sleep safely,-s,5,0.904651,0.35016,0.854944,0.72,usage-frequency drift
53,Ari,keth,keth-a,remembered help,-a,7,0.923943,0.229652,0.92254,1.0,usage-frequency drift
54,Fay,tek,tek,repair work,stable,6,0.940843,0.213092,0.926382,0.72,usage-frequency drift
55,Milo,sova,sova-s,sleep safely,-s,6,0.909496,0.37302,0.852457,0.72,usage-frequency drift
56,Sol,ori,ori-a,shared ritual,-a,6,0.926801,0.20933,0.925467,1.0,usage-frequency drift
57,Ari,ori,ori-a,shared ritual,-a,7,0.925236,0.232244,0.922332,1.0,usage-frequency drift
58,Fay,vonn,vonn-s,pressure warning,-s,8,0.905797,0.407796,0.847566,0.624,usage-frequency drift
59,Milo,melo,melo-s,market exchange,-s,9,0.896252,0.42882,0.893879,0.954,usage-frequency drift
60,Sol,lum,lum-u,warm care,-u,9,0.890041,0.42333,0.893971,0.72,usage-frequency drift
61,Ari,vonn,vonn-s,pressure warning,-s,9,0.891923,0.427092,0.84367,0.612,usage-frequency drift
62,Fay,melo,melo-s,market exchange,-s,10,0.895825,0.445416,0.891678,0.98,usage-frequency drift
63,Milo,lum,lum-s,warm care,-s,10,0.895032,0.44538,0.891604,0.72,usage-frequency drift
64,Sol,nari,nari-a,respect boundary,-a,9,0.920601,0.26333,0.917827,1.0,usage-frequency drift
65,Ari,melo,melo-a,market exchange,-a,11,0.910784,0.304532,0.911489,1.0,usage-frequency drift
66,Fay,lum,lum-u,warm care,-u,11,0.894345,0.463416,0.88919,0.72,usage-frequency drift
67,Milo,nari,nari-la,respect boundary,-la,10,0.956792,0.44538,0.89778,1.0,trust teaching
68,Sol,keth,keth-la,remembered help,-la,8,0.956801,0.40533,0.902987,1.0,trust teaching
69,Ari,lum,lum-u,warm care,-u,12,0.880504,0.482532,0.885321,0.72,usage-frequency drift
70,Fay,nari,nari-la,respect boundary,-la,11,0.956105,0.463416,0.895366,1.0,trust teaching
71,Milo,keth,keth-la,remembered help,-la,9,0.961792,0.42738,0.90062,1.0,trust teaching
72,Sol,tek,tek-u,repair work,-u,7,0.901969,0.386394,0.899966,0.72,usage-frequency drift
73,Ari,nari,nari-a,respect boundary,-a,12,0.911064,0.322532,0.909177,1.0,usage-frequency drift
74,Fay,keth,keth-la,remembered help,-la,10,0.961338,0.44412,0.898398,1.0,trust teaching
75,Milo,tek,tek-s,repair work,-s,8,0.907051,0.40794,0.897673,0.72,usage-frequency drift
76,Sol,sova,sova-s,sleep safely,-s,7,0.902138,0.385458,0.850104,0.72,usage-frequency drift
77,Ari,keth,keth-la,remembered help,-la,11,0.947264,0.464532,0.894337,1.0,trust teaching
78,Fay,tek,tek-u,repair work,-u,9,0.906572,0.424824,0.89543,0.72,usage-frequency drift
79,Milo,sova,sova-s,sleep safely,-s,8,0.90731,0.4065,0.847886,0.72,usage-frequency drift
80,Sol,ori,ori-a,shared ritual,-a,8,0.924287,0.244628,0.920627,1.0,usage-frequency drift
81,Ari,tek,tek-u,repair work,-u,10,0.892264,0.446532,0.891177,0.72,usage-frequency drift
82,Fay,sova,sova-s,sleep safely,-s,9,0.906805,0.423528,0.845622,0.72,usage-frequency drift
83,Milo,ori,ori-la,shared ritual,-la,9,0.960546,0.4263,0.900636,1.0,trust teaching
84,Sol,vonn,vonn-s,pressure warning,-s,10,0.890935,0.439692,0.841934,0.6,usage-frequency drift
85,Ari,vonn,vonn-s,pressure warning,-s,11,0.889232,0.46338,0.838684,0.588,usage-frequency drift
86,Fay,melo,melo-s,market exchange,-s,12,0.893593,0.479148,0.88707,1.0,usage-frequency drift
87,Milo,lum,lum-u,warm care,-u,13,0.889346,0.4983,0.884156,0.72,usage-frequency drift
88,Sol,nari,nari-a,respect boundary,-a,13,0.906984,0.332756,0.90744,1.0,usage-frequency drift
89,Ari,melo,melo-s,market exchange,-s,13,0.879292,0.50082,0.882823,1.0,usage-frequency drift
90,Fay,lum,lum-s,warm care,-s,14,0.889107,0.513852,0.88211,0.72,usage-frequency drift
91,Milo,nari,nari-la,respect boundary,-la,14,0.947866,0.5163,0.887668,1.0,trust teaching
92,Sol,keth,keth-s,remembered help,-s,12,0.883352,0.47382,0.886739,1.0,usage-frequency drift
93,Ari,lum,lum-u,warm care,-u,15,0.874572,0.53682,0.877671,0.72,usage-frequency drift
94,Fay,nari,nari-la,respect boundary,-la,15,0.947627,0.531852,0.885622,1.0,trust teaching
95,Milo,keth,keth-la,remembered help,-la,13,0.952866,0.4983,0.890508,1.0,trust teaching
96,Sol,tek,tek-u,repair work,-u,11,0.888521,0.454884,0.889717,0.72,usage-frequency drift
97,Ari,nari,nari-la,respect boundary,-la,16,0.933092,0.55482,0.881183,1.0,trust teaching
98,Fay,keth,keth-la,remembered help,-la,14,0.952627,0.513852,0.888462,1.0,trust teaching
99,Milo,tek,tek-u,repair work,-u,12,0.898125,0.47886,0.887561,0.72,usage-frequency drift
100,Sol,sova,sova-s,sleep safely,-s,10,0.891929,0.435948,0.84252,0.72,usage-frequency drift
101,Ari,keth,keth-la,remembered help,-la,15,0.9383,0.535668,0.884193,1.0,trust teaching
102,Fay,tek,tek-s,repair work,-s,13,0.89786,0.494556,0.885494,0.72,usage-frequency drift
103,Milo,sova,sova-s,sleep safely,-s,11,0.901624,0.45942,0.840438,0.72,usage-frequency drift
104,Sol,ori,ori-s,shared ritual,-s,10,0.888519,0.437118,0.892027,1.0,usage-frequency drift
105,Ari,tek,tek-u,repair work,-u,14,0.883507,0.516516,0.881204,0.72,usage-frequency drift
106,Fay,sova,sova-s,sleep safely,-s,12,0.901333,0.47526,0.83835,0.72,usage-frequency drift
107,Milo,ori,ori-la,shared ritual,-la,11,0.9581,0.46122,0.895851,1.0,trust teaching
108,Sol,vonn,vonn-s,pressure warning,-s,12,0.883967,0.472182,0.837013,0.576,usage-frequency drift
109,Ari,sova,sova-s,sleep safely,-s,13,0.886954,0.497364,0.834038,0.72,usage-frequency drift
110,Fay,ori,ori-la,shared ritual,-la,12,0.957842,0.47688,0.89379,1.0,trust teaching
111,Milo,vonn,vonn-s,pressure warning,-s,13,0.89364,0.49578,0.834913,0.564,usage-frequency drift
112,Sol,melo,melo-s,market exchange,-s,14,0.874077,0.509352,0.881192,1.0,usage-frequency drift
113,Ari,melo,melo-s,market exchange,-s,15,0.877015,0.534804,0.878177,1.0,usage-frequency drift
