episode_id,agent,trust_after,respect_after,familiarity_after,avoidance_after,gratitude_after,resentment_after,learned_about_avatar,relationship_consequence
1,Ari,0.562,0.594,0.318,0.18,0.2,0.15,avatar is familiar but not decisive,neutral continuity
2,Fay,0.622,0.566,0.318,0.21,0.192,0.176,avatar is familiar but not decisive,neutral continuity
3,Milo,0.626,0.594,0.328,0.16,0.23,0.13,avatar can help without taking over,warmer later greeting
4,Sol,0.482,0.566,0.318,0.21,0.192,0.176,avatar is familiar but not decisive,neutral continuity
5,Ari,0.544,0.58,0.336,0.21,0.192,0.176,avatar is familiar but not decisive,neutral continuity
6,Fay,0.658,0.58,0.346,0.19,0.222,0.156,avatar can help without taking over,warmer later greeting
7,Milo,0.608,0.58,0.346,0.19,0.222,0.156,avatar is familiar but not decisive,neutral continuity
8,Sol,0.518,0.58,0.346,0.19,0.222,0.156,avatar can help without taking over,warmer later greeting
9,Ari,0.58,0.594,0.364,0.19,0.222,0.156,avatar can help without taking over,warmer later greeting
10,Fay,0.64,0.566,0.364,0.22,0.214,0.182,avatar is familiar but not decisive,neutral continuity
11,Milo,0.644,0.594,0.374,0.17,0.252,0.136,avatar can help without taking over,warmer later greeting
12,Sol,0.554,0.594,0.374,0.17,0.262,0.136,avatar can help without taking over,warmer later greeting
13,Ari,0.562,0.58,0.382,0.22,0.214,0.182,avatar is familiar but not decisive,neutral continuity
14,Fay,0.648,0.58,0.392,0.212,0.244,0.162,avatar can help without taking over,warmer later greeting
15,Milo,0.68,0.608,0.402,0.15,0.292,0.116,avatar can help without taking over,warmer later greeting
16,Sol,0.59,0.638,0.402,0.15,0.292,0.116,avatar can help without taking over,warmer later greeting
17,Ari,0.598,0.594,0.41,0.2,0.244,0.162,avatar can help without taking over,warmer later greeting
18,Fay,0.656,0.594,0.42,0.204,0.284,0.142,avatar can help without taking over,warmer later greeting
19,Milo,0.716,0.652,0.43,0.13,0.322,0.096,avatar can help without taking over,warmer later greeting
20,Sol,0.626,0.652,0.43,0.13,0.322,0.096,avatar can help without taking over,warmer later greeting
21,Ari,0.634,0.608,0.438,0.18,0.284,0.142,avatar can help without taking over,warmer later greeting
22,Fay,0.692,0.638,0.448,0.184,0.314,0.122,avatar can help without taking over,warmer later greeting
23,Milo,0.752,0.666,0.458,0.11,0.352,0.076,avatar can help without taking over,warmer later greeting
24,Sol,0.638,0.666,0.448,0.13,0.322,0.096,avatar is familiar but not decisive,neutral continuity
25,Ari,0.67,0.652,0.466,0.16,0.314,0.122,avatar can help without taking over,warmer later greeting
26,Fay,0.728,0.652,0.476,0.164,0.344,0.102,avatar can help without taking over,warmer later greeting
27,Milo,0.764,0.68,0.476,0.11,0.352,0.076,avatar is familiar but not decisive,neutral continuity
28,Sol,0.62,0.652,0.466,0.16,0.314,0.122,avatar is familiar but not decisive,neutral continuity
29,Ari,0.652,0.638,0.484,0.19,0.306,0.148,avatar is familiar but not decisive,neutral continuity
30,Fay,0.764,0.666,0.504,0.144,0.374,0.082,avatar can help without taking over,warmer later greeting
31,Milo,0.746,0.666,0.494,0.14,0.344,0.102,avatar is familiar but not decisive,neutral continuity
32,Sol,0.656,0.666,0.494,0.14,0.344,0.102,avatar can help without taking over,warmer later greeting
