epoch_id,simulated_year,generation,settlement_id,population_estimate,resource_pressure,conflict_pressure,cooperation_norm_strength,institution_count,avatar_absent,civilization_marker,continuity_score,bounded_history
0,0,0,moss_ward,42,0.365294,0.114612,0.559685,1,True,moss_ward wet temperate ward year 0 institutions 1,0.381432,True
1,0,0,glass_harbor,49,0.378824,0.135153,0.557836,1,True,glass_harbor fog harbor year 0 institutions 1,0.380183,True
2,0,0,cinder_garden,56,0.392353,0.155694,0.555988,1,True,cinder_garden ash garden year 0 institutions 1,0.378934,True
3,0,0,lichen_bridge,63,0.405882,0.176235,0.554139,1,True,lichen_bridge rope bridge valley year 0 institutions 1,0.377685,True
4,0,0,orchid_engine,70,0.419412,0.196776,0.55229,1,True,orchid_engine warm engine terrace year 0 institutions 1,0.376436,True
5,5,0,moss_ward,42,0.378824,0.115153,0.559636,1,True,moss_ward wet temperate ward year 5 institutions 1,0.381399,True
6,5,0,glass_harbor,49,0.392353,0.135694,0.557788,1,True,glass_harbor fog harbor year 5 institutions 1,0.38015,True
7,5,0,cinder_garden,56,0.405882,0.156235,0.555939,1,True,cinder_garden ash garden year 5 institutions 1,0.378901,True
8,5,0,lichen_bridge,63,0.419412,0.176776,0.55409,1,True,lichen_bridge rope bridge valley year 5 institutions 1,0.377652,True
9,5,0,orchid_engine,70,0.432941,0.197318,0.552241,1,True,orchid_engine warm engine terrace year 5 institutions 1,0.376403,True
10,10,0,moss_ward,42,0.392353,0.115694,0.559588,1,True,moss_ward wet temperate ward year 10 institutions 1,0.381366,True
11,10,0,glass_harbor,49,0.405882,0.136235,0.557739,1,True,glass_harbor fog harbor year 10 institutions 1,0.380117,True
12,10,0,cinder_garden,56,0.419412,0.156776,0.55589,1,True,cinder_garden ash garden year 10 institutions 1,0.378868,True
13,10,0,lichen_bridge,63,0.432941,0.177318,0.554041,1,True,lichen_bridge rope bridge valley year 10 institutions 1,0.377619,True
14,10,0,orchid_engine,70,0.446471,0.197859,0.552193,1,True,orchid_engine warm engine terrace year 10 institutions 1,0.37637,True
15,15,0,moss_ward,42,0.405882,0.116235,0.559539,1,True,moss_ward wet temperate ward year 15 institutions 1,0.381333,True
16,15,0,glass_harbor,49,0.419412,0.136776,0.55769,1,True,glass_harbor fog harbor year 15 institutions 1,0.380084,True
17,15,0,cinder_garden,56,0.432941,0.157318,0.555841,1,True,cinder_garden ash garden year 15 institutions 1,0.378835,True
18,15,0,lichen_bridge,63,0.446471,0.177859,0.553993,1,True,lichen_bridge rope bridge valley year 15 institutions 1,0.377586,True
19,15,0,orchid_engine,70,0.23,0.1892,0.552972,1,True,orchid_engine warm engine terrace year 15 institutions 1,0.376897,True
20,20,0,moss_ward,42,0.419412,0.116776,0.55949,1,True,moss_ward wet temperate ward year 20 institutions 1,0.3813,True
21,20,0,glass_harbor,49,0.432941,0.137318,0.557641,1,True,glass_harbor fog harbor year 20 institutions 1,0.380051,True
22,20,0,cinder_garden,56,0.446471,0.157859,0.555793,1,True,cinder_garden ash garden year 20 institutions 1,0.378802,True
23,20,0,lichen_bridge,63,0.23,0.1692,0.554772,1,True,lichen_bridge rope bridge valley year 20 institutions 1,0.378113,True
24,20,0,orchid_engine,70,0.243529,0.189741,0.552923,1,True,orchid_engine warm engine terrace year 20 institutions 1,0.376864,True
25,25,1,moss_ward,42,0.382941,0.135318,0.563821,1,True,moss_ward wet temperate ward year 25 institutions 1,0.386893,True
26,25,1,glass_harbor,49,0.396471,0.155859,0.561973,1,True,glass_harbor fog harbor year 25 institutions 1,0.385644,True
27,25,1,cinder_garden,56,0.18,0.1672,0.560952,1,True,cinder_garden ash garden year 25 institutions 1,0.384954,True
28,25,1,lichen_bridge,63,0.193529,0.187741,0.559103,1,True,lichen_bridge rope bridge valley year 25 institutions 1,0.383705,True
29,25,1,orchid_engine,70,0.207059,0.208282,0.557255,1,True,orchid_engine warm engine terrace year 25 institutions 1,0.382456,True
30,30,1,moss_ward,42,0.396471,0.135859,0.563773,1,True,moss_ward wet temperate ward year 30 institutions 1,0.38686,True
31,30,1,glass_harbor,49,0.18,0.1472,0.562752,1,True,glass_harbor fog harbor year 30 institutions 1,0.38617,True
32,30,1,cinder_garden,56,0.193529,0.167741,0.560903,1,True,cinder_garden ash garden year 30 institutions 1,0.384921,True
33,30,1,lichen_bridge,63,0.207059,0.188282,0.559055,1,True,lichen_bridge rope bridge valley year 30 institutions 1,0.383672,True
34,30,1,orchid_engine,70,0.220588,0.208824,0.557206,1,True,orchid_engine warm engine terrace year 30 institutions 1,0.382424,True
35,35,1,moss_ward,42,0.18,0.1272,0.564552,1,True,moss_ward wet temperate ward year 35 institutions 1,0.387386,True
36,35,1,glass_harbor,49,0.193529,0.147741,0.562703,1,True,glass_harbor fog harbor year 35 institutions 1,0.386137,True
37,35,1,cinder_garden,56,0.207059,0.168282,0.560855,1,True,cinder_garden ash garden year 35 institutions 1,0.384888,True
38,35,1,lichen_bridge,63,0.220588,0.188824,0.559006,1,True,lichen_bridge rope bridge valley year 35 institutions 1,0.38364,True
39,35,1,orchid_engine,70,0.234118,0.209365,0.557157,1,True,orchid_engine warm engine terrace year 35 institutions 1,0.382391,True
40,40,1,moss_ward,42,0.193529,0.127741,0.564503,1,True,moss_ward wet temperate ward year 40 institutions 1,0.387353,True
41,40,1,glass_harbor,49,0.207059,0.148282,0.562655,1,True,glass_harbor fog harbor year 40 institutions 1,0.386104,True
42,40,1,cinder_garden,56,0.220588,0.168824,0.560806,1,True,cinder_garden ash garden year 40 institutions 1,0.384856,True
43,40,1,lichen_bridge,63,0.234118,0.189365,0.558957,1,True,lichen_bridge rope bridge valley year 40 institutions 1,0.383607,True
44,40,1,orchid_engine,70,0.247647,0.209906,0.557108,1,True,orchid_engine warm engine terrace year 40 institutions 1,0.382358,True
45,45,1,moss_ward,42,0.207059,0.128282,0.564455,1,True,moss_ward wet temperate ward year 45 institutions 1,0.38732,True
46,45,1,glass_harbor,49,0.220588,0.148824,0.562606,1,True,glass_harbor fog harbor year 45 institutions 1,0.386072,True
47,45,1,cinder_garden,56,0.234118,0.169365,0.560757,1,True,cinder_garden ash garden year 45 institutions 1,0.384823,True
48,45,1,lichen_bridge,63,0.247647,0.189906,0.558908,1,True,lichen_bridge rope bridge valley year 45 institutions 1,0.383574,True
49,45,1,orchid_engine,70,0.261176,0.210447,0.55706,1,True,orchid_engine warm engine terrace year 45 institutions 1,0.382325,True
50,50,2,moss_ward,42,0.220588,0.148824,0.568606,1,True,moss_ward wet temperate ward year 50 institutions 1,0.392792,True
51,50,2,glass_harbor,49,0.234118,0.169365,0.566757,1,True,glass_harbor fog harbor year 50 institutions 1,0.391543,True
52,50,2,cinder_garden,56,0.247647,0.189906,0.564908,1,True,cinder_garden ash garden year 50 institutions 1,0.390294,True
53,50,2,lichen_bridge,63,0.261176,0.210447,0.56306,1,True,lichen_bridge rope bridge valley year 50 institutions 1,0.389045,True
54,50,2,orchid_engine,70,0.274706,0.230988,0.561211,1,True,orchid_engine warm engine terrace year 50 institutions 1,0.387796,True
55,55,2,moss_ward,43,0.234118,0.149365,0.568557,1,True,moss_ward wet temperate ward year 55 institutions 1,0.392759,True
56,55,2,glass_harbor,50,0.247647,0.169906,0.566708,1,True,glass_harbor fog harbor year 55 institutions 1,0.39151,True
57,55,2,cinder_garden,57,0.261176,0.190447,0.56486,1,True,cinder_garden ash garden year 55 institutions 1,0.390261,True
58,55,2,lichen_bridge,64,0.274706,0.210988,0.563011,1,True,lichen_bridge rope bridge valley year 55 institutions 1,0.389012,True
59,55,2,orchid_engine,71,0.288235,0.231529,0.561162,1,True,orchid_engine warm engine terrace year 55 institutions 1,0.387763,True
60,60,2,moss_ward,43,0.247647,0.149906,0.568508,1,True,moss_ward wet temperate ward year 60 institutions 1,0.392726,True
61,60,2,glass_harbor,50,0.261176,0.170447,0.56666,1,True,glass_harbor fog harbor year 60 institutions 1,0.391477,True
62,60,2,cinder_garden,57,0.274706,0.190988,0.564811,1,True,cinder_garden ash garden year 60 institutions 1,0.390228,True
63,60,2,lichen_bridge,64,0.288235,0.211529,0.562962,1,True,lichen_bridge rope bridge valley year 60 institutions 1,0.388979,True
64,60,2,orchid_engine,71,0.301765,0.232071,0.561114,1,True,orchid_engine warm engine terrace year 60 institutions 1,0.38773,True
65,65,2,moss_ward,43,0.261176,0.150447,0.56846,1,True,moss_ward wet temperate ward year 65 institutions 1,0.392693,True
66,65,2,glass_harbor,50,0.274706,0.170988,0.566611,1,True,glass_harbor fog harbor year 65 institutions 1,0.391444,True
67,65,2,cinder_garden,57,0.288235,0.191529,0.564762,1,True,cinder_garden ash garden year 65 institutions 1,0.390195,True
68,65,2,lichen_bridge,64,0.301765,0.212071,0.562914,1,True,lichen_bridge rope bridge valley year 65 institutions 1,0.388946,True
69,65,2,orchid_engine,71,0.315294,0.232612,0.561065,1,True,orchid_engine warm engine terrace year 65 institutions 1,0.387697,True
