epoch_id,simulated_year,settlement_id,proto_family,root_count,lexicon_size,grammar_complexity,dialect_split_count,mutual_intelligibility,example_phrase,not_autonomous_language_claim,frequency_hz,flower_phase
0,0,moss_ward,proto-moss-breath,14,108,0.186,0,0.98,moss breath keeps warm-cup 9,True,5.46082,0.021
1,0,glass_harbor,proto-harbor-chime,15,110,0.186,0,0.98,harbor chime keeps lamp-touch 12,True,6.60382,0.034
2,0,cinder_garden,proto-cinder-pulse,16,112,0.186,0,0.98,cinder pulse keeps shade-bow 0,True,9.16682,0.055
3,0,lichen_bridge,proto-bridge-hum,17,114,0.186,0,0.98,bridge hum keeps rope-touch 0,True,7.83982,0.044
4,0,orchid_engine,proto-engine-ring,18,116,0.186,0,0.98,engine ring keeps valve-pause 0,True,10.17282,0.067
5,5,moss_ward,proto-moss-breath,14,108,0.186,0,0.98,moss breath keeps door-watch 10,True,5.51582,0.034889
6,5,glass_harbor,proto-harbor-chime,15,110,0.186,0,0.98,harbor chime keeps lamp-touch 0,True,6.65882,0.047889
7,5,cinder_garden,proto-cinder-pulse,16,112,0.186,0,0.98,cinder pulse keeps seed-count 1,True,9.22182,0.068889
8,5,lichen_bridge,proto-bridge-hum,17,114,0.186,0,0.98,bridge hum keeps signal-hush 1,True,7.89482,0.057889
9,5,orchid_engine,proto-engine-ring,18,116,0.186,0,0.98,engine ring keeps orchid-cup 1,True,10.22782,0.080889
10,10,moss_ward,proto-moss-breath,14,108,0.186,0,0.98,moss breath keeps blanket-share 11,True,5.57082,0.048778
11,10,glass_harbor,proto-harbor-chime,15,110,0.186,0,0.98,harbor chime keeps tea-before-crossing 1,True,6.71382,0.061778
12,10,cinder_garden,proto-cinder-pulse,16,112,0.186,0,0.98,cinder pulse keeps cool-hand 2,True,9.27682,0.082778
13,10,lichen_bridge,proto-bridge-hum,17,114,0.186,0,0.98,bridge hum keeps shared-bowl 2,True,7.94982,0.071778
14,10,orchid_engine,proto-engine-ring,18,116,0.186,0,0.98,engine ring keeps gear-wash-thanks 2,True,10.28282,0.094778
15,15,moss_ward,proto-moss-breath,14,108,0.186,0,0.98,moss breath keeps warm-cup 12,True,5.62582,0.062667
16,15,glass_harbor,proto-harbor-chime,15,110,0.186,0,0.98,harbor chime keeps net-knot-thanks 2,True,6.76882,0.075667
17,15,cinder_garden,proto-cinder-pulse,16,112,0.186,0,0.98,cinder pulse keeps shade-bow 3,True,9.33182,0.096667
18,15,lichen_bridge,proto-bridge-hum,17,114,0.186,0,0.98,bridge hum keeps rope-touch 3,True,8.00482,0.085667
19,15,orchid_engine,proto-engine-ring,18,116,0.186,0,0.98,engine ring keeps valve-pause 3,True,10.33782,0.108667
20,20,moss_ward,proto-moss-breath,14,108,0.186,0,0.98,moss breath keeps warm-cup 0,True,5.68082,0.076556
21,20,glass_harbor,proto-harbor-chime,15,110,0.186,0,0.98,harbor chime keeps lamp-touch 3,True,6.82382,0.089556
22,20,cinder_garden,proto-cinder-pulse,16,112,0.186,0,0.98,cinder pulse keeps seed-count 4,True,9.38682,0.110556
23,20,lichen_bridge,proto-bridge-hum,17,114,0.186,0,0.98,bridge hum keeps signal-hush 4,True,8.05982,0.099556
24,20,orchid_engine,proto-engine-ring,18,116,0.186,0,0.98,engine ring keeps orchid-cup 4,True,10.39282,0.122556
25,25,moss_ward,proto-moss-breath,14,113,0.196,0,0.98,moss breath keeps blanket-share 2,True,5.73952,0.091444
26,25,glass_harbor,proto-harbor-chime,15,115,0.196,0,0.98,harbor chime keeps net-knot-thanks 5,True,6.88252,0.104444
27,25,cinder_garden,proto-cinder-pulse,16,117,0.196,0,0.98,cinder pulse keeps shade-bow 6,True,9.44552,0.125444
28,25,lichen_bridge,proto-bridge-hum,17,119,0.196,0,0.98,bridge hum keeps rope-touch 6,True,8.11852,0.114444
29,25,orchid_engine,proto-engine-ring,18,121,0.196,0,0.98,engine ring keeps valve-pause 6,True,10.45152,0.137444
30,30,moss_ward,proto-moss-breath,14,113,0.196,0,0.98,moss breath keeps warm-cup 3,True,5.79452,0.105333
31,30,glass_harbor,proto-harbor-chime,15,115,0.196,0,0.98,harbor chime keeps lamp-touch 6,True,6.93752,0.118333
32,30,cinder_garden,proto-cinder-pulse,16,117,0.196,0,0.98,cinder pulse keeps seed-count 7,True,9.50052,0.139333
33,30,lichen_bridge,proto-bridge-hum,17,119,0.196,0,0.98,bridge hum keeps signal-hush 7,True,8.17352,0.128333
34,30,orchid_engine,proto-engine-ring,18,121,0.196,0,0.98,engine ring keeps orchid-cup 7,True,10.50652,0.151333
35,35,moss_ward,proto-moss-breath,14,113,0.196,0,0.98,moss breath keeps door-watch 4,True,5.84952,0.119222
36,35,glass_harbor,proto-harbor-chime,15,115,0.196,0,0.98,harbor chime keeps tea-before-crossing 7,True,6.99252,0.132222
37,35,cinder_garden,proto-cinder-pulse,16,117,0.196,0,0.98,cinder pulse keeps cool-hand 8,True,9.55552,0.153222
38,35,lichen_bridge,proto-bridge-hum,17,119,0.196,0,0.98,bridge hum keeps shared-bowl 8,True,8.22852,0.142222
39,35,orchid_engine,proto-engine-ring,18,121,0.196,0,0.98,engine ring keeps gear-wash-thanks 8,True,10.56152,0.165222
40,40,moss_ward,proto-moss-breath,14,113,0.196,0,0.98,moss breath keeps blanket-share 5,True,5.90452,0.133111
41,40,glass_harbor,proto-harbor-chime,15,115,0.196,0,0.98,harbor chime keeps net-knot-thanks 8,True,7.04752,0.146111
42,40,cinder_garden,proto-cinder-pulse,16,117,0.196,0,0.98,cinder pulse keeps shade-bow 9,True,9.61052,0.167111
43,40,lichen_bridge,proto-bridge-hum,17,119,0.196,0,0.98,bridge hum keeps rope-touch 9,True,8.28352,0.156111
44,40,orchid_engine,proto-engine-ring,18,121,0.196,0,0.98,engine ring keeps valve-pause 9,True,10.61652,0.179111
45,45,moss_ward,proto-moss-breath,14,113,0.196,0,0.98,moss breath keeps warm-cup 6,True,5.95952,0.147
46,45,glass_harbor,proto-harbor-chime,15,115,0.196,0,0.98,harbor chime keeps lamp-touch 9,True,7.10252,0.16
47,45,cinder_garden,proto-cinder-pulse,16,117,0.196,0,0.98,cinder pulse keeps seed-count 10,True,9.66552,0.181
48,45,lichen_bridge,proto-bridge-hum,17,119,0.196,0,0.98,bridge hum keeps signal-hush 10,True,8.33852,0.17
49,45,orchid_engine,proto-engine-ring,18,121,0.196,0,0.98,engine ring keeps orchid-cup 10,True,10.67152,0.193
50,50,moss_ward,proto-moss-breath,14,118,0.206,0,0.98,moss breath keeps blanket-share 8,True,6.01822,0.161889
51,50,glass_harbor,proto-harbor-chime,15,120,0.206,0,0.98,harbor chime keeps net-knot-thanks 11,True,7.16122,0.174889
52,50,cinder_garden,proto-cinder-pulse,16,122,0.206,0,0.98,cinder pulse keeps shade-bow 12,True,9.72422,0.195889
53,50,lichen_bridge,proto-bridge-hum,17,124,0.206,0,0.98,bridge hum keeps rope-touch 12,True,8.39722,0.184889
54,50,orchid_engine,proto-engine-ring,18,126,0.206,0,0.98,engine ring keeps valve-pause 12,True,10.73022,0.207889
55,55,moss_ward,proto-moss-breath,14,118,0.206,0,0.98,moss breath keeps warm-cup 9,True,6.07322,0.175778
56,55,glass_harbor,proto-harbor-chime,15,120,0.206,0,0.98,harbor chime keeps lamp-touch 12,True,7.21622,0.188778
57,55,cinder_garden,proto-cinder-pulse,16,122,0.206,0,0.98,cinder pulse keeps shade-bow 0,True,9.77922,0.209778
