tick_id,day,settlement_id,reload_index,arrival_count,greeting_count,translation_count,custom_count,choice_count,integrity_count,checksum,restored_arrival_visible,restored_greeting_visible,restored_translation_visible,restored_custom_visible,restored_choice_visible,restored_history_visible
0,1,lichen_bridge,1,1,1,1,1,1,1,7934ec36c2c28b49,True,True,True,True,True,True
1,1,orchid_engine,1,1,1,1,1,1,0,652152c3ad60aa81,True,True,True,True,True,True
2,1,moss_ward,1,1,1,1,1,1,0,72481d64fda69c69,True,True,True,True,True,True
3,1,glass_harbor,1,1,1,1,1,1,0,d583c7cbe3befe65,True,True,True,True,True,True
4,1,cinder_garden,1,1,1,1,1,1,0,29f90d5f57d6e764,True,True,True,True,True,True
5,1,lichen_bridge,2,2,2,2,2,2,2,8978eb0323fb797d,True,True,True,True,True,True
6,1,orchid_engine,2,2,2,2,2,2,0,48c1b12817b0e8e7,True,True,True,True,True,True
7,1,moss_ward,2,2,2,2,2,2,0,3535318de3300632,True,True,True,True,True,True
8,1,glass_harbor,2,2,2,2,2,2,0,e42b91fe45ebe719,True,True,True,True,True,True
9,1,cinder_garden,2,2,2,2,2,2,0,8873558d93db8dba,True,True,True,True,True,True
10,1,lichen_bridge,3,3,3,3,3,3,3,0ac25c6ab8f226b7,True,True,True,True,True,True
11,1,orchid_engine,3,3,3,3,3,3,0,3dbdaecb778b894e,True,True,True,True,True,True
12,1,moss_ward,3,3,3,3,3,3,0,b68cce12a941a1dc,True,True,True,True,True,True
13,1,glass_harbor,3,3,3,3,3,3,0,d170797841acee3d,True,True,True,True,True,True
14,1,cinder_garden,3,3,3,3,3,3,0,7d0f690f975f780f,True,True,True,True,True,True
15,1,lichen_bridge,4,4,4,4,4,4,4,61825dfa9107e74c,True,True,True,True,True,True
16,1,orchid_engine,4,4,4,4,4,4,0,8d449539ee7af9d4,True,True,True,True,True,True
17,1,moss_ward,4,4,4,4,4,4,0,8d83c4dc04638392,True,True,True,True,True,True
18,2,cinder_garden,4,4,4,4,4,4,0,bd33d0ffa8b70467,True,True,True,True,True,True
27,2,glass_harbor,4,5,5,5,5,5,0,0e01b1d25f925c73,True,True,True,True,True,True
36,3,glass_harbor,5,7,7,7,7,7,0,9fd16e9ce65b6d8d,True,True,True,True,True,False
45,3,moss_ward,5,9,9,9,9,9,2,f861e3e6e77e6bc1,True,True,True,True,True,True
54,4,moss_ward,6,11,11,11,11,11,3,e53ab2eea41ee571,True,True,True,True,True,True
63,4,orchid_engine,5,13,13,13,13,13,4,82917bade9f10ddd,True,True,True,True,True,True
72,5,orchid_engine,6,15,15,15,15,15,4,9efa5ffd4a24c542,True,True,True,True,True,True
81,5,lichen_bridge,5,17,17,17,17,17,4,b5dd54d745855c19,True,True,True,True,True,True
90,6,lichen_bridge,6,19,19,19,19,19,5,81a7fd3af6b433eb,True,True,True,True,True,True
99,6,cinder_garden,5,20,20,20,20,20,3,a703fa62e35b246a,True,True,True,True,True,True
108,7,cinder_garden,6,22,22,22,22,22,3,6bed8ee780a48c75,True,True,True,True,True,True
117,7,glass_harbor,6,23,23,23,23,23,4,75c8a450a9a3a143,True,True,True,True,True,True
126,8,glass_harbor,7,25,25,25,25,25,4,6c4038c7a17f95fe,True,True,True,True,True,True
135,8,moss_ward,7,27,27,27,27,27,5,77ccb6e117e9bfb7,True,True,True,True,True,True
144,9,moss_ward,8,29,29,29,29,29,6,eac340662789eef3,True,True,True,True,True,True
153,9,orchid_engine,7,31,31,31,31,31,8,8164d329559da020,True,True,True,True,True,True
162,10,orchid_engine,8,33,33,33,33,33,8,e49b79e07b236569,True,True,True,True,True,True
171,10,lichen_bridge,7,35,35,35,35,35,8,8039856d853b74e9,True,True,True,True,True,True
180,11,lichen_bridge,8,37,37,37,37,37,9,c36e92ba798e0107,True,True,True,True,True,True
189,11,cinder_garden,7,38,38,38,38,38,6,d6092e4bef009278,True,True,True,True,True,True
198,12,cinder_garden,8,40,40,40,40,40,6,1ade829c6ac189f0,True,True,True,True,True,True
207,12,glass_harbor,8,41,41,41,41,41,8,0fe93b4cc2fbf89a,True,True,True,True,True,True
216,13,glass_harbor,9,43,43,43,43,43,8,f36bd1b9bd870670,True,True,True,True,True,True
225,13,moss_ward,9,45,45,45,45,45,8,292cfee3039be0f9,True,True,True,True,True,True
234,14,moss_ward,10,47,47,47,47,47,9,96c0eca490b83d6e,True,True,True,True,True,True
243,14,orchid_engine,9,49,49,49,49,49,12,84d2457d07dc3bde,True,True,True,True,True,True
252,15,orchid_engine,10,51,51,51,51,51,12,74c147956555d668,True,True,True,True,True,True
261,15,lichen_bridge,9,53,53,53,53,53,12,de37a8df40ffc873,True,True,True,True,True,True
270,16,lichen_bridge,10,55,55,55,55,55,13,c2900d2c877d2510,True,True,True,True,True,True
279,16,cinder_garden,9,56,56,56,56,56,9,c897456bfbc6ec09,True,True,True,True,True,True
288,17,cinder_garden,10,58,58,58,58,58,9,f0b0a9088c7762e1,True,True,True,True,True,True
297,17,glass_harbor,10,59,59,59,59,59,12,a8e0edc0aa1303e6,True,True,True,True,True,True
306,18,glass_harbor,11,61,61,61,61,61,12,1e90590d1c591683,True,True,True,True,True,True
315,18,moss_ward,11,63,63,63,63,63,11,24249377fe64a276,True,True,True,True,True,True
324,19,moss_ward,12,65,65,65,65,65,12,9c003e3502edc548,True,True,True,True,True,True
333,19,orchid_engine,11,67,67,67,67,67,16,73cc575d9bdd9930,True,True,True,True,True,True
342,20,orchid_engine,12,69,69,69,69,69,16,e463c2d7c20ceac6,True,True,True,True,True,True
351,20,lichen_bridge,11,71,71,71,71,71,16,248fc50c6338a645,True,True,True,True,True,True
360,21,lichen_bridge,12,73,73,73,73,73,17,57f17c5a8b370452,True,True,True,True,True,True
369,21,cinder_garden,11,74,74,74,74,74,12,9b7e8297b5cafb5f,True,True,True,True,True,True
378,22,cinder_garden,12,76,76,76,76,76,12,72717c81cbd1f595,True,True,True,True,True,True
387,22,glass_harbor,12,77,77,77,77,77,16,32adacc787204f7e,True,True,True,True,True,True
396,23,glass_harbor,13,79,79,79,79,79,16,0bfead4f3836da11,True,True,True,True,True,True
405,23,moss_ward,13,81,81,81,81,81,14,4ce71cbf8fa221f3,True,True,True,True,True,True
414,24,moss_ward,14,83,83,83,83,83,15,a42e63b0fc313166,True,True,True,True,True,True
423,24,orchid_engine,13,85,85,85,85,85,20,8dce610487508d5b,True,True,True,True,True,True
432,25,orchid_engine,14,87,87,87,87,87,20,016af3bf73c01028,True,True,True,True,True,True
441,25,lichen_bridge,13,89,89,89,89,89,20,6c8491f4c247613e,True,True,True,True,True,True
450,26,lichen_bridge,14,91,91,91,91,91,21,ad2a0b5d51e8612a,True,True,True,True,True,True
459,26,cinder_garden,13,92,92,92,92,92,15,22cf32208b712ba2,True,True,True,True,True,True
468,27,cinder_garden,14,94,94,94,94,94,15,a6e9c99237f36429,True,True,True,True,True,True
477,27,glass_harbor,14,95,95,95,95,95,20,39240afc6b0aeafc,True,True,True,True,True,True
486,28,glass_harbor,15,97,97,97,97,97,20,a126382af45c9a5b,True,True,True,True,True,True
495,28,moss_ward,15,99,99,99,99,99,17,1ea52a9d90d24e65,True,True,True,True,True,True
504,29,moss_ward,16,101,101,101,101,101,18,4d246c85456c00f6,True,True,True,True,True,True
513,29,orchid_engine,15,103,103,103,103,103,24,712e785d79a22ac9,True,True,True,True,True,True
522,30,orchid_engine,16,105,105,105,105,105,24,5a537f9bac4e95b3,True,True,True,True,True,True
531,30,lichen_bridge,15,107,107,107,107,107,24,77822779c58fa3ce,True,True,True,True,True,True
540,31,lichen_bridge,16,109,109,109,109,109,25,534fbde16c788192,True,True,True,True,True,True
549,31,cinder_garden,15,110,110,110,110,110,18,2898163e59579c3a,True,True,True,True,True,True
558,32,cinder_garden,16,112,112,112,112,112,18,0b3badb172660629,True,True,True,True,True,True
567,32,glass_harbor,16,113,113,113,113,113,24,0052d49503c4fa24,True,True,True,True,True,True
576,33,glass_harbor,17,115,115,115,115,115,24,c4ed43f83e7a9b8e,True,True,True,True,True,True
585,33,moss_ward,17,117,117,117,117,117,20,9ab317b1544fd1a9,True,True,True,True,True,True
594,34,moss_ward,18,119,119,119,119,119,21,d0ddcb745423a866,True,True,True,True,True,True
603,34,orchid_engine,17,121,121,121,121,121,28,410134156b371a47,True,True,True,True,True,True
612,35,orchid_engine,18,123,123,123,123,123,28,884065c8fb8774a7,True,True,True,True,True,True
621,35,lichen_bridge,17,125,125,125,125,125,28,367ae948b1f57316,True,True,True,True,True,True
630,36,lichen_bridge,18,127,127,127,127,127,29,bf913cc7fa32995e,True,True,True,True,True,True
639,36,cinder_garden,17,128,128,128,128,128,21,c512db19032daef5,True,True,True,True,True,True
648,37,cinder_garden,18,130,130,130,130,130,21,f7cb8085339897f3,True,True,True,True,True,True
657,37,glass_harbor,18,131,131,131,131,131,28,69889c589405a774,True,True,True,True,True,True
666,38,glass_harbor,19,133,133,133,133,133,28,ba4f75c481585b89,True,True,True,True,True,True
675,38,moss_ward,19,135,135,135,135,135,23,3a09df8996ab8102,True,True,True,True,True,True
684,39,moss_ward,20,137,137,137,137,137,24,0a7b70eff25a38a5,True,True,True,True,True,True
693,39,orchid_engine,19,139,139,139,139,139,32,6c37239648508820,True,True,True,True,True,True
702,40,orchid_engine,20,141,141,141,141,141,32,4d1efcc1f138ea40,True,True,True,True,True,True
711,40,lichen_bridge,19,143,143,143,143,143,32,33ca0d96a37e4d82,True,True,True,True,True,True
720,41,lichen_bridge,20,145,145,145,145,145,33,6aebc52ebcbc03e3,True,True,True,True,True,True
729,41,cinder_garden,19,146,146,146,146,146,24,2d97302a5806b055,True,True,True,True,True,True
738,42,cinder_garden,20,148,148,148,148,148,24,f217b702a3bd49e7,True,True,True,True,True,True
747,42,glass_harbor,20,149,149,149,149,149,32,500cb914769c2c26,True,True,True,True,True,True
756,43,glass_harbor,21,151,151,151,151,151,32,c6a4097510f08cd3,True,True,True,True,True,True
765,43,moss_ward,21,153,153,153,153,153,26,70cf3591641e8249,True,True,True,True,True,True
774,44,moss_ward,22,155,155,155,155,155,27,1951d89de6957008,True,True,True,True,True,True
783,44,orchid_engine,21,157,157,157,157,157,36,11eb360386446b76,True,True,True,True,True,True
792,45,orchid_engine,22,159,159,159,159,159,36,75d5c2499ed11357,True,True,True,True,True,True
801,45,lichen_bridge,21,161,161,161,161,161,36,f65151b07b9e912c,True,True,True,True,True,True
810,46,lichen_bridge,22,163,163,163,163,163,37,0c84c9ecb0a17e58,True,True,True,True,True,True
819,46,cinder_garden,21,164,164,164,164,164,27,644c9dc004caf378,True,True,True,True,True,True
828,47,cinder_garden,22,166,166,166,166,166,27,4e0fb918cd8b7e64,True,True,True,True,True,True
837,47,glass_harbor,22,167,167,167,167,167,36,ad0a2b9a948a157e,True,True,True,True,True,True
846,48,glass_harbor,23,169,169,169,169,169,36,faaab3862f345aa6,True,True,True,True,True,True
855,48,moss_ward,23,171,171,171,171,171,29,c013bf14f23c6416,True,True,True,True,True,True
864,49,moss_ward,24,173,173,173,173,173,30,ba1c0b122a38caaa,True,True,True,True,True,True
873,49,orchid_engine,23,175,175,175,175,175,40,12fe5791123f5a13,True,True,True,True,True,True
882,50,orchid_engine,24,177,177,177,177,177,40,e88065da4f0e6fd7,True,True,True,True,True,True
891,50,lichen_bridge,23,179,179,179,179,179,40,b1a510a0cd6c5249,True,True,True,True,True,True
900,51,lichen_bridge,24,181,181,181,181,181,41,c9342f5e2d2ce02f,True,True,True,True,True,True
909,51,cinder_garden,23,182,182,182,182,182,30,a72adb09ae570b17,True,True,True,True,True,True
918,52,cinder_garden,24,184,184,184,184,184,30,affb346c63b80d34,True,True,True,True,True,True
927,52,glass_harbor,24,185,185,185,185,185,40,b852ed2c1e245098,True,True,True,True,True,True
936,53,glass_harbor,25,187,187,187,187,187,40,fe85cf401b468e35,True,True,True,True,True,True
945,53,moss_ward,25,189,189,189,189,189,32,6b5b5349cede9aa9,True,True,True,True,True,True
954,54,moss_ward,26,191,191,191,191,191,33,816534d1959da311,True,True,True,True,True,True
963,54,orchid_engine,25,193,193,193,193,193,44,25b61772c3acfe54,True,True,True,True,True,True
972,55,orchid_engine,26,195,195,195,195,195,44,adabe7cde865a41c,True,True,True,True,True,True
981,55,lichen_bridge,25,197,197,197,197,197,44,0802ac963d4b5d05,True,True,True,True,True,True
990,56,lichen_bridge,26,199,199,199,199,199,45,ffd5026acbb8cdcf,True,True,True,True,True,True
999,56,cinder_garden,25,200,200,200,200,200,33,ead75b6d24b29b54,True,True,True,True,True,True
1008,57,cinder_garden,26,202,202,202,202,202,33,16c87a457e13b80f,True,True,True,True,True,True
1017,57,glass_harbor,26,203,203,203,203,203,44,c26aebdb3f7a9569,True,True,True,True,True,True
1026,58,glass_harbor,27,205,205,205,205,205,44,ce4a0619d502b347,True,True,True,True,True,True
1035,58,moss_ward,27,207,207,207,207,207,35,df87c703bc8e45b9,True,True,True,True,True,True
1044,59,moss_ward,28,209,209,209,209,209,36,6978b33385ff55fe,True,True,True,True,True,True
