tick_id,day,settlement_id,reload_index,phrasebook_count,gesture_count,question_count,sensory_count,memory_count,checksum,restored_phrasebook_visible,restored_gesture_visible,restored_question_visible,restored_sensory_visible,restored_memory_visible,replay_exportable
0,1,glass_harbor,1,1,1,1,1,1,377663c5c3e318d3,True,True,True,True,True,True
1,1,cinder_garden,1,1,0,0,1,1,37ee7f6a618a3dce,True,True,True,True,True,True
2,1,lichen_bridge,1,1,1,0,1,1,e2629d43de5dd031,True,True,True,True,True,True
3,1,orchid_engine,1,1,0,1,1,1,65607662f04c2545,True,True,True,True,True,True
4,1,moss_ward,1,1,1,1,1,1,3a82ac5b05ccd379,True,True,True,True,True,True
5,1,glass_harbor,2,2,2,1,2,2,25662dde2b3ba626,True,True,True,True,True,True
6,1,cinder_garden,2,2,1,1,2,2,ea467fe5e56a51ee,True,True,True,True,True,True
7,1,lichen_bridge,2,2,1,0,2,2,70d246d81c298157,True,True,True,True,True,True
8,1,orchid_engine,2,2,1,1,2,2,fe53b43e6c2f1500,True,True,True,True,True,True
9,1,moss_ward,2,2,1,2,2,2,888765a4393bf3fb,True,True,True,True,True,True
10,1,glass_harbor,3,3,3,2,3,3,4d7c6e6c35090b54,True,True,True,True,True,True
11,1,cinder_garden,3,3,2,1,3,3,5427257e7b0ec99b,True,True,True,True,True,True
12,1,lichen_bridge,3,3,2,1,3,3,333997a84a4e211c,True,True,True,True,True,True
13,1,orchid_engine,3,3,1,1,3,3,c81e67bd11065bb6,True,True,True,True,True,True
14,1,moss_ward,3,3,2,2,3,3,a4afda8f0d682f1f,True,True,True,True,True,True
15,1,glass_harbor,4,4,3,3,4,4,d99591a444cf968d,True,True,True,True,True,True
16,1,cinder_garden,4,4,3,2,4,4,b80c50a7dd9ccfa7,True,True,True,True,True,True
17,1,lichen_bridge,4,4,3,1,4,4,2a93aef4a17bb58e,True,True,True,True,True,True
18,2,moss_ward,4,4,3,3,4,4,9fe619798e6576fc,True,True,True,True,True,True
27,2,orchid_engine,4,5,2,2,5,5,57feabbd09bef4ab,True,True,True,True,True,True
36,3,orchid_engine,5,7,4,3,7,7,4d5f78ed537a23b5,True,True,True,True,True,True
45,3,lichen_bridge,5,9,6,4,9,9,2719ead2caa094ef,True,True,True,True,True,True
54,4,lichen_bridge,6,11,8,6,11,11,6b848eb0e470eb81,True,True,True,True,True,True
63,4,cinder_garden,5,13,8,7,13,13,c981c977b00382e5,True,True,True,True,True,True
72,5,cinder_garden,6,15,10,8,15,15,a01024e022115569,True,True,True,True,True,True
81,5,glass_harbor,5,17,9,10,17,17,a0b51132ea2a3eb6,True,True,True,True,True,True
90,6,glass_harbor,6,19,11,12,19,19,c0a4644258b52bbc,True,True,True,True,True,True
99,6,moss_ward,5,20,11,12,20,20,0c3ae2a95f78f05d,True,True,True,True,True,True
108,7,moss_ward,6,22,13,13,22,22,e1eeeaa2105ad264,True,True,True,True,True,True
117,7,orchid_engine,6,23,13,13,23,23,a1ef166b95d3b12d,True,True,True,True,True,True
126,8,orchid_engine,7,25,15,14,25,25,94b9cff4e16b6b33,True,True,True,True,True,True
135,8,lichen_bridge,7,27,16,13,27,27,4cbb6a56827a6c18,True,True,True,True,True,True
144,9,lichen_bridge,8,29,18,14,29,29,5ce997aecbaa8862,True,True,True,True,True,True
153,9,cinder_garden,7,31,19,16,31,31,a27843bc050505f4,True,True,True,True,True,True
162,10,cinder_garden,8,33,21,18,33,33,a61c16ac33d76ced,True,True,True,True,True,True
171,10,glass_harbor,7,35,20,21,35,35,2ad50550c424efd8,True,True,True,True,True,True
180,11,glass_harbor,8,37,22,22,37,37,5816779efcd04a85,True,True,True,True,True,True
189,11,moss_ward,7,38,21,22,38,38,b96093fa08911b8c,True,True,True,True,True,True
198,12,moss_ward,8,40,23,24,40,40,b8bcc0fc27a31b2c,True,True,True,True,True,True
207,12,orchid_engine,8,41,23,23,41,41,fc1437f17028937c,True,True,True,True,True,True
216,13,orchid_engine,9,43,25,24,43,43,015d24424d067630,True,True,True,True,True,True
225,13,lichen_bridge,9,45,27,24,45,45,9769962335f3a601,True,True,True,True,True,True
234,14,lichen_bridge,10,47,29,25,47,47,0bdab02a62c725eb,True,True,True,True,True,True
243,14,cinder_garden,9,49,29,25,49,49,630ddecaf93b6ad8,True,True,True,True,True,True
252,15,cinder_garden,10,51,31,26,51,51,2b7a2af4dcbbf01f,True,True,True,True,True,True
261,15,glass_harbor,9,53,31,30,53,53,512615408a9f1352,True,True,True,True,True,True
270,16,glass_harbor,10,55,33,32,55,55,387181b9562d1807,True,True,True,True,True,True
279,16,moss_ward,9,56,32,33,56,56,3fa3eff5da4754a9,True,True,True,True,True,True
288,17,moss_ward,10,58,34,34,58,58,ecca437b7cf9dab4,True,True,True,True,True,True
297,17,orchid_engine,10,59,33,33,59,59,b511f4d39f72ebda,True,True,True,True,True,True
306,18,orchid_engine,11,61,35,35,61,61,62b0854e490f16fc,True,True,True,True,True,True
315,18,lichen_bridge,11,63,37,34,63,63,8e35e2dc1cb8e581,True,True,True,True,True,True
324,19,lichen_bridge,12,65,39,35,65,65,f254bb0fce4c36a2,True,True,True,True,True,True
333,19,cinder_garden,11,67,40,36,67,67,e1801153d06fb45d,True,True,True,True,True,True
342,20,cinder_garden,12,69,42,37,69,69,11c97d8b02057f0e,True,True,True,True,True,True
351,20,glass_harbor,11,71,41,39,71,71,11d53bcec51c3be4,True,True,True,True,True,True
360,21,glass_harbor,12,73,43,40,73,73,e5f8bd436a1994a1,True,True,True,True,True,True
369,21,moss_ward,11,74,43,42,74,74,6ddca4c69b4173b7,True,True,True,True,True,True
378,22,moss_ward,12,76,45,44,76,76,194dc5fda8d9ab7d,True,True,True,True,True,True
387,22,orchid_engine,12,77,44,44,77,77,787f60597f546648,True,True,True,True,True,True
396,23,orchid_engine,13,79,46,45,79,79,7c98d403bf156679,True,True,True,True,True,True
405,23,lichen_bridge,13,81,47,44,81,81,aa70bdc8b4f00383,True,True,True,True,True,True
414,24,lichen_bridge,14,83,49,46,83,83,f5bdf2cb024187b1,True,True,True,True,True,True
423,24,cinder_garden,13,85,50,46,85,85,6f8746a6a757f8bb,True,True,True,True,True,True
432,25,cinder_garden,14,87,52,47,87,87,78f850cb5edbdae4,True,True,True,True,True,True
441,25,glass_harbor,13,89,52,50,89,89,2d27353356bff82a,True,True,True,True,True,True
450,26,glass_harbor,14,91,54,51,91,91,e5f4b7608b7d5bbd,True,True,True,True,True,True
459,26,moss_ward,13,92,53,51,92,92,4c9230b52b01980d,True,True,True,True,True,True
468,27,moss_ward,14,94,55,52,94,94,b35ac707c705c00b,True,True,True,True,True,True
477,27,orchid_engine,14,95,55,53,95,95,d17c8800971c6810,True,True,True,True,True,True
486,28,orchid_engine,15,97,57,55,97,97,82349ddefd7ef9be,True,True,True,True,True,True
495,28,lichen_bridge,15,99,58,55,99,99,64d6a352f92bb818,True,True,True,True,True,True
504,29,lichen_bridge,16,101,60,56,101,101,8d7339470cc2916f,True,True,True,True,True,True
513,29,cinder_garden,15,103,60,56,103,103,651de440d8dd5a7a,True,True,True,True,True,True
522,30,cinder_garden,16,105,62,58,105,105,b1357d2251baa4a0,True,True,True,True,True,True
531,30,glass_harbor,15,107,62,60,107,107,8577879cd1d402c2,True,True,True,True,True,True
540,31,glass_harbor,16,109,64,61,109,109,28b965e28dc0a8cb,True,True,True,True,True,True
549,31,moss_ward,15,110,64,62,110,110,1103b9dc80d7d580,True,True,True,True,True,True
558,32,moss_ward,16,112,66,63,112,112,54de39140c5333c3,True,True,True,True,True,True
567,32,orchid_engine,16,113,65,62,113,113,93e0d7d32b580021,True,True,True,True,True,True
576,33,orchid_engine,17,115,67,63,115,115,60285a5f63388223,True,True,True,True,True,True
585,33,lichen_bridge,17,117,69,64,117,117,a3265f438560aac8,True,True,True,True,True,True
594,34,lichen_bridge,18,119,71,66,119,119,7922b2b7aa68915d,True,True,True,True,True,True
603,34,cinder_garden,17,121,71,67,121,121,0127e15e597d2964,True,True,True,True,True,True
612,35,cinder_garden,18,123,73,68,123,123,a3f91942e803bfac,True,True,True,True,True,True
621,35,glass_harbor,17,125,72,70,125,125,a1ba59ef96d67503,True,True,True,True,True,True
630,36,glass_harbor,18,127,74,72,127,127,0e74dd6059a65a6c,True,True,True,True,True,True
639,36,moss_ward,17,128,74,72,128,128,0eb4ec8bcd44ed01,True,True,True,True,True,True
648,37,moss_ward,18,130,76,73,130,130,86cf45f09b8eb0ba,True,True,True,True,True,True
657,37,orchid_engine,18,131,76,73,131,131,c59617cbcc825d50,True,True,True,True,True,True
666,38,orchid_engine,19,133,78,74,133,133,072c6fb193e86972,True,True,True,True,True,True
675,38,lichen_bridge,19,135,79,73,135,135,54fa168076ddd1e1,True,True,True,True,True,True
684,39,lichen_bridge,20,137,81,74,137,137,b892c97c606b26c6,True,True,True,True,True,True
693,39,cinder_garden,19,139,82,76,139,139,24b257c5f96be021,True,True,True,True,True,True
702,40,cinder_garden,20,141,84,78,141,141,4cb6a51931b3c213,True,True,True,True,True,True
711,40,glass_harbor,19,143,83,81,143,143,50c447c2190249c7,True,True,True,True,True,True
720,41,glass_harbor,20,145,85,82,145,145,b53bc2e42e96d405,True,True,True,True,True,True
729,41,moss_ward,19,146,84,82,146,146,0f858ee4057af6fa,True,True,True,True,True,True
738,42,moss_ward,20,148,86,84,148,148,550ba8d93a58dd72,True,True,True,True,True,True
747,42,orchid_engine,20,149,86,83,149,149,65c94faeed033f98,True,True,True,True,True,True
756,43,orchid_engine,21,151,88,84,151,151,650c984e1f297a29,True,True,True,True,True,True
765,43,lichen_bridge,21,153,90,84,153,153,3fdfc922662b63d6,True,True,True,True,True,True
774,44,lichen_bridge,22,155,92,85,155,155,7fac91669fd6b0ad,True,True,True,True,True,True
783,44,cinder_garden,21,157,92,85,157,157,686f750ee0844cfc,True,True,True,True,True,True
792,45,cinder_garden,22,159,94,86,159,159,a87c4e3deffd052f,True,True,True,True,True,True
801,45,glass_harbor,21,161,94,90,161,161,1203c17d1cd1c0aa,True,True,True,True,True,True
810,46,glass_harbor,22,163,96,92,163,163,82f77f5c4a266945,True,True,True,True,True,True
819,46,moss_ward,21,164,95,93,164,164,7d38c9bf95a716d8,True,True,True,True,True,True
828,47,moss_ward,22,166,97,94,166,166,d0c398be9bd04a31,True,True,True,True,True,True
837,47,orchid_engine,22,167,96,93,167,167,b51cc352344da779,True,True,True,True,True,True
846,48,orchid_engine,23,169,98,95,169,169,5a04220aafa69c42,True,True,True,True,True,True
855,48,lichen_bridge,23,171,100,94,171,171,331f60a26c46ddf5,True,True,True,True,True,True
864,49,lichen_bridge,24,173,102,95,173,173,e0a9b308ee869ee9,True,True,True,True,True,True
873,49,cinder_garden,23,175,103,96,175,175,24b087ada3476ca4,True,True,True,True,True,True
882,50,cinder_garden,24,177,105,97,177,177,ce98a71dab003363,True,True,True,True,True,True
891,50,glass_harbor,23,179,104,99,179,179,7b0d3191600d2996,True,True,True,True,True,True
900,51,glass_harbor,24,181,106,100,181,181,e00fff1b7ce901b4,True,True,True,True,True,True
909,51,moss_ward,23,182,106,102,182,182,b39f7347e333930b,True,True,True,True,True,True
918,52,moss_ward,24,184,108,104,184,184,dcdaf1c33fb84b9b,True,True,True,True,True,True
927,52,orchid_engine,24,185,107,104,185,185,b4b59cf595a1039c,True,True,True,True,True,True
936,53,orchid_engine,25,187,109,105,187,187,d2569fc50b090420,True,True,True,True,True,True
945,53,lichen_bridge,25,189,110,104,189,189,d39f0b39f2b5a8ad,True,True,True,True,True,True
954,54,lichen_bridge,26,191,112,106,191,191,3f06f44c77d42baf,True,True,True,True,True,True
963,54,cinder_garden,25,193,113,106,193,193,9a68069feca6f539,True,True,True,True,True,True
972,55,cinder_garden,26,195,115,107,195,195,57f9c69045ec04e4,True,True,True,True,True,True
981,55,glass_harbor,25,197,115,110,197,197,91fe3284cf86c990,True,True,True,True,True,True
990,56,glass_harbor,26,199,117,111,199,199,a18f5acbfe342e61,True,True,True,True,True,True
999,56,moss_ward,25,200,116,111,200,200,4eecdd73cb0205fd,True,True,True,True,True,True
1008,57,moss_ward,26,202,118,112,202,202,747c128522360d5f,True,True,True,True,True,True
1017,57,orchid_engine,26,203,118,113,203,203,9f27cc3ce13470e5,True,True,True,True,True,True
1026,58,orchid_engine,27,205,120,115,205,205,2e688c9aeb7daa1b,True,True,True,True,True,True
1035,58,lichen_bridge,27,207,121,115,207,207,a415bc14e2685290,True,True,True,True,True,True
1044,59,lichen_bridge,28,209,123,116,209,209,2183e8d95bccf19b,True,True,True,True,True,True
1053,59,cinder_garden,27,211,123,116,211,211,6c1bdb60cf095d07,True,True,True,True,True,True
1062,60,cinder_garden,28,213,125,118,213,213,690c05fa71921df2,True,True,True,True,True,True
1071,60,glass_harbor,27,215,125,120,215,215,386e1ccddba49327,True,True,True,True,True,True
1080,61,glass_harbor,28,217,127,121,217,217,f0fbb71ed82f1814,True,True,True,True,True,True
1089,61,moss_ward,27,218,127,122,218,218,e3634e2267791ef9,True,True,True,True,True,True
1098,62,moss_ward,28,220,129,123,220,220,588683f0219a24ce,True,True,True,True,True,True
1107,62,orchid_engine,28,221,128,122,221,221,585009e98ee001a9,True,True,True,True,True,True
1116,63,orchid_engine,29,223,130,123,223,223,beb6da35720ca2d7,True,True,True,True,True,True
1125,63,lichen_bridge,29,225,132,124,225,225,5a530618b9e1a0aa,True,True,True,True,True,True
1134,64,lichen_bridge,30,227,134,126,227,227,a034ba6411c952e6,True,True,True,True,True,True
1143,64,cinder_garden,29,229,134,127,229,229,c86379fc11c7387a,True,True,True,True,True,True
1152,65,cinder_garden,30,231,136,128,231,231,da944346b39a26ea,True,True,True,True,True,True
1161,65,glass_harbor,29,233,135,130,233,233,3949a661fdb16ea5,True,True,True,True,True,True
1170,66,glass_harbor,30,235,137,132,235,235,0ffe136a17ce6f2f,True,True,True,True,True,True
1179,66,moss_ward,29,236,137,132,236,236,9bd937d2ffda3d5f,True,True,True,True,True,True
1188,67,moss_ward,30,238,139,133,238,238,26679fd6217b55f8,True,True,True,True,True,True
1197,67,orchid_engine,30,239,139,133,239,239,81971a38aa9a97cf,True,True,True,True,True,True
1206,68,orchid_engine,31,241,141,134,241,241,69e49491f8989a67,True,True,True,True,True,True
1215,68,lichen_bridge,31,243,142,133,243,243,52154e94c20362c4,True,True,True,True,True,True
1224,69,lichen_bridge,32,245,144,134,245,245,242984170a7db8d3,True,True,True,True,True,True
1233,69,cinder_garden,31,247,145,136,247,247,1a0c6e4b35b903b7,True,True,True,True,True,True
1242,70,cinder_garden,32,249,147,138,249,249,05b95d09eab73a76,True,True,True,True,True,True
1251,70,glass_harbor,31,251,146,141,251,251,5f29d629a4f867b0,True,True,True,True,True,True
1260,71,glass_harbor,32,253,148,142,253,253,99291960702df61b,True,True,True,True,True,True
1269,71,moss_ward,31,254,147,142,254,254,4dc26dbe888be09a,True,True,True,True,True,True
1278,72,moss_ward,32,256,149,144,256,256,59b53ddde23c98d3,True,True,True,True,True,True
1287,72,orchid_engine,32,257,149,143,257,257,d0e77bef469bb241,True,True,True,True,True,True
1296,73,orchid_engine,33,259,151,144,259,259,c599415281e1dc80,True,True,True,True,True,True
1305,73,lichen_bridge,33,261,153,144,261,261,900efa9e975829bc,True,True,True,True,True,True
1314,74,lichen_bridge,34,263,155,145,263,263,cb172fa118ba571f,True,True,True,True,True,True
1323,74,cinder_garden,33,265,155,145,265,265,a12fbeb15fb9e556,True,True,True,True,True,True
1332,75,cinder_garden,34,267,157,146,267,267,82acf5f4ce320e6f,True,True,True,True,True,True
1341,75,glass_harbor,33,269,157,150,269,269,4faa5f513ce5a966,True,True,True,True,True,True
1350,76,glass_harbor,34,271,159,152,271,271,d7fee1d562528873,True,True,True,True,True,True
1359,76,moss_ward,33,272,158,153,272,272,741a953bf7a2e344,True,True,True,True,True,True
1368,77,moss_ward,34,274,160,154,274,274,0ff2e4f63b683f29,True,True,True,True,True,True
1377,77,orchid_engine,34,275,159,153,275,275,5e489d1354db38c1,True,True,True,True,True,True
1386,78,orchid_engine,35,277,161,155,277,277,067407f12465839c,True,True,True,True,True,True
1395,78,lichen_bridge,35,279,163,154,279,279,32731b5d2814332f,True,True,True,True,True,True
1404,79,lichen_bridge,36,281,165,155,281,281,eba09596aa9735ea,True,True,True,True,True,True
1413,79,cinder_garden,35,283,166,156,283,283,ba456d9add95743d,True,True,True,True,True,True
1422,80,cinder_garden,36,285,168,157,285,285,a6264f7e9165d562,True,True,True,True,True,True
1431,80,glass_harbor,35,287,167,159,287,287,b949a8a4ef70b50e,True,True,True,True,True,True
1440,81,glass_harbor,36,289,169,160,289,289,df4ab63b9c2ece95,True,True,True,True,True,True
1449,81,moss_ward,35,290,169,162,290,290,6a6a9ae1a5beac68,True,True,True,True,True,True
1458,82,moss_ward,36,292,171,164,292,292,4933e72eaa7a1425,True,True,True,True,True,True
1467,82,orchid_engine,36,293,170,164,293,293,4a1bf38949ec5c72,True,True,True,True,True,True
1476,83,orchid_engine,37,295,172,165,295,295,6998bc7affcedbe9,True,True,True,True,True,True
1485,83,lichen_bridge,37,297,173,164,297,297,ef3db46d4818d5ef,True,True,True,True,True,True
1494,84,lichen_bridge,38,299,175,166,299,299,9b187f8311bfaefa,True,True,True,True,True,True
1503,84,cinder_garden,37,301,176,166,301,301,85dcec4255b0b0c5,True,True,True,True,True,True
1512,85,cinder_garden,38,303,178,167,303,303,662e99e8e3dd4516,True,True,True,True,True,True
1521,85,glass_harbor,37,305,178,170,305,305,99c3806c7ca9c6dd,True,True,True,True,True,True
1530,86,glass_harbor,38,307,180,171,307,307,dab53bad68e615db,True,True,True,True,True,True
1539,86,moss_ward,37,308,179,171,308,308,bec98d64a7ca86d0,True,True,True,True,True,True
1548,87,moss_ward,38,310,181,172,310,310,4f01ca505f861dcf,True,True,True,True,True,True
1557,87,orchid_engine,38,311,181,173,311,311,751c1df92f0e1256,True,True,True,True,True,True
1566,88,orchid_engine,39,313,183,175,313,313,e39c3000b7071f74,True,True,True,True,True,True
1575,88,lichen_bridge,39,315,184,175,315,315,ed3ff6e56b5f3977,True,True,True,True,True,True
1584,89,lichen_bridge,40,317,186,176,317,317,13f1cc41e0206ed0,True,True,True,True,True,True
1593,89,cinder_garden,39,319,186,176,319,319,a9d371df6a444f24,True,True,True,True,True,True
1602,90,cinder_garden,40,321,188,178,321,321,3f0db3fc2acd8248,True,True,True,True,True,True
1611,90,glass_harbor,39,323,188,180,323,323,3bb6e1abbe808446,True,True,True,True,True,True
1620,91,glass_harbor,40,325,190,181,325,325,0bb4ce2839077a8f,True,True,True,True,True,True
1629,91,moss_ward,39,326,190,182,326,326,f3215ffa5c7c4965,True,True,True,True,True,True
1638,92,moss_ward,40,328,192,183,328,328,b9e32ec791bd9df4,True,True,True,True,True,True
1647,92,orchid_engine,40,329,191,182,329,329,68435be2afb4f8e0,True,True,True,True,True,True
1656,93,orchid_engine,41,331,193,183,331,331,f38f123c68b7dbc0,True,True,True,True,True,True
1665,93,lichen_bridge,41,333,195,184,333,333,544a3bc607887c26,True,True,True,True,True,True
1674,94,lichen_bridge,42,335,197,186,335,335,33a9d729339e5010,True,True,True,True,True,True
1683,94,cinder_garden,41,337,197,187,337,337,4d7ebdb59097b77c,True,True,True,True,True,True
1692,95,cinder_garden,42,339,199,188,339,339,0483f5f33c218691,True,True,True,True,True,True
1701,95,glass_harbor,41,341,198,190,341,341,b2464105e94d9c16,True,True,True,True,True,True
1710,96,glass_harbor,42,343,200,192,343,343,c3240917d325590b,True,True,True,True,True,True
1719,96,moss_ward,41,344,200,192,344,344,c91c751b30dd266f,True,True,True,True,True,True
1728,97,moss_ward,42,346,202,193,346,346,0cb6d4bb54f12c34,True,True,True,True,True,True
1737,97,orchid_engine,42,347,202,193,347,347,1e7508f847d927d4,True,True,True,True,True,True
1746,98,orchid_engine,43,349,204,194,349,349,ba852e797763b083,True,True,True,True,True,True
1755,98,lichen_bridge,43,351,205,193,351,351,47c412a14277f742,True,True,True,True,True,True
1764,99,lichen_bridge,44,353,207,194,353,353,a8a7821660a42e8e,True,True,True,True,True,True
1773,99,cinder_garden,43,355,208,196,355,355,5b2862c9cefcf7e6,True,True,True,True,True,True
1782,100,cinder_garden,44,357,210,198,357,357,e0ffe9eed4d28f5d,True,True,True,True,True,True
1791,100,glass_harbor,43,359,209,201,359,359,c5e6b5c0da03030c,True,True,True,True,True,True
1800,101,glass_harbor,44,361,211,202,361,361,2ea1ecd06c8ff2cc,True,True,True,True,True,True
1809,101,moss_ward,43,362,210,202,362,362,ed83c1e31ef0be05,True,True,True,True,True,True
1818,102,moss_ward,44,364,212,204,364,364,f4c9a92685735665,True,True,True,True,True,True
1827,102,orchid_engine,44,365,212,203,365,365,e69d7411c26d5ea1,True,True,True,True,True,True
1836,103,orchid_engine,45,367,214,204,367,367,8c61b9d84c45e4c6,True,True,True,True,True,True
1845,103,lichen_bridge,45,369,216,204,369,369,2353e5dd78f848d3,True,True,True,True,True,True
1854,104,lichen_bridge,46,371,218,205,371,371,0bc42e15931cd741,True,True,True,True,True,True
1863,104,cinder_garden,45,373,218,205,373,373,157b88a66bd82be1,True,True,True,True,True,True
1872,105,cinder_garden,46,375,220,206,375,375,fd874fc28ada4a93,True,True,True,True,True,True
1881,105,glass_harbor,45,377,220,210,377,377,bcf13b7ff3eaf1e8,True,True,True,True,True,True
1890,106,glass_harbor,46,379,222,212,379,379,5912c6d72671741c,True,True,True,True,True,True
1899,106,moss_ward,45,380,221,213,380,380,8ff2dcc90ecac314,True,True,True,True,True,True
1908,107,moss_ward,46,382,223,214,382,382,45cb1fca8a85c534,True,True,True,True,True,True
1917,107,orchid_engine,46,383,222,213,383,383,e5c4c9ca51dceb6b,True,True,True,True,True,True
1926,108,orchid_engine,47,385,224,215,385,385,049dfc44aacc092e,True,True,True,True,True,True
1935,108,lichen_bridge,47,387,226,214,387,387,75a5de285bc8d284,True,True,True,True,True,True
1944,109,lichen_bridge,48,389,228,215,389,389,152a139e50707320,True,True,True,True,True,True
1953,109,cinder_garden,47,391,229,216,391,391,a378a0bce8cfc84f,True,True,True,True,True,True
1962,110,cinder_garden,48,393,231,217,393,393,669d3f15b4fe5c5f,True,True,True,True,True,True
1971,110,glass_harbor,47,395,230,219,395,395,2f98509659965b8c,True,True,True,True,True,True
1980,111,glass_harbor,48,397,232,220,397,397,71bbd0b101362ae9,True,True,True,True,True,True
1989,111,moss_ward,47,398,232,222,398,398,7bece90b600943ba,True,True,True,True,True,True
1998,112,moss_ward,48,400,234,224,400,400,228c97a358128350,True,True,True,True,True,True
2007,112,orchid_engine,48,401,233,224,401,401,3c05ea0d7fa705ef,True,True,True,True,True,True
2016,113,orchid_engine,49,403,235,225,403,403,57bb6c0a49418671,True,True,True,True,True,True
2025,113,lichen_bridge,49,405,236,224,405,405,6d13f81f40e1544d,True,True,True,True,True,True
2034,114,lichen_bridge,50,407,238,226,407,407,2b397c9b235b8bf4,True,True,True,True,True,True
2043,114,cinder_garden,49,409,239,226,409,409,6b1836eb8d83d415,True,True,True,True,True,True
2052,115,cinder_garden,50,411,241,227,411,411,588aaba39457370d,True,True,True,True,True,True
2061,115,glass_harbor,49,413,241,230,413,413,c10cb1011b7607d7,True,True,True,True,True,True
2070,116,glass_harbor,50,415,243,231,415,415,54d7e4c7fa1e86c7,True,True,True,True,True,True
2079,116,moss_ward,49,416,242,231,416,416,b9e1bf0fcfbac55c,True,True,True,True,True,True
2088,117,moss_ward,50,418,244,232,418,418,e93e4b373f19b663,True,True,True,True,True,True
2097,117,orchid_engine,50,419,244,233,419,419,e66d9d4b6cfc39f4,True,True,True,True,True,True
2106,118,orchid_engine,51,421,246,235,421,421,79958ec83fc3b1b9,True,True,True,True,True,True
2115,118,lichen_bridge,51,423,247,235,423,423,c815b2d82d577b92,True,True,True,True,True,True
2124,119,lichen_bridge,52,425,249,236,425,425,589883156a89b0db,True,True,True,True,True,True
2133,119,cinder_garden,51,427,249,236,427,427,5c6c4001050c5482,True,True,True,True,True,True
2142,120,cinder_garden,52,429,251,238,429,429,192b543c7e591466,True,True,True,True,True,True
2151,120,glass_harbor,51,431,251,240,431,431,e8de1688df907618,True,True,True,True,True,True
2160,121,glass_harbor,52,433,253,241,433,433,be5740b88c4647e9,True,True,True,True,True,True
2169,121,moss_ward,51,434,253,242,434,434,b09cee0314e1ac02,True,True,True,True,True,True
2178,122,moss_ward,52,436,255,243,436,436,a846c9d6ea3a2502,True,True,True,True,True,True
2187,122,orchid_engine,52,437,254,242,437,437,4d9a416f898941e9,True,True,True,True,True,True
2196,123,orchid_engine,53,439,256,243,439,439,78af0bc76f710143,True,True,True,True,True,True
2205,123,lichen_bridge,53,441,258,244,441,441,0152dabc6682509a,True,True,True,True,True,True
2214,124,lichen_bridge,54,443,260,246,443,443,815b90b686b16c9d,True,True,True,True,True,True
2223,124,cinder_garden,53,445,260,247,445,445,ce569765989aaf35,True,True,True,True,True,True
2232,125,cinder_garden,54,447,262,248,447,447,5e9c39e2e6ece927,True,True,True,True,True,True
2241,125,glass_harbor,53,449,261,250,449,449,d87be7366af37e4f,True,True,True,True,True,True
