metric,value
source_v51_continuity,1.0
bounded_phrasebook_dialogue_trace,1.0
gesture_repair_trace,0.954920634920635
resident_initiated_question_trace,1.0
sensory_scene_control_trace,1.0
memory_safe_conversation_continuity,1.0
multi_reload_dialogue_integrity,0.9849397590361446
browser_v52_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_dialogue_binding,1.0
conversation_no_llm_boundary,1.0
phrasebook_not_open_ended_chat,0.842
browser_world_v52_surface,1.0
weakest_channel_name,phrasebook_not_open_ended_chat
mean_phrasebook_dialogue_channel_score,0.98322
weakest_channel_score,0.842
browser_world_v52_phrasebook_dialogue_readiness,0.940854
dialogue_day_count,150.0
phrasebook_dialogue_count,2700.0
gesture_repair_count,1575.0
resident_question_count,1500.0
sensory_scene_control_count,2700.0
memory_safe_conversation_count,2700.0
dialogue_reload_probe_count,332.0
browser_tick_count,2700.0
html_button_count,141.0
html_localstorage_handler_count,3.0
