metric,value
source_v53_continuity,1.0
schedulable_resident_project_trace,1.0
inventory_affecting_task_execution,1.0
tool_wear_and_maintenance_trace,1.0
failed_plan_recovery_trace,1.0
long_term_phrase_relationship_learning,1.0
multi_reload_project_integrity,1.0
browser_v54_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_project_binding,1.0
conversation_no_llm_boundary,1.0
execution_not_magic_inventory,0.842
browser_world_v54_surface,1.0
weakest_channel_name,execution_not_magic_inventory
mean_project_execution_channel_score,0.987846
weakest_channel_score,0.842
browser_world_v54_project_execution_readiness,0.944092
project_day_count,186.0
schedulable_resident_project_count,3348.0
inventory_affecting_task_count,3348.0
tool_wear_frame_count,3348.0
failed_plan_recovery_count,1708.0
long_term_phrase_relationship_count,3348.0
project_reload_probe_count,450.0
browser_tick_count,3348.0
html_button_count,255.0
html_localstorage_handler_count,3.0
