tick_id,day,settlement_id,resident_id,tool_name,wear_before,wear_after,maintenance_due,maintenance_action,maintenance_after,tool_wear_visible,maintenance_reduces_wear_when_due,tool_can_fail
0,1,glass_harbor,Oren,net shuttle,0.14,0.149,True,"file, oil, and schedule spare handoff",0.08,True,True,False
1,1,cinder_garden,Vale,calendar stylus,0.16,0.166,False,logged as usable,0.166,True,True,False
2,1,lichen_bridge,Sol,tension peg,0.12,0.126,False,logged as usable,0.126,True,True,False
3,1,orchid_engine,Bea,gear brush,0.14,0.146,False,logged as usable,0.146,True,True,False
4,1,moss_ward,Fay,ledger awl,0.16,0.166,False,logged as usable,0.166,True,True,False
5,1,glass_harbor,Puck,wick clamp,0.12,0.126,False,logged as usable,0.126,True,True,False
6,1,cinder_garden,Wren,basket hook,0.14,0.146,False,logged as usable,0.146,True,True,False
7,1,lichen_bridge,Kio,ledger punch,0.16,0.166,False,logged as usable,0.166,True,True,False
8,1,orchid_engine,Cai,valve key,0.12,0.126,False,logged as usable,0.126,True,True,False
9,1,moss_ward,Milo,loom hook,0.14,0.146,False,logged as usable,0.146,True,True,False
10,1,glass_harbor,Sera,rope gauge,0.16,0.166,False,logged as usable,0.166,True,True,False
11,1,cinder_garden,Juno,shade mallet,0.12,0.127,False,logged as usable,0.127,True,True,False
12,1,lichen_bridge,Luma,bell file,0.14,0.146,False,logged as usable,0.146,True,True,False
13,1,orchid_engine,Dax,lamp tongs,0.16,0.168,False,logged as usable,0.168,True,True,False
14,1,moss_ward,Tala,reed knife,0.12,0.126,False,logged as usable,0.126,True,True,False
15,1,glass_harbor,Nia,net shuttle,0.08,0.086,False,logged as usable,0.086,True,True,False
16,1,cinder_garden,Pax,calendar stylus,0.166,0.172,False,logged as usable,0.172,True,True,False
17,1,lichen_bridge,Rin,tension peg,0.126,0.132,False,logged as usable,0.132,True,True,False
18,2,moss_ward,Milo,ledger awl,0.166,0.172,False,logged as usable,0.172,True,True,False
19,2,glass_harbor,Sera,wick clamp,0.126,0.132,False,logged as usable,0.132,True,True,False
20,2,cinder_garden,Juno,basket hook,0.146,0.152,False,logged as usable,0.152,True,True,False
21,2,lichen_bridge,Luma,ledger punch,0.166,0.172,False,logged as usable,0.172,True,True,False
22,2,orchid_engine,Dax,valve key,0.126,0.133,False,logged as usable,0.133,True,True,False
23,2,moss_ward,Tala,loom hook,0.146,0.152,False,logged as usable,0.152,True,True,False
24,2,glass_harbor,Nia,rope gauge,0.166,0.172,False,logged as usable,0.172,True,True,False
25,2,cinder_garden,Pax,shade mallet,0.127,0.133,False,logged as usable,0.133,True,True,False
26,2,lichen_bridge,Rin,bell file,0.146,0.154,False,logged as usable,0.154,True,True,False
27,2,orchid_engine,Eli,lamp tongs,0.168,0.174,False,logged as usable,0.174,True,True,False
28,2,moss_ward,Ari,reed knife,0.126,0.132,False,logged as usable,0.132,True,True,False
29,2,glass_harbor,Oren,net shuttle,0.086,0.092,True,"file, oil, and schedule spare handoff",0.08,True,True,False
30,2,cinder_garden,Vale,calendar stylus,0.172,0.178,False,logged as usable,0.178,True,True,False
31,2,lichen_bridge,Sol,tension peg,0.132,0.138,False,logged as usable,0.138,True,True,False
32,2,orchid_engine,Bea,gear brush,0.146,0.152,False,logged as usable,0.152,True,True,False
33,2,moss_ward,Fay,ledger awl,0.172,0.179,False,logged as usable,0.179,True,True,False
34,2,glass_harbor,Puck,wick clamp,0.132,0.138,False,logged as usable,0.138,True,True,False
35,2,cinder_garden,Wren,basket hook,0.152,0.158,False,logged as usable,0.158,True,True,False
36,3,orchid_engine,Eli,valve key,0.133,0.139,False,logged as usable,0.139,True,True,False
37,3,moss_ward,Ari,loom hook,0.152,0.158,False,logged as usable,0.158,True,True,False
38,3,glass_harbor,Oren,rope gauge,0.172,0.178,False,logged as usable,0.178,True,True,False
39,3,cinder_garden,Vale,shade mallet,0.133,0.141,False,logged as usable,0.141,True,True,False
40,3,lichen_bridge,Sol,bell file,0.154,0.16,False,logged as usable,0.16,True,True,False
41,3,orchid_engine,Bea,lamp tongs,0.174,0.18,False,logged as usable,0.18,True,True,False
42,3,moss_ward,Fay,reed knife,0.132,0.138,False,logged as usable,0.138,True,True,False
43,3,glass_harbor,Puck,net shuttle,0.08,0.086,False,logged as usable,0.086,True,True,False
44,3,cinder_garden,Wren,calendar stylus,0.178,0.185,False,logged as usable,0.185,True,True,False
45,3,lichen_bridge,Kio,tension peg,0.138,0.144,False,logged as usable,0.144,True,True,False
46,3,orchid_engine,Cai,gear brush,0.152,0.158,False,logged as usable,0.158,True,True,False
47,3,moss_ward,Milo,ledger awl,0.179,0.185,False,logged as usable,0.185,True,True,False
48,3,glass_harbor,Sera,wick clamp,0.138,0.144,False,logged as usable,0.144,True,True,False
49,3,cinder_garden,Juno,basket hook,0.158,0.164,False,logged as usable,0.164,True,True,False
50,3,lichen_bridge,Luma,ledger punch,0.172,0.178,False,logged as usable,0.178,True,True,False
51,3,orchid_engine,Dax,valve key,0.139,0.145,False,logged as usable,0.145,True,True,False
52,3,moss_ward,Tala,loom hook,0.158,0.166,False,logged as usable,0.166,True,True,False
53,3,glass_harbor,Nia,rope gauge,0.178,0.184,False,logged as usable,0.184,True,True,False
54,4,lichen_bridge,Kio,bell file,0.16,0.166,False,logged as usable,0.166,True,True,False
55,4,orchid_engine,Cai,lamp tongs,0.18,0.187,False,logged as usable,0.187,True,True,False
56,4,moss_ward,Milo,reed knife,0.138,0.144,False,logged as usable,0.144,True,True,False
57,4,glass_harbor,Sera,net shuttle,0.086,0.092,False,logged as usable,0.092,True,True,False
58,4,cinder_garden,Juno,calendar stylus,0.185,0.191,True,"file, oil, and schedule spare handoff",0.08,True,True,False
59,4,lichen_bridge,Luma,tension peg,0.144,0.15,False,logged as usable,0.15,True,True,False
60,4,orchid_engine,Dax,gear brush,0.158,0.164,False,logged as usable,0.164,True,True,False
61,4,moss_ward,Tala,ledger awl,0.185,0.191,False,logged as usable,0.191,True,True,False
62,4,glass_harbor,Nia,wick clamp,0.144,0.15,False,logged as usable,0.15,True,True,False
63,4,cinder_garden,Pax,basket hook,0.164,0.17,False,logged as usable,0.17,True,True,False
64,4,lichen_bridge,Rin,ledger punch,0.178,0.184,False,logged as usable,0.184,True,True,False
65,4,orchid_engine,Eli,valve key,0.145,0.153,False,logged as usable,0.153,True,True,False
66,4,moss_ward,Ari,loom hook,0.166,0.173,False,logged as usable,0.173,True,True,False
