tick_id,day,session_id,settlement_id,resident_id,project_id,failure_mode,failure_trigger,work_integrity_before,work_integrity_after,recovery_action,recovery_option_visible,failed_work_not_erased,retry_available,relationship_damage_bounded,recovered_enough_to_continue
0,1,session-001,moss_ward,Milo,4f19e26857,wet footing,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
2,1,session-001,cinder_garden,Juno,9c5554028b,calendar mismatch,explicit recovery step,0.68,0.701,restore material,True,True,True,True,True
4,1,session-001,orchid_engine,Dax,8d36ca6708,gear jam,path/tool/material uncertainty,0.68,0.695,step back,True,True,True,True,True
6,1,session-001,glass_harbor,Nia,24a6670b6c,lamp sputter,path/tool/material uncertainty,0.68,0.695,swap worn tool,True,True,True,True,True
8,1,session-001,lichen_bridge,Rin,48fc2b7680,token shortage,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
9,1,session-001,orchid_engine,Eli,86759406ca,valve knock,explicit recovery step,0.68,0.701,step back,True,True,True,True,True
10,1,session-001,moss_ward,Ari,da0f22a6f5,cord snap,path/tool/material uncertainty,0.68,0.695,ask resident lead,True,True,True,True,True
12,1,session-001,cinder_garden,Vale,58b08d67ce,heat spike,path/tool/material uncertainty,0.68,0.695,restore material,True,True,True,True,True
14,1,session-001,orchid_engine,Bea,1a39418cc8,orchid dim,path/tool/material uncertainty,0.68,0.695,step back,True,True,True,True,True
15,1,session-001,moss_ward,Fay,cbe617b6af,wet footing,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
16,1,session-001,glass_harbor,Puck,19e61c2da4,net tear,explicit recovery step,0.68,0.695,swap worn tool,True,True,True,True,True
17,1,session-001,cinder_garden,Wren,b1df32837e,calendar mismatch,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
18,2,session-001,orchid_engine,Eli,a3b8dc6d55,gear jam,path/tool/material uncertainty,0.68,0.695,swap worn tool,True,True,True,True,True
19,2,session-001,moss_ward,Ari,2378d81ec8,ledger miscopy,explicit recovery step,0.68,0.701,restore material,True,True,True,True,True
20,2,session-001,glass_harbor,Oren,d2b7153668,lamp sputter,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
22,2,session-001,lichen_bridge,Sol,85cb036eb5,token shortage,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
24,2,session-001,moss_ward,Fay,6a7b5adb25,cord snap,path/tool/material uncertainty,0.68,0.695,restore material,True,True,True,True,True
26,2,session-001,cinder_garden,Wren,81aa359945,heat spike,explicit recovery step,0.68,0.701,step back,True,True,True,True,True
28,2,session-001,orchid_engine,Cai,2fe151eb17,orchid dim,path/tool/material uncertainty,0.68,0.695,swap worn tool,True,True,True,True,True
29,2,session-001,moss_ward,Milo,b03af16c10,wet footing,path/tool/material uncertainty,0.68,0.689,restore material,True,True,True,True,True
30,2,session-001,glass_harbor,Sera,768a4d2ad8,net tear,path/tool/material uncertainty,0.68,0.695,schedule retry,True,True,True,True,True
32,2,session-001,lichen_bridge,Luma,450c18baea,rope slack,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
33,2,session-001,orchid_engine,Dax,363676d602,gear jam,explicit recovery step,0.68,0.695,swap worn tool,True,True,True,True,True
34,2,session-001,moss_ward,Tala,572744cec7,ledger miscopy,path/tool/material uncertainty,0.68,0.695,restore material,True,True,True,True,True
36,3,session-001,lichen_bridge,Kio,096f63fbc9,token shortage,explicit recovery step,0.68,0.701,restore material,True,True,True,True,True
38,3,session-001,moss_ward,Milo,42164b006a,cord snap,path/tool/material uncertainty,0.68,0.695,step back,True,True,True,True,True
39,3,session-001,glass_harbor,Sera,b557cb5ab1,fog seal leak,path/tool/material uncertainty,0.68,0.689,ask resident lead,True,True,True,True,True
