tick_id,day,session_id,settlement_id,reload_index,canvas_event_count,path_animation_count,inventory_ui_count,tool_dispute_count,repair_step_count,phrase_consequence_count,checksum,restored_canvas_visible,restored_inventory_ui_visible,restored_tool_disputes_visible,restored_minigame_visible,restored_phrase_consequence_visible,replay_exportable
0,1,canvas-session-001,lichen_bridge,1,1,1,1,1,1,1,c7293126155768ed,True,True,True,True,True,True
1,1,canvas-session-001,orchid_engine,1,1,1,1,1,1,1,444145555656daf3,True,True,True,True,True,True
2,1,canvas-session-001,moss_ward,1,1,1,1,1,1,1,95e5af20968488ca,True,True,True,True,True,True
3,1,canvas-session-001,glass_harbor,1,1,1,1,1,1,1,33ca4aed33e9043f,True,True,True,True,True,True
4,1,canvas-session-001,cinder_garden,1,1,1,1,1,1,1,da7ea7ab1471736f,True,True,True,True,True,True
5,1,canvas-session-001,lichen_bridge,2,2,2,2,2,2,2,492e47e92fc316b1,True,True,True,True,True,True
6,1,canvas-session-001,orchid_engine,2,2,2,2,2,2,2,403a457f795e9e94,True,True,True,True,True,True
7,1,canvas-session-001,moss_ward,2,2,2,2,2,2,2,b0c4b2b877cf7ca9,True,True,True,True,True,True
8,1,canvas-session-001,glass_harbor,2,2,2,2,2,2,2,8426d6922f6a7bcb,True,True,True,True,True,True
9,1,canvas-session-001,cinder_garden,2,2,2,2,2,2,2,ac531c57c4d8662c,True,True,True,True,True,True
10,1,canvas-session-001,lichen_bridge,3,3,3,3,3,3,3,e2d01b9d64b7ca33,True,True,True,True,True,True
11,1,canvas-session-001,orchid_engine,3,3,3,3,3,3,3,12ee1a91987c8ee4,True,True,True,True,True,True
12,1,canvas-session-001,moss_ward,3,3,3,3,3,3,3,3662e1666bd131e0,True,True,True,True,True,True
13,1,canvas-session-001,glass_harbor,3,3,3,3,3,3,3,aa7061a6048ac494,True,True,True,True,True,True
14,1,canvas-session-001,cinder_garden,3,3,3,3,3,3,3,092a01afaa27f931,True,True,True,True,True,True
15,1,canvas-session-001,lichen_bridge,4,4,4,4,4,4,4,9267ffde395d530d,True,True,True,True,True,True
16,1,canvas-session-001,orchid_engine,4,4,4,4,4,4,4,8eb71a4e8f3d397a,True,True,True,True,True,True
17,1,canvas-session-001,moss_ward,4,4,4,4,4,4,4,5d53446e92feeda4,True,True,True,True,True,True
24,2,canvas-session-001,lichen_bridge,5,6,6,6,6,6,6,cfd5238c5c997a17,True,True,True,True,True,True
32,2,canvas-session-001,glass_harbor,4,6,6,6,6,6,6,602952d9058741ad,True,True,True,True,True,True
40,3,canvas-session-001,moss_ward,5,8,8,8,8,8,8,99e8f8522323ee85,True,True,True,True,True,True
48,3,canvas-session-001,lichen_bridge,6,11,11,11,11,11,11,98e2f9dddf872524,True,True,True,True,True,True
56,4,canvas-session-001,cinder_garden,4,12,12,12,12,12,12,8d77ab2104a388cf,True,True,True,True,True,True
64,4,canvas-session-001,moss_ward,6,13,13,13,13,13,13,0143e682b9a8703a,True,True,True,True,True,True
72,5,canvas-session-001,orchid_engine,5,15,15,15,15,15,15,a477c77ccc294f1f,True,True,True,True,True,True
80,5,canvas-session-001,cinder_garden,5,17,17,17,17,17,17,cd0892a19f24d0e8,True,True,True,True,True,True
