tick_id,day,session_id,settlement_id,resident_id,project_id,project_name,minigame_id,step_index,required_action,chosen_action,step_success,progress_before,progress_after,failure_recoverable,browser_control_visible,no_llm_call
0,1,canvas-session-001,lichen_bridge,Luma,450c18baea,mark signal bell,3f9e12dd20,1,file,press,False,0.24,0.246,True,True,True
1,1,canvas-session-001,orchid_engine,Dax,363676d602,stabilize steam kettle,95efb3a53d,2,tend,tend,True,0.24,0.26,True,True,True
2,1,canvas-session-001,moss_ward,Tala,572744cec7,drain rain path,860f8abb38,3,inspect,inspect,True,0.24,0.26,True,True,True
3,1,canvas-session-001,glass_harbor,Nia,2c46e6f05e,mend fog net,a46fa2c775,4,trim,trim,True,0.24,0.26,True,True,True
4,1,canvas-session-001,cinder_garden,Pax,1e5830ef22,cool ash path,237fcb17aa,1,sort,sort,True,0.24,0.26,True,True,True
5,1,canvas-session-001,lichen_bridge,Rin,9611f49c07,repair meal ledger,9b83afe230,2,mark,mark,True,0.24,0.26,True,True,True
6,1,canvas-session-001,orchid_engine,Eli,a3b8dc6d55,listen to valve pulse,a7fd5699ee,3,stabilize,stabilize,True,0.24,0.26,True,True,True
7,1,canvas-session-001,moss_ward,Ari,2378d81ec8,patch blanket loom,3bfd3346c5,4,align,align,True,0.24,0.26,True,True,True
8,1,canvas-session-001,glass_harbor,Oren,d2b7153668,seal fog catcher,38d4284af2,1,thread,thread,True,0.24,0.26,True,True,True
9,1,canvas-session-001,cinder_garden,Vale,b4da23a954,repair seed calendar,6d6c2874fd,2,cool,cool,True,0.24,0.26,True,True,True
10,1,canvas-session-001,lichen_bridge,Sol,85cb036eb5,test rope bridge,b101718b6a,3,share,share,True,0.24,0.26,True,True,True
11,1,canvas-session-001,orchid_engine,Bea,3935fa5efe,clean gear wash,85e34980be,4,listen,listen,True,0.24,0.26,True,True,True
12,1,canvas-session-001,moss_ward,Fay,6a7b5adb25,copy root ledger,a45b308efb,1,press,press,True,0.24,0.26,True,True,True
13,1,canvas-session-001,glass_harbor,Puck,c10ea1470a,mark crossing rope,32c9bd9c09,2,seal,seal,True,0.24,0.26,True,True,True
14,1,canvas-session-001,cinder_garden,Wren,81aa359945,shade seed rows,891c5cb736,3,record,inspect,False,0.24,0.246,True,True,True
15,1,canvas-session-001,lichen_bridge,Kio,ebef679159,weave spare rope,f7f37e9826,4,tension,tension,True,0.24,0.26,True,True,True
16,1,canvas-session-001,orchid_engine,Cai,2fe151eb17,tend orchid lamp,f32bac744c,1,clean,clean,True,0.24,0.26,True,True,True
17,1,canvas-session-001,moss_ward,Milo,b03af16c10,raise warm-cup shelf,07a39231e1,2,bind,bind,True,0.24,0.26,True,True,True
18,2,canvas-session-001,cinder_garden,Vale,7525471538,shade seed rows,718cdd8aa2,1,cool,cool,True,0.24,0.26,True,True,True
19,2,canvas-session-001,lichen_bridge,Sol,032f2286f3,weave spare rope,1f1f71d287,2,share,share,True,0.24,0.26,True,True,True
20,2,canvas-session-001,orchid_engine,Bea,a0d3597080,tend orchid lamp,0819130bbe,3,listen,listen,True,0.24,0.26,True,True,True
21,2,canvas-session-001,moss_ward,Fay,72cfe9f03b,raise warm-cup shelf,79f6372f98,4,press,align,False,0.24,0.246,True,True,True
22,2,canvas-session-001,glass_harbor,Puck,d99abac1ce,relight public lamp,8f8749b8c7,1,seal,seal,True,0.24,0.26,True,True,True
23,2,canvas-session-001,cinder_garden,Wren,efccb1106a,sort ember fruit,1d78198bbe,2,record,record,True,0.24,0.26,True,True,True
24,2,canvas-session-001,lichen_bridge,Kio,096f63fbc9,mark signal bell,555ad4a2e0,3,tension,tension,True,0.24,0.26,True,True,True
25,2,canvas-session-001,orchid_engine,Cai,7b17b6bca2,stabilize steam kettle,34e7ce41f8,4,clean,clean,True,0.24,0.26,True,True,True
26,2,canvas-session-001,moss_ward,Milo,42164b006a,drain rain path,69427e7485,1,bind,bind,True,0.24,0.26,True,True,True
27,2,canvas-session-001,glass_harbor,Sera,b557cb5ab1,mend fog net,c75b425da6,2,test,test,True,0.24,0.26,True,True,True
28,2,canvas-session-001,cinder_garden,Juno,f754fc777c,cool ash path,93897bd117,3,shade,inspect,False,0.24,0.246,True,True,True
29,2,canvas-session-001,lichen_bridge,Luma,7017cc792d,repair meal ledger,40c5de4c9f,4,file,file,True,0.24,0.26,True,True,True
30,2,canvas-session-001,orchid_engine,Dax,947f5c8b39,listen to valve pulse,2ceca97187,1,tend,tend,True,0.24,0.26,True,True,True
31,2,canvas-session-001,moss_ward,Tala,f91d6085d8,patch blanket loom,efa84ca14c,2,inspect,inspect,True,0.24,0.26,True,True,True
32,2,canvas-session-001,glass_harbor,Nia,7d03d3d3f1,seal fog catcher,c16bb92eb4,3,trim,trim,True,0.24,0.26,True,True,True
33,2,canvas-session-001,cinder_garden,Pax,2ac4db2919,repair seed calendar,a0bd5469b5,4,sort,sort,True,0.24,0.26,True,True,True
34,2,canvas-session-001,lichen_bridge,Rin,b522b59c7e,test rope bridge,a2abe7644a,1,mark,mark,True,0.24,0.26,True,True,True
35,2,canvas-session-001,orchid_engine,Eli,e4ebf8a5c3,clean gear wash,84d5da3603,2,stabilize,bind,False,0.24,0.246,True,True,True
36,3,canvas-session-001,glass_harbor,Sera,35df557118,seal fog catcher,cba181123e,1,test,test,True,0.24,0.26,True,True,True
37,3,canvas-session-001,cinder_garden,Juno,a3cdbd8180,repair seed calendar,09a6c61ab4,2,shade,shade,True,0.24,0.26,True,True,True
38,3,canvas-session-001,lichen_bridge,Luma,a72c4caf94,test rope bridge,f110b42085,3,file,file,True,0.24,0.26,True,True,True
39,3,canvas-session-001,orchid_engine,Dax,e5be4a3317,clean gear wash,1c7f24b478,4,tend,tend,True,0.24,0.26,True,True,True
40,3,canvas-session-001,moss_ward,Tala,ab7eb655b8,copy root ledger,6ad0f53de2,1,inspect,inspect,True,0.24,0.26,True,True,True
41,3,canvas-session-001,glass_harbor,Nia,35100ce116,mark crossing rope,9177e5fce2,2,trim,trim,True,0.24,0.26,True,True,True
42,3,canvas-session-001,cinder_garden,Pax,cfb8cd3fed,shade seed rows,7607294261,3,sort,inspect,False,0.24,0.246,True,True,True
43,3,canvas-session-001,lichen_bridge,Rin,d21d02a5bc,weave spare rope,7f5a59ba89,4,mark,mark,True,0.24,0.26,True,True,True
44,3,canvas-session-001,orchid_engine,Eli,3f711d3e3b,tend orchid lamp,11917468bb,1,stabilize,stabilize,True,0.24,0.26,True,True,True
45,3,canvas-session-001,moss_ward,Ari,808faa30ed,raise warm-cup shelf,ce17927547,2,align,align,True,0.24,0.26,True,True,True
46,3,canvas-session-001,glass_harbor,Oren,f949aa8fd3,relight public lamp,f09a7437ec,3,thread,thread,True,0.24,0.26,True,True,True
47,3,canvas-session-001,cinder_garden,Vale,6b0dbec2ed,sort ember fruit,5de6ae936e,4,cool,cool,True,0.24,0.26,True,True,True
48,3,canvas-session-001,lichen_bridge,Sol,910495b9ec,mark signal bell,d808e93629,1,share,share,True,0.24,0.26,True,True,True
49,3,canvas-session-001,orchid_engine,Bea,d5a5690d8e,stabilize steam kettle,d65289bfcc,2,listen,bind,False,0.24,0.246,True,True,True
50,3,canvas-session-001,moss_ward,Fay,9c82c8d116,drain rain path,8200d9afa2,3,press,press,True,0.24,0.26,True,True,True
51,3,canvas-session-001,glass_harbor,Puck,4a73f95e3d,mend fog net,87e5b4a1fa,4,seal,seal,True,0.24,0.26,True,True,True
52,3,canvas-session-001,cinder_garden,Wren,9ee5bba78b,cool ash path,27378e0ca7,1,record,record,True,0.24,0.26,True,True,True
53,3,canvas-session-001,lichen_bridge,Kio,1356a31e8d,repair meal ledger,32738203ed,2,tension,tension,True,0.24,0.26,True,True,True
54,4,canvas-session-001,moss_ward,Ari,da0f22a6f5,drain rain path,09f81a5ac5,1,align,align,True,0.24,0.26,True,True,True
55,4,canvas-session-001,glass_harbor,Oren,9f03b2f23d,mend fog net,b79607a2c9,2,thread,thread,True,0.24,0.26,True,True,True
56,4,canvas-session-001,cinder_garden,Vale,58b08d67ce,cool ash path,71a5323169,3,cool,inspect,False,0.24,0.246,True,True,True
57,4,canvas-session-001,lichen_bridge,Sol,6a6945c048,repair meal ledger,4eedb6dbdd,4,share,share,True,0.24,0.26,True,True,True
58,4,canvas-session-001,orchid_engine,Bea,1a39418cc8,listen to valve pulse,12c21bf10b,1,listen,listen,True,0.24,0.26,True,True,True
59,4,canvas-session-001,moss_ward,Fay,cbe617b6af,patch blanket loom,b9bd075902,2,press,press,True,0.24,0.26,True,True,True
60,4,canvas-session-001,glass_harbor,Puck,19e61c2da4,seal fog catcher,3ac1b238d2,3,seal,seal,True,0.24,0.26,True,True,True
61,4,canvas-session-001,cinder_garden,Wren,b1df32837e,repair seed calendar,b53c3e32de,4,record,record,True,0.24,0.26,True,True,True
62,4,canvas-session-001,lichen_bridge,Kio,0c14394478,test rope bridge,796f7b3941,1,tension,tension,True,0.24,0.26,True,True,True
63,4,canvas-session-001,orchid_engine,Cai,80ecb7dbcd,clean gear wash,d4799e767e,2,clean,bind,False,0.24,0.246,True,True,True
64,4,canvas-session-001,moss_ward,Milo,4f19e26857,copy root ledger,b61ddc97aa,3,bind,bind,True,0.24,0.26,True,True,True
65,4,canvas-session-001,glass_harbor,Sera,ee1d01c438,mark crossing rope,a1e7c12b85,4,test,test,True,0.24,0.26,True,True,True
66,4,canvas-session-001,cinder_garden,Juno,9c5554028b,shade seed rows,03bfc9280e,1,shade,shade,True,0.24,0.26,True,True,True
67,4,canvas-session-001,lichen_bridge,Luma,5fbf6bf7bd,weave spare rope,3e33f150d7,2,file,file,True,0.24,0.26,True,True,True
68,4,canvas-session-001,orchid_engine,Dax,8d36ca6708,tend orchid lamp,2d63a9ca01,3,tend,tend,True,0.24,0.26,True,True,True
69,4,canvas-session-001,moss_ward,Tala,690cd7241e,raise warm-cup shelf,40c7c344ce,4,inspect,inspect,True,0.24,0.26,True,True,True
70,4,canvas-session-001,glass_harbor,Nia,24a6670b6c,relight public lamp,10d50c1bab,1,trim,press,False,0.24,0.246,True,True,True
71,4,canvas-session-001,cinder_garden,Pax,9dfff354ca,sort ember fruit,b678e05aa3,2,sort,sort,True,0.24,0.26,True,True,True
72,5,canvas-session-001,orchid_engine,Cai,2fe151eb17,tend orchid lamp,f32bac744c,1,clean,clean,True,0.26,0.28,True,True,True
73,5,canvas-session-001,moss_ward,Milo,b03af16c10,raise warm-cup shelf,07a39231e1,2,bind,bind,True,0.26,0.28,True,True,True
74,5,canvas-session-001,glass_harbor,Sera,768a4d2ad8,relight public lamp,ff083702f3,3,test,test,True,0.24,0.26,True,True,True
75,5,canvas-session-001,cinder_garden,Juno,2b1e35e8a1,sort ember fruit,d72df810e3,4,shade,shade,True,0.24,0.26,True,True,True
76,5,canvas-session-001,lichen_bridge,Luma,450c18baea,mark signal bell,3f9e12dd20,1,file,file,True,0.246,0.266,True,True,True
77,5,canvas-session-001,orchid_engine,Dax,363676d602,stabilize steam kettle,95efb3a53d,2,tend,bind,False,0.26,0.266,True,True,True
78,5,canvas-session-001,moss_ward,Tala,572744cec7,drain rain path,860f8abb38,3,inspect,inspect,True,0.26,0.28,True,True,True
79,5,canvas-session-001,glass_harbor,Nia,2c46e6f05e,mend fog net,a46fa2c775,4,trim,trim,True,0.26,0.28,True,True,True
80,5,canvas-session-001,cinder_garden,Pax,1e5830ef22,cool ash path,237fcb17aa,1,sort,sort,True,0.26,0.28,True,True,True
81,5,canvas-session-001,lichen_bridge,Rin,9611f49c07,repair meal ledger,9b83afe230,2,mark,mark,True,0.26,0.28,True,True,True
82,5,canvas-session-001,orchid_engine,Eli,a3b8dc6d55,listen to valve pulse,a7fd5699ee,3,stabilize,stabilize,True,0.26,0.28,True,True,True
83,5,canvas-session-001,moss_ward,Ari,2378d81ec8,patch blanket loom,3bfd3346c5,4,align,align,True,0.26,0.28,True,True,True
84,5,canvas-session-001,glass_harbor,Oren,d2b7153668,seal fog catcher,38d4284af2,1,thread,press,False,0.26,0.266,True,True,True
85,5,canvas-session-001,cinder_garden,Vale,b4da23a954,repair seed calendar,6d6c2874fd,2,cool,cool,True,0.26,0.28,True,True,True
86,5,canvas-session-001,lichen_bridge,Sol,85cb036eb5,test rope bridge,b101718b6a,3,share,share,True,0.26,0.28,True,True,True
87,5,canvas-session-001,orchid_engine,Bea,3935fa5efe,clean gear wash,85e34980be,4,listen,listen,True,0.26,0.28,True,True,True
88,5,canvas-session-001,moss_ward,Fay,6a7b5adb25,copy root ledger,a45b308efb,1,press,press,True,0.26,0.28,True,True,True
89,5,canvas-session-001,glass_harbor,Puck,c10ea1470a,mark crossing rope,32c9bd9c09,2,seal,seal,True,0.26,0.28,True,True,True
