metric,value
source_v55_continuity,1.0
pointer_canvas_movement_trace,1.0
animated_resident_pathing_trace,1.0
inventory_ui_mutation_trace,1.0
tool_ownership_dispute_trace,1.0
multi_step_repair_minigame_trace,1.0
phrase_consequence_session_trace,1.0
canvas_reload_integrity,1.0
browser_v56_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_canvas_binding,1.0
conversation_no_llm_boundary,1.0
canvas_not_complete_3d_engine,0.842
browser_world_v56_surface,1.0
weakest_channel_name,canvas_not_complete_3d_engine
mean_canvas_movement_channel_score,0.988714
weakest_channel_score,0.842
browser_world_v56_canvas_movement_readiness,0.9447
canvas_day_count,222.0
pointer_canvas_movement_count,3996.0
animated_resident_pathing_count,3996.0
inventory_ui_mutation_count,3996.0
tool_ownership_dispute_count,3996.0
repair_minigame_step_count,3996.0
phrase_consequence_count,3996.0
canvas_session_reload_probe_count,531.0
browser_tick_count,3996.0
html_button_count,273.0
html_localstorage_handler_count,2.0
