tick,day,speaker,listener,bystander,action,consequence,speaker_trust_delta,listener_trust_delta,bystander_trust_delta,group_mood_before,group_mood_after,replayable,not_overdriven
0,1,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.535279,0.532179,True,True
1,1,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.540351,0.541501,True,True
2,1,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.545404,0.554204,True,True
3,1,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.550435,0.552735,True,True
4,1,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.555438,0.564238,True,True
5,1,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.560409,0.574609,True,True
6,1,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.565344,0.562244,True,True
7,1,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.570238,0.571388,True,True
8,1,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.575087,0.583887,True,True
9,1,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.579887,0.582187,True,True
10,1,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.584632,0.593432,True,True
11,1,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.589319,0.603519,True,True
12,1,Sera,Milo,Tovan,return resource,guardedness rises,0.006,-0.012,-0.008,0.593944,0.590844,True,True
13,1,Tovan,Sera,Nia,ask for distance,group mood steadies,-0.011,0.014,0.006,0.598502,0.599652,True,True
14,1,Nia,Tovan,Ari,repair together,debt is marked paid,0.006,0.014,0.006,0.60299,0.61179,True,True
15,1,Ari,Nia,Fay,share tool,guardedness rises,0.018,-0.012,-0.008,0.607403,0.609703,True,True
16,1,Fay,Ari,Milo,interrupt warning,group mood steadies,0.006,0.014,0.006,0.611737,0.620537,True,True
17,1,Milo,Fay,Sera,comfort after failure,debt is marked paid,0.018,0.014,0.006,0.615989,0.630189,True,True
18,2,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.550435,0.550135,True,True
19,2,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.555438,0.547488,True,True
20,2,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.560409,0.569209,True,True
21,2,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.565344,0.570444,True,True
22,2,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.570238,0.569938,True,True
23,2,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.575087,0.589287,True,True
24,2,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.579887,0.579587,True,True
25,2,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.584632,0.576682,True,True
26,2,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.589319,0.598119,True,True
27,2,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.593944,0.599044,True,True
28,2,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.598502,0.598202,True,True
29,2,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.60299,0.61719,True,True
30,2,Sera,Milo,Tovan,return resource,bystander learns caution,0.006,-0.012,0.006,0.607403,0.607103,True,True
31,2,Tovan,Sera,Nia,ask for distance,work slows but recovers,-0.011,-0.012,0.006,0.611737,0.603787,True,True
32,2,Nia,Tovan,Ari,repair together,trust warms,0.006,0.014,0.006,0.615989,0.624789,True,True
33,2,Ari,Nia,Fay,share tool,bystander learns caution,0.018,-0.012,0.006,0.620155,0.625255,True,True
34,2,Fay,Ari,Milo,interrupt warning,work slows but recovers,0.006,-0.012,0.006,0.62423,0.62393,True,True
35,2,Milo,Fay,Sera,comfort after failure,trust warms,0.018,0.014,0.006,0.628211,0.642411,True,True
36,3,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.565344,0.574144,True,True
37,3,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.570238,0.571388,True,True
38,3,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.575087,0.571987,True,True
39,3,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.579887,0.594087,True,True
40,3,Fay,Ari,Milo,interrupt warning,debt is marked paid,0.006,0.014,0.006,0.584632,0.593432,True,True
41,3,Milo,Fay,Sera,comfort after failure,guardedness rises,0.018,-0.012,-0.008,0.589319,0.591619,True,True
42,3,Sera,Milo,Tovan,return resource,group mood steadies,0.006,0.014,0.006,0.593944,0.602744,True,True
43,3,Tovan,Sera,Nia,ask for distance,debt is marked paid,-0.011,0.014,0.006,0.598502,0.599652,True,True
44,3,Nia,Tovan,Ari,repair together,guardedness rises,0.006,-0.012,-0.008,0.60299,0.59989,True,True
45,3,Ari,Nia,Fay,share tool,group mood steadies,0.018,0.014,0.006,0.607403,0.621603,True,True
