metric,value
report,297
seed,20270421
verdict,pass
readiness,0.944092
mean_channel_score,0.987846
weakest_channel_score,0.842
weakest_named_channel,live_conversation_not_open_ended_llm
live_conversation_frames,4320
sensory_overlay_frames,4320
gesture_body_language_frames,4320
inventory_resource_widget_frames,4320
minigame_failure_animation_frames,4320
multiagent_consequence_frames,4320
live_session_reload_probes,571
browser_ticks,4320
browser_buttons,255
live_days,240
ticks_per_day,18
source_v56_continuity,1.0
live_conversation_canvas_binding,1.0
sensory_overlay_multimodal_trace,1.0
gesture_body_language_trace,1.0
inventory_resource_widget_trace,1.0
minigame_failure_animation_recovery,1.0
multiagent_consequence_replay,1.0
live_session_reload_integrity,1.0
browser_v57_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_sensory_binding,1.0
conversation_no_llm_boundary,1.0
live_conversation_not_open_ended_llm,0.842
