tick,day,selected_resident,visible_schedule,visible_project,visible_debt,visible_care_need,visible_trust,panel_patch,private_workspace_hidden
0,1,Sera,negotiate debt,patch cloak,water carry,hungry,0.510641,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.5106}",True
1,1,Tovan,seek tool,repair awning,repair promise,focused,0.362515,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.3625}",True
2,1,Nia,private task,fix bridge peg,missed greeting,guarded,0.31542,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.3154}",True
3,1,Ari,private task,patch cloak,care favor,relieved,0.509552,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.5096}",True
4,1,Fay,work,repair awning,route warning,steady,0.617714,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.6177}",True
5,1,Milo,work,fix bridge peg,tool loan,tired,0.662664,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.6627}",True
6,1,Sera,rest,patch cloak,water carry,wet,0.51625,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.5162}",True
7,1,Tovan,negotiate debt,repair awning,repair promise,hungry,0.343621,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.3436}",True
8,1,Nia,seek tool,fix bridge peg,missed greeting,focused,0.319098,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.3191}",True
9,1,Ari,care duty,patch cloak,care favor,guarded,0.526846,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.5268}",True
10,1,Fay,recover focus,repair awning,route warning,relieved,0.639695,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.6397}",True
11,1,Milo,recover focus,fix bridge peg,tool loan,steady,0.669822,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.6698}",True
12,1,Sera,rest,patch cloak,water carry,tired,0.479144,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.4791}",True
13,1,Tovan,rest,repair awning,repair promise,wet,0.329627,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3296}",True
