tick,day,slot,avatar_room,avatar_action_key,resident,project,trust_before,trust_after,obligation_before,obligation_after,schedule_before,schedule_after,visible_consequence,avatar_agency_bound,resident_agency_bound,replay_key
0,1,0,west hearth,talk,Sera,patch cloak,0.490641,0.510641,0.52,0.494,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00000
1,1,1,river gate,offer_help,Tovan,repair awning,0.342515,0.362515,0.413449,0.387449,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00001
2,1,2,arrival court,borrow_tool,Nia,fix bridge peg,0.33542,0.31542,0.197006,0.227006,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-00002
3,1,3,tool alcove,return_tool,Ari,patch cloak,0.493552,0.509552,0.080328,0.054328,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00003
4,1,4,rain court,interrupt_work,Fay,repair awning,0.637714,0.617714,0.176435,0.206435,private task,work,work is delayed and debt marker increases,True,False,v58-loop-00004
5,1,5,fiber loft,wait_offscreen,Milo,fix bridge peg,0.660664,0.662664,0.392233,0.386233,recover focus,work,residents continue without avatar,True,True,v58-loop-00005
6,1,6,west hearth,repair_trust,Sera,patch cloak,0.49625,0.51625,0.51869,0.49269,work,rest,trust warms and obligation decreases,True,True,v58-loop-00006
7,1,7,river gate,move,Tovan,repair awning,0.339621,0.343621,0.433313,0.431313,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-00007
8,1,8,arrival court,talk,Nia,fix bridge peg,0.303098,0.319098,0.218803,0.192803,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-00008
9,1,9,tool alcove,offer_help,Ari,patch cloak,0.510846,0.526846,0.082944,0.056944,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00009
10,1,10,rain court,borrow_tool,Fay,repair awning,0.659695,0.639695,0.157336,0.187336,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-00010
11,1,11,fiber loft,return_tool,Milo,fix bridge peg,0.653822,0.669822,0.36992,0.34392,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-00011
12,1,12,west hearth,interrupt_work,Sera,patch cloak,0.499144,0.479144,0.514775,0.544775,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-00012
13,1,13,river gate,wait_offscreen,Tovan,repair awning,0.327627,0.329627,0.451589,0.445589,work,rest,residents continue without avatar,True,True,v58-loop-00013
14,1,14,arrival court,repair_trust,Nia,fix bridge peg,0.333552,0.349552,0.241567,0.215567,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-00014
15,1,15,tool alcove,move,Ari,patch cloak,0.514074,0.518074,0.088145,0.086145,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-00015
16,1,16,rain court,talk,Fay,repair awning,0.642546,0.658546,0.139937,0.113937,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-00016
17,1,17,fiber loft,offer_help,Milo,fix bridge peg,0.631316,0.647316,0.346773,0.320773,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-00017
18,2,0,river gate,return_tool,Sera,map safe route,0.491589,0.511589,0.490701,0.464701,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-00018
