tick,day,resident,absent_ticks,offscreen_activity,progress_before,progress_after,resource_delta,interaction_without_avatar,visible_after_return
0,1,Sera,4,ambient household tick,0.045289,0.059289,1,True,True
1,1,Tovan,5,ambient household tick,0.087362,0.101362,0,True,True
2,1,Nia,6,ambient household tick,0.090754,0.104754,0,True,True
3,1,Ari,7,ambient household tick,0.052345,0.066345,0,True,True
4,1,Fay,8,ambient household tick,0.010806,0.024806,-1,True,True
5,1,Milo,9,resident schedule advanced,0.010806,0.036806,1,True,True
6,1,Sera,10,ambient household tick,0.031318,0.045318,0,True,True
7,1,Tovan,11,ambient household tick,0.078138,0.092138,0,True,True
8,1,Nia,12,ambient household tick,0.094757,0.108757,0,True,True
9,1,Ari,13,ambient household tick,0.065895,0.079895,0,True,True
10,1,Fay,14,ambient household tick,0.018088,0.032088,1,True,True
11,1,Milo,15,ambient household tick,0.010806,0.024806,0,True,True
12,1,Sera,16,ambient household tick,0.01846,0.03246,-1,True,True
13,1,Tovan,17,resident schedule advanced,0.066297,0.092297,0,True,True
14,1,Nia,18,ambient household tick,0.094819,0.108819,0,True,True
15,1,Ari,19,ambient household tick,0.077803,0.091803,1,True,True
16,1,Fay,20,ambient household tick,0.030894,0.044894,0,True,True
17,1,Milo,21,ambient household tick,0.010806,0.024806,0,True,True
18,2,Sera,22,ambient household tick,0.060643,0.074643,1,True,True
19,2,Tovan,23,ambient household tick,0.102716,0.116716,-1,True,True
20,2,Nia,24,resident schedule advanced,0.106107,0.132107,0,True,True
21,2,Ari,25,ambient household tick,0.067699,0.081699,0,True,True
22,2,Fay,26,ambient household tick,0.022802,0.036802,0,True,True
23,2,Milo,4,ambient household tick,0.012696,0.026696,1,True,True
24,2,Sera,5,ambient household tick,0.046672,0.060672,0,True,True
25,2,Tovan,6,ambient household tick,0.093492,0.107492,0,True,True
26,2,Nia,7,ambient household tick,0.11011,0.12411,0,True,True
27,2,Ari,8,ambient household tick,0.081249,0.095249,-1,True,True
28,2,Fay,9,resident schedule advanced,0.033442,0.059442,1,True,True
29,2,Milo,10,ambient household tick,0.010643,0.024643,0,True,True
30,2,Sera,11,ambient household tick,0.033814,0.047814,0,True,True
31,2,Tovan,12,ambient household tick,0.081651,0.095651,0,True,True
32,2,Nia,13,ambient household tick,0.110173,0.124173,0,True,True
33,2,Ari,14,ambient household tick,0.093157,0.107157,1,True,True
34,2,Fay,15,ambient household tick,0.046247,0.060247,0,True,True
35,2,Milo,16,ambient household tick,0.012573,0.026573,-1,True,True
36,3,Sera,17,resident schedule advanced,0.083648,0.109648,1,True,True
37,3,Tovan,18,ambient household tick,0.125722,0.139722,0,True,True
38,3,Nia,19,ambient household tick,0.129113,0.143113,0,True,True
39,3,Ari,20,ambient household tick,0.090704,0.104704,0,True,True
40,3,Fay,21,ambient household tick,0.045808,0.059808,0,True,True
41,3,Milo,22,ambient household tick,0.035702,0.049702,1,True,True
42,3,Sera,23,ambient household tick,0.069678,0.083678,-1,True,True
43,3,Tovan,24,resident schedule advanced,0.116498,0.142498,0,True,True
44,3,Nia,25,ambient household tick,0.133116,0.147116,0,True,True
45,3,Ari,26,ambient household tick,0.104254,0.118254,0,True,True
46,3,Fay,4,ambient household tick,0.056447,0.070447,1,True,True
47,3,Milo,5,ambient household tick,0.033649,0.047649,0,True,True
48,3,Sera,6,ambient household tick,0.05682,0.07082,0,True,True
49,3,Tovan,7,ambient household tick,0.104657,0.118657,0,True,True
50,3,Nia,8,ambient household tick,0.133179,0.147179,-1,True,True
51,3,Ari,9,resident schedule advanced,0.116163,0.142163,1,True,True
52,3,Fay,10,ambient household tick,0.069253,0.083253,0,True,True
53,3,Milo,11,resident schedule advanced,0.035579,0.061579,0,True,True
54,4,Sera,12,ambient household tick,0.124858,0.138858,1,True,True
55,4,Tovan,13,ambient household tick,0.166932,0.180932,0,True,True
56,4,Nia,14,ambient household tick,0.170323,0.184323,0,True,True
57,4,Ari,15,ambient household tick,0.131914,0.145914,-1,True,True
58,4,Fay,16,resident schedule advanced,0.087018,0.113018,0,True,True
59,4,Milo,17,ambient household tick,0.076912,0.090912,1,True,True
60,4,Sera,18,ambient household tick,0.110887,0.124887,0,True,True
61,4,Tovan,19,ambient household tick,0.157707,0.171707,0,True,True
62,4,Nia,20,ambient household tick,0.174326,0.188326,0,True,True
63,4,Ari,21,ambient household tick,0.145464,0.159464,0,True,True
64,4,Fay,22,ambient household tick,0.097657,0.111657,1,True,True
65,4,Milo,23,ambient household tick,0.074859,0.088859,-1,True,True
66,4,Sera,24,resident schedule advanced,0.09803,0.12403,0,True,True
67,4,Tovan,25,ambient household tick,0.145867,0.159867,0,True,True
68,4,Nia,26,ambient household tick,0.174389,0.188389,0,True,True
69,4,Ari,4,ambient household tick,0.157373,0.171373,1,True,True
