tick,day,snapshot_key,avatar_room,selected_resident,resident_state_digest,resource_state_digest,replay_event_count,snapshot_size_bytes,restored_ok,storage_keys_present
0,1,ssrm:v59:audit:snapshot:d001:t00000,tool alcove,Nia,"{""debt"": 0.536, ""memory"": ""nia:tool_loan:audit:d001:s00"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.3107}","{""care"": 11, ""fiber"": 21, ""herb"": 27, ""tool time"": 14, ""water"": 18, ""wood"": 24}",1,241,True,True
1,1,ssrm:v59:audit:snapshot:d001:t00001,rain court,Ari,"{""debt"": 0.5218, ""memory"": ""ari:repair_promise:audit:d001:s01"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.5271}","{""care"": 12, ""fiber"": 22, ""herb"": 28, ""tool time"": 15, ""water"": 19, ""wood"": 25}",2,242,True,True
2,1,ssrm:v59:audit:snapshot:d001:t00002,fiber loft,Fay,"{""debt"": 0.5634, ""memory"": ""fay:care_favor:audit:d001:s02"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.6578}","{""care"": 13, ""fiber"": 23, ""herb"": 10, ""tool time"": 16, ""water"": 20, ""wood"": 26}",3,241,True,True
3,1,ssrm:v59:audit:snapshot:d001:t00003,west hearth,Milo,"{""debt"": 0.5206, ""memory"": ""milo:tool_loan:audit:d001:s03"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.6823}","{""care"": 14, ""fiber"": 24, ""herb"": 11, ""tool time"": 17, ""water"": 21, ""wood"": 27}",4,242,True,True
4,1,ssrm:v59:audit:snapshot:d001:t00004,river gate,Sera,"{""debt"": 0.5616, ""memory"": ""sera:repair_promise:audit:d001:s04"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.5027}","{""care"": 15, ""fiber"": 25, ""herb"": 12, ""tool time"": 18, ""water"": 22, ""wood"": 28}",5,239,True,True
5,1,ssrm:v59:audit:snapshot:d001:t00005,arrival court,Tovan,"{""debt"": 0.5322, ""memory"": ""tovan:care_favor:audit:d001:s05"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.339}","{""care"": 16, ""fiber"": 26, ""herb"": 13, ""tool time"": 19, ""water"": 23, ""wood"": 10}",6,236,True,True
6,1,ssrm:v59:audit:snapshot:d001:t00006,tool alcove,Nia,"{""debt"": 0.5166, ""memory"": ""nia:tool_loan:audit:d001:s06"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.3336}","{""care"": 17, ""fiber"": 27, ""herb"": 14, ""tool time"": 20, ""water"": 24, ""wood"": 11}",7,232,True,True
7,1,ssrm:v59:audit:snapshot:d001:t00007,rain court,Ari,"{""debt"": 0.5287, ""memory"": ""ari:repair_promise:audit:d001:s07"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.5106}","{""care"": 18, ""fiber"": 28, ""herb"": 15, ""tool time"": 21, ""water"": 25, ""wood"": 12}",8,247,True,True
8,1,ssrm:v59:audit:snapshot:d001:t00008,fiber loft,Fay,"{""debt"": 0.5264, ""memory"": ""fay:care_favor:audit:d001:s08"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.678}","{""care"": 19, ""fiber"": 10, ""herb"": 16, ""tool time"": 22, ""water"": 26, ""wood"": 13}",9,237,True,True
9,1,ssrm:v59:audit:snapshot:d001:t00009,west hearth,Milo,"{""debt"": 0.5099, ""memory"": ""milo:tool_loan:audit:d001:s09"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.6775}","{""care"": 20, ""fiber"": 11, ""herb"": 17, ""tool time"": 23, ""water"": 27, ""wood"": 14}",10,239,True,True
10,1,ssrm:v59:audit:snapshot:d001:t00010,river gate,Sera,"{""debt"": 0.5491, ""memory"": ""sera:repair_promise:audit:d001:s10"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.5014}","{""care"": 21, ""fiber"": 12, ""herb"": 18, ""tool time"": 24, ""water"": 28, ""wood"": 15}",11,249,True,True
11,1,ssrm:v59:audit:snapshot:d001:t00011,arrival court,Tovan,"{""debt"": 0.504, ""memory"": ""tovan:care_favor:audit:d001:s11"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.3566}","{""care"": 22, ""fiber"": 13, ""herb"": 19, ""tool time"": 25, ""water"": 10, ""wood"": 16}",12,246,True,True
12,1,ssrm:v59:audit:snapshot:d001:t00012,tool alcove,Nia,"{""debt"": 0.5427, ""memory"": ""nia:tool_loan:audit:d001:s12"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.2963}","{""care"": 23, ""fiber"": 14, ""herb"": 20, ""tool time"": 26, ""water"": 11, ""wood"": 17}",13,233,True,True
13,1,ssrm:v59:audit:snapshot:d001:t00013,rain court,Ari,"{""debt"": 0.511, ""memory"": ""ari:repair_promise:audit:d001:s13"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.5027}","{""care"": 24, ""fiber"": 15, ""herb"": 21, ""tool time"": 27, ""water"": 12, ""wood"": 18}",14,237,True,True
14,1,ssrm:v59:audit:snapshot:d001:t00014,fiber loft,Fay,"{""debt"": 0.4931, ""memory"": ""fay:care_favor:audit:d001:s14"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.6956}","{""care"": 25, ""fiber"": 16, ""herb"": 22, ""tool time"": 28, ""water"": 13, ""wood"": 19}",15,244,True,True
15,1,ssrm:v59:audit:snapshot:d001:t00015,west hearth,Milo,"{""debt"": 0.503, ""memory"": ""milo:tool_loan:audit:d001:s15"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.6637}","{""care"": 26, ""fiber"": 17, ""herb"": 23, ""tool time"": 10, ""water"": 14, ""wood"": 20}",16,239,True,True
16,1,ssrm:v59:audit:snapshot:d001:t00016,river gate,Sera,"{""debt"": 0.4986, ""memory"": ""sera:repair_promise:audit:d001:s16"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.5345}","{""care"": 27, ""fiber"": 18, ""herb"": 24, ""tool time"": 11, ""water"": 15, ""wood"": 21}",17,245,True,True
