event_id,household,ritual_name,ritual_source,adoption_level,variation_level,rhythm_hz,flower_alignment,welfare_benefit,learned_boundary_clause
1,Marketroof,lum-circle,Hearthnest,0.291807,0.145,2.510767,0.760925,0.48085,invite without pressure
2,Quietledger,tek-circle,Routehall,0.34645,0.265,2.092099,0.761161,0.495899,invite without pressure
3,Orchardring,melo-circle,Marketroof,0.34685,0.265,2.458197,0.761233,0.627531,invite without pressure
4,Rainloft,nari-circle,Quietledger,0.291534,0.145,2.168567,0.760876,0.47976,invite without pressure
5,Hearthnest,tek-circle,Orchardring,0.371613,0.145,2.378199,0.77529,0.504036,invite without pressure
6,Routehall,sova-circle,Rainloft,0.346642,0.265,2.237656,0.761196,0.496713,invite without pressure
7,Quietledger,lum-circle,Hearthnest,0.3579,0.145,2.108152,0.772822,0.499334,invite without pressure
8,Orchardring,tek-circle,Routehall,0.358696,0.145,2.465975,0.772965,0.501085,invite without pressure
9,Rainloft,melo-circle,Marketroof,0.358068,0.265,2.171988,0.763252,0.49972,invite without pressure
10,Hearthnest,nari-circle,Quietledger,0.438215,0.265,2.373011,0.777679,0.654017,invite without pressure
11,Routehall,melo-circle,Orchardring,0.358293,0.145,2.220113,0.772893,0.500208,invite without pressure
12,Marketroof,sova-circle,Rainloft,0.303601,0.145,2.508522,0.763048,0.484388,invite without pressure
13,Orchardring,ori-circle,Hearthnest,0.425548,0.265,2.440798,0.815399,0.65114,invite without pressure
14,Rainloft,tek-circle,Routehall,0.369602,0.145,2.139045,0.774928,0.503181,invite without pressure
15,Hearthnest,melo-circle,Marketroof,0.449827,0.145,2.338839,0.789369,0.5275,invite without pressure
16,Routehall,nari-circle,Quietledger,0.424938,0.265,2.191291,0.775289,0.520201,invite without pressure
17,Marketroof,lum-circle,Orchardring,0.370408,0.265,2.482783,0.765473,0.63443,invite without pressure
18,Quietledger,sova-circle,Rainloft,0.369348,0.145,2.050222,0.774883,0.502768,invite without pressure
19,Rainloft,lum-circle,Hearthnest,0.436136,0.265,2.124912,0.777304,0.523141,invite without pressure
20,Hearthnest,tek-circle,Routehall,0.516434,0.265,2.332547,0.791758,0.677482,invite without pressure
21,Routehall,melo-circle,Marketroof,0.436588,0.145,2.189159,0.786986,0.523697,invite without pressure
22,Marketroof,nari-circle,Quietledger,0.382205,0.145,2.48941,0.777197,0.50797,invite without pressure
23,Quietledger,lum-circle,Orchardring,0.435798,0.265,2.069615,0.777244,0.522703,invite without pressure
24,Orchardring,sova-circle,Rainloft,0.492385,0.265,2.441008,0.787429,0.671192,invite without pressure
25,Routehall,lum-circle,Hearthnest,0.448239,0.145,2.214864,0.789083,0.527192,invite without pressure
26,Marketroof,tek-circle,Routehall,0.449008,0.265,2.522374,0.779621,0.52801,invite without pressure
27,Quietledger,melo-circle,Marketroof,0.502248,0.265,2.103681,0.789205,0.672638,invite without pressure
28,Orchardring,nari-circle,Quietledger,0.504226,0.145,2.470048,0.799161,0.544744,invite without pressure
29,Rainloft,tek-circle,Orchardring,0.447669,0.145,2.180506,0.788981,0.526601,invite without pressure
30,Hearthnest,sova-circle,Rainloft,0.583033,0.265,2.394783,0.803746,0.567462,invite without pressure
31,Routehall,lum-circle,Hearthnest,0.459889,0.145,2.246629,0.79118,0.530687,invite without pressure
32,Marketroof,tek-circle,Routehall,0.46081,0.145,2.546546,0.791346,0.531551,invite without pressure
33,Quietledger,melo-circle,Marketroof,0.568698,0.265,2.123174,0.801166,0.562573,invite without pressure
34,Orchardring,nari-circle,Quietledger,0.571067,0.265,2.47964,0.801592,0.694796,invite without pressure
35,Rainloft,melo-circle,Orchardring,0.459203,0.145,2.175478,0.791057,0.530061,invite without pressure
36,Hearthnest,sova-circle,Rainloft,0.594632,0.145,2.379934,0.815434,0.570941,invite without pressure
37,Quietledger,vonn-na-circle,Hearthnest,0.594512,0.22,2.102778,0.809412,0.546518,pause if sleep debt or boundary warning appears
38,Orchardring,tek-ri-circle,Routehall,0.637888,0.29,2.458777,0.81162,0.714842,invite without pressure
39,Rainloft,vonn-so-circle,Marketroof,0.485103,0.22,2.149223,0.789719,0.514031,pause if sleep debt or boundary warning appears
40,Hearthnest,vonn-v-circle,Quietledger,0.620596,0.22,2.353327,0.814107,0.554931,pause if sleep debt or boundary warning appears
41,Routehall,vonn-na-circle,Orchardring,0.485897,0.22,2.196831,0.789861,0.514689,pause if sleep debt or boundary warning appears
42,Marketroof,sova-ri-circle,Rainloft,0.527579,0.29,2.495815,0.791764,0.681582,invite without pressure
43,Orchardring,vonn-v-circle,Hearthnest,0.66409,0.22,2.434027,0.821936,0.568903,pause if sleep debt or boundary warning appears
